Data,Fechamento,Maxima,Minima
31/03/2023,38.7600,39.5200,38.7300
30/03/2023,39.0100,39.1900,38.4000
29/03/2023,38.3100,38.4300,37.6500
28/03/2023,37.8700,38.0800,37.5100
27/03/2023,37.6100,38.1500,37.4300
24/03/2023,37.5900,37.9300,37.0500
23/03/2023,37.2100,38.1400,36.7800
22/03/2023,37.6200,38.2500,37.4000
21/03/2023,37.5300,37.7700,37.2800
20/03/2023,37.0900,38.0800,36.7000
17/03/2023,37.3000,38.1200,37.3000
16/03/2023,37.9500,38.1600,37.3000
15/03/2023,37.5500,37.7900,36.7500
14/03/2023,37.5100,38.1400,37.2300
13/03/2023,38.1500,38.5700,37.7900
10/03/2023,38.3900,39.0600,38.0200
09/03/2023,39.1300,40.1900,39.1300
08/03/2023,40.0000,40.3800,39.5700
07/03/2023,39.6000,39.7800,38.5000
06/03/2023,38.7100,39.0100,37.8700
03/03/2023,37.8500,38.3200,37.3300
02/03/2023,37.4300,39.0800,37.3700
01/03/2023,39.0000,40.3000,38.3700
28/02/2023,40.3000,40.7900,39.9000
27/02/2023,39.9300,40.7400,39.7200
24/02/2023,40.4800,41.5300,40.2400
23/02/2023,42.1000,42.6000,41.6800
22/02/2023,41.7600,42.8100,41.6600
17/02/2023,42.8200,43.1300,41.9800
16/02/2023,42.4000,42.5900,41.3700
15/02/2023,41.9300,42.1800,41.1800
14/02/2023,41.5500,42.7500,41.2500
13/02/2023,40.6000,41.1400,40.0300
10/02/2023,40.3700,40.6100,38.9400
09/02/2023,39.5900,40.0700,39.1300
08/02/2023,39.8000,39.9500,38.9100
07/02/2023,38.8800,39.6800,38.4600
06/02/2023,39.4200,39.7200,38.6200
03/02/2023,39.2000,39.9400,38.9000
02/02/2023,39.4500,41.1500,39.2500
01/02/2023,40.2100,41.0500,39.8500
31/01/2023,40.7000,41.2000,40.4200
30/01/2023,40.8100,40.9100,40.0600
27/01/2023,40.1800,40.9600,39.6900
26/01/2023,40.6300,41.4800,40.5700
25/01/2023,40.6500,40.9900,38.8700
24/01/2023,39.5700,40.3900,39.2800
23/01/2023,39.7700,41.2500,39.1300
20/01/2023,40.0700,40.3000,39.1100
19/01/2023,39.1100,39.3200,37.5500
18/01/2023,38.2400,38.8700,37.8900
17/01/2023,37.7000,37.7000,35.5400
16/01/2023,35.6100,36.1200,35.3200
13/01/2023,35.6500,35.8500,34.9500
12/01/2023,35.5700,35.8700,35.0100
11/01/2023,35.8000,35.8500,35.0600
10/01/2023,35.3000,35.4800,34.3300
09/01/2023,34.7100,35.0500,34.4800
06/01/2023,35.0500,35.2700,34.4400
05/01/2023,34.5700,34.7400,33.0800
04/01/2023,33.0600,33.2600,32.5600
03/01/2023,32.6400,33.4000,32.4200
02/01/2023,33.2600,34.2200,32.9000
29/12/2022,34.7300,35.0400,34.4000
28/12/2022,34.6700,34.8000,33.6200
27/12/2022,34.0600,35.4500,33.9000
26/12/2022,35.2300,35.5700,34.7400
23/12/2022,35.2800,35.6400,34.5300
22/12/2022,34.4300,34.8500,33.9100
21/12/2022,34.1200,34.4600,33.7400
20/12/2022,33.8000,34.1600,32.6300
19/12/2022,32.9500,33.4500,32.5100
16/12/2022,32.6000,32.7600,31.7800
15/12/2022,31.9500,32.5300,30.5100
14/12/2022,31.0700,31.5700,30.2500
13/12/2022,31.8600,33.9500,31.8600
12/12/2022,33.7900,35.3900,33.2100
09/12/2022,34.9800,35.1800,34.5900
08/12/2022,35.0300,35.9600,34.8100
07/12/2022,35.4800,35.9400,35.4800
06/12/2022,35.5600,35.5600,35.0900
05/12/2022,35.2000,35.9600,35.0200
02/12/2022,36.0300,36.7200,35.1100
01/12/2022,35.2400,35.5600,34.7200
30/11/2022,35.2800,35.8100,34.7000
29/11/2022,35.2500,35.7300,34.5900
28/11/2022,34.8300,35.2000,34.1000
25/11/2022,34.2100,35.2300,33.9200
