Data,Fechamento,Maxima,Minima
31/03/2023,14.2700,14.9200,14.2600
30/03/2023,14.8200,15.0500,14.7500
29/03/2023,14.8100,14.9200,14.4900
28/03/2023,14.5900,15.0300,13.9000
27/03/2023,13.9300,14.1100,13.8800
24/03/2023,13.8900,14.0200,13.7500
23/03/2023,13.7800,14.1500,13.6700
22/03/2023,13.9500,14.0900,13.8900
21/03/2023,13.9500,14.1800,13.9000
20/03/2023,14.1200,14.2700,14.0500
17/03/2023,14.2200,14.4000,14.0900
16/03/2023,14.2600,14.4100,14.0000
15/03/2023,14.0200,14.1000,13.7500
14/03/2023,13.9500,14.0800,13.5900
13/03/2023,13.6100,13.7300,13.4700
10/03/2023,13.5100,13.7000,13.4600
09/03/2023,13.6000,13.7800,13.5600
08/03/2023,13.6200,13.6400,13.3500
07/03/2023,13.4300,13.6200,13.3000
06/03/2023,13.5000,13.5800,13.1300
03/03/2023,13.1100,13.2200,12.9900
02/03/2023,13.1300,13.5400,13.0700
01/03/2023,13.4700,13.6300,13.2600
28/02/2023,13.3900,13.5900,13.3400
27/02/2023,13.4000,13.4600,13.2600
24/02/2023,13.3200,13.4000,13.0800
23/02/2023,13.2500,13.4000,13.1200
22/02/2023,13.2100,13.3100,13.0500
17/02/2023,13.2000,13.2500,13.0100
16/02/2023,13.0800,13.3000,12.9600
15/02/2023,13.2300,13.3700,12.9300
14/02/2023,13.0000,13.3600,12.9900
13/02/2023,13.1300,13.1700,12.8500
10/02/2023,12.8600,12.9900,12.6000
09/02/2023,13.0200,13.2300,12.9500
08/02/2023,13.1900,13.2400,12.9300
07/02/2023,12.9600,13.0800,12.8900
06/02/2023,13.0200,13.2000,12.9500
03/02/2023,12.9800,13.2200,12.9100
02/02/2023,13.1100,13.5300,13.0000
01/02/2023,13.1800,13.7300,12.8500
31/01/2023,13.6600,13.7400,13.5000
30/01/2023,13.5300,13.7000,13.4400
27/01/2023,13.6500,13.7500,13.5900
26/01/2023,13.7400,13.8500,13.5300
25/01/2023,13.7100,13.7400,13.4700
24/01/2023,13.6100,13.6100,13.3400
23/01/2023,13.4200,13.6800,13.3600
20/01/2023,13.5300,13.6400,13.3700
19/01/2023,13.6400,13.8500,13.5500
18/01/2023,13.7800,14.0600,13.7300
17/01/2023,13.8600,13.9500,13.2000
16/01/2023,13.2000,13.7400,13.1800
13/01/2023,13.8800,14.0500,13.7700
12/01/2023,14.1000,14.1700,13.6600
11/01/2023,14.2900,14.7900,13.9500
10/01/2023,14.5400,14.6000,14.2500
09/01/2023,14.4000,14.4700,14.2700
06/01/2023,14.3200,14.3600,14.1600
05/01/2023,14.2900,14.4100,14.1400
04/01/2023,14.2500,14.4700,14.0800
03/01/2023,14.1700,14.3900,14.1100
02/01/2023,14.1900,14.4500,14.0200
29/12/2022,14.5200,14.6700,14.4300
28/12/2022,14.5500,14.7300,14.5200
27/12/2022,14.5200,14.6600,14.4200
26/12/2022,14.5200,14.6400,14.4500
23/12/2022,14.6200,14.7600,14.4600
22/12/2022,14.4200,14.5400,14.2800
21/12/2022,14.3500,14.7100,14.3100
20/12/2022,14.5200,14.6800,14.2500
19/12/2022,15.2300,15.4700,14.9200
16/12/2022,14.8500,15.1400,14.7900
15/12/2022,15.0000,15.2200,14.9000
14/12/2022,15.1300,15.2200,14.7200
13/12/2022,15.2800,15.5900,15.1400
12/12/2022,15.2400,15.4800,15.0800
09/12/2022,15.5100,15.8000,15.5100
08/12/2022,15.7000,15.9600,15.6100
07/12/2022,16.0000,16.1400,15.8700
06/12/2022,16.0500,16.2000,15.9200
05/12/2022,16.0200,16.2000,15.9700
02/12/2022,16.3300,16.5500,15.9500
01/12/2022,16.0800,16.1600,15.8800
30/11/2022,15.9200,16.0000,15.6600
29/11/2022,15.7600,16.0500,15.6900
28/11/2022,15.9100,16.0000,15.7200
25/11/2022,15.7700,16.0700,15.6900
24/11/2022,16.0400,16.2100,15.7500
23/11/2022,15.7200,15.8500,15.5500
22/11/2022,15.6600,15.8800,15.5000
21/11/2022,15.6700,15.8000,15.5200
18/11/2022,15.6200,15.8400,15.4200
17/11/2022,15.4000,15.5300,15.0000
16/11/2022,15.4400,15.9900,15.3700
14/11/2022,15.9500,16.3800,15.7800
11/11/2022,16.0900,16.2000,15.6600
10/11/2022,15.9900,16.4800,15.8700
09/11/2022,16.4800,16.8800,16.4200
08/11/2022,16.7400,16.7800,16.1900
07/11/2022,16.3600,16.6200,16.3100
04/11/2022,16.4500,16.5600,16.0400
03/11/2022,16.0200,16.0400,15.4600
01/11/2022,15.7900,16.1400,15.7700
31/10/2022,16.0000,16.0200,15.7000
28/10/2022,15.7700,15.7700,15.4800
27/10/2022,15.5600,15.7600,15.2100
26/10/2022,15.1000,15.1500,14.6000
25/10/2022,14.9100,15.2000,14.8300
24/10/2022,15.1800,15.3400,15.0200
21/10/2022,15.3100,15.3500,14.9500
20/10/2022,15.0400,15.1100,14.9000
19/10/2022,14.8900,15.0400,14.7800
18/10/2022,14.9000,15.1300,14.8200
17/10/2022,14.9200,15.0600,14.7700
14/10/2022,14.8300,15.1200,14.7900
13/10/2022,15.0100,15.1600,14.7000
11/10/2022,14.9900,15.2700,14.9400
10/10/2022,15.2000,15.4700,15.0600
07/10/2022,15.4200,16.0400,15.3000
06/10/2022,16.0300,16.2600,15.9800
05/10/2022,16.1200,16.3300,15.9500
04/10/2022,16.2400,16.5000,16.0900
03/10/2022,16.3000,16.3200,15.5300
30/09/2022,15.5400,15.6900,15.4500
29/09/2022,15.6100,15.7600,15.4700
28/09/2022,15.7200,15.8000,15.3800
27/09/2022,15.4400,15.6000,15.2500
26/09/2022,15.2700,15.4900,15.1700
23/09/2022,15.3700,15.4800,15.1700
22/09/2022,15.6700,15.7200,15.4000
21/09/2022,15.5500,15.8700,15.4700
20/09/2022,15.7600,15.7600,15.3200
19/09/2022,15.4700,15.5300,15.1800
16/09/2022,15.2700,15.4000,15.1400
15/09/2022,15.3000,15.4400,15.2400
14/09/2022,15.3800,15.5900,15.2700
13/09/2022,15.5900,15.8800,15.4900
12/09/2022,15.7100,15.8000,15.5800
09/09/2022,15.7200,15.7600,15.4800
08/09/2022,15.5000,15.7400,15.3500
06/09/2022,15.5600,15.6600,15.3900
05/09/2022,15.5500,15.6100,15.4400
02/09/2022,15.4800,15.7400,15.3500
01/09/2022,15.4300,15.7000,15.0900
31/08/2022,15.2700,15.6200,15.2700
30/08/2022,15.3900,15.7300,15.2600
29/08/2022,15.6100,15.6900,15.5100
26/08/2022,15.6700,15.9000,15.6100
25/08/2022,15.8200,16.0800,15.7500
24/08/2022,15.8000,15.8900,15.4300
23/08/2022,15.4400,15.5200,15.2900
22/08/2022,15.4200,15.7700,15.3400
19/08/2022,15.6600,16.2200,15.5400
18/08/2022,16.0000,16.0200,15.5900
17/08/2022,15.5500,15.6300,15.3500
16/08/2022,15.5000,15.6100,15.3300
15/08/2022,15.4200,15.5000,15.0600
12/08/2022,15.2100,15.3600,15.0800
11/08/2022,15.1300,15.3100,15.0600
10/08/2022,15.1600,15.1900,14.7500
09/08/2022,14.7400,14.8700,14.6200
08/08/2022,14.8000,14.8200,14.5100
05/08/2022,14.6000,14.9400,14.5700
04/08/2022,14.6800,14.8000,14.4000
03/08/2022,14.6300,14.8200,14.4000
02/08/2022,14.7100,14.7900,14.5100
01/08/2022,14.6300,14.8900,14.4300
29/07/2022,14.9300,15.2300,14.8300
28/07/2022,15.1000,15.8000,14.7300
27/07/2022,14.9800,15.1000,14.6500
26/07/2022,14.8200,14.8800,14.5500
25/07/2022,14.6800,14.7800,14.4500
22/07/2022,14.5100,14.6200,14.3600
21/07/2022,14.5600,14.5900,14.1800
20/07/2022,14.3000,14.5600,14.1100
19/07/2022,14.4800,14.7600,14.4200
18/07/2022,14.4900,14.7200,14.4100
15/07/2022,14.5900,14.8800,14.5700
14/07/2022,14.8400,14.9600,14.3700
13/07/2022,14.5700,14.6700,13.8000
12/07/2022,13.7900,14.1100,13.5300
11/07/2022,14.1000,14.3400,14.0300
08/07/2022,14.3100,14.3600,14.1200
07/07/2022,14.2300,14.3800,14.0000
06/07/2022,14.2300,14.3900,14.0200
05/07/2022,14.0900,14.1400,13.5200
04/07/2022,13.6800,13.8100,13.6100
01/07/2022,13.7600,13.8000,13.3000
30/06/2022,13.4000,13.5400,13.3500
29/06/2022,13.6100,13.7000,13.3500
28/06/2022,13.5200,13.8100,13.3800
27/06/2022,13.7200,13.8500,13.6400
24/06/2022,13.6700,13.7700,13.3300
23/06/2022,13.3300,13.3800,13.2500
22/06/2022,13.3000,13.3900,13.0600
21/06/2022,13.1700,13.3100,12.9400
20/06/2022,13.0500,13.2500,12.8800
17/06/2022,13.0300,13.1300,12.8100
15/06/2022,13.0600,13.3500,13.0100
14/06/2022,13.1500,13.3700,12.9900
13/06/2022,13.3300,13.5600,13.1900
10/06/2022,13.5900,13.6700,13.2700
09/06/2022,13.6100,13.8300,13.5700
08/06/2022,13.7600,13.9300,13.5400
07/06/2022,13.7300,13.9700,13.6100
06/06/2022,14.0500,14.2000,13.9600
03/06/2022,14.0800,14.3200,14.0400
02/06/2022,14.1200,14.3000,13.8800
01/06/2022,14.1200,14.2400,14.0500
31/05/2022,14.1900,14.2700,14.0600
30/05/2022,14.0900,14.3800,14.0100
27/05/2022,14.2100,14.3700,14.0400
26/05/2022,14.2100,14.2800,13.9800
25/05/2022,14.0400,14.1300,13.9100
24/05/2022,14.1300,14.1900,13.8500
23/05/2022,14.0800,14.1400,13.8500
20/05/2022,14.0200,14.2900,13.8300
19/05/2022,14.1400,14.3100,13.9600
18/05/2022,14.2200,14.8200,14.1800
17/05/2022,14.7300,14.8900,14.6700
16/05/2022,14.6900,14.8500,14.4100
13/05/2022,14.5400,14.6700,14.4500
12/05/2022,14.4800,14.5000,13.7900
11/05/2022,13.9500,14.1600,13.6400
10/05/2022,13.7300,14.0300,13.7200
09/05/2022,13.6900,13.8500,13.3700
06/05/2022,13.5300,13.8300,13.5300
05/05/2022,13.7300,14.3300,13.6200
04/05/2022,14.3400,14.4200,14.0100
03/05/2022,14.2400,14.7000,14.1600
02/05/2022,14.4700,14.7100,14.3200
29/04/2022,14.5200,15.0000,14.5200
28/04/2022,14.7100,14.8700,14.6200
27/04/2022,14.6800,14.9100,14.6400
26/04/2022,14.7500,15.1500,14.7400
25/04/2022,15.1200,15.1900,14.6300
22/04/2022,14.7500,14.9800,14.5500
20/04/2022,14.7300,15.0200,14.5600
19/04/2022,14.6500,14.7600,14.4100
18/04/2022,14.7100,14.8000,14.6000
14/04/2022,14.7000,14.9100,14.4600
13/04/2022,14.8300,15.1200,14.5500
12/04/2022,15.0500,15.5400,14.9800
11/04/2022,15.2000,15.4400,14.7400
08/04/2022,14.9300,15.1300,14.7400
07/04/2022,15.0600,15.1400,14.8200
06/04/2022,14.9500,15.0900,14.8100
05/04/2022,15.0700,15.2800,15.0600
04/04/2022,15.1900,15.4500,15.0800
01/04/2022,15.3900,15.6700,15.1300
31/03/2022,15.4000,15.5800,15.1300
30/03/2022,15.1700,15.3000,15.0200
29/03/2022,15.2500,15.4000,14.8700
28/03/2022,14.7400,14.7500,14.3800
25/03/2022,14.3200,14.3500,13.9500
24/03/2022,14.2000,14.3600,14.0600
23/03/2022,14.1900,14.3800,14.0700
22/03/2022,14.3800,14.5000,14.2100
21/03/2022,14.1800,14.3600,14.0600
18/03/2022,14.2500,14.2500,13.8000
17/03/2022,13.9300,14.0200,13.6900
16/03/2022,13.7800,13.8500,13.4100
15/03/2022,13.4700,13.6700,13.3500
14/03/2022,13.3200,13.4600,13.1600
11/03/2022,13.1800,13.5600,13.0600
10/03/2022,13.3800,13.7900,13.2400
09/03/2022,13.9300,14.0000,13.5800
08/03/2022,13.4400,13.7300,13.2800
07/03/2022,13.4300,13.7900,13.2200
04/03/2022,13.9300,14.2400,13.8200
03/03/2022,14.1800,14.5100,14.0500
02/03/2022,14.5200,14.9800,14.4200
25/02/2022,15.2000,15.3300,14.6800
24/02/2022,14.8400,14.8400,13.8000
23/02/2022,14.8100,15.2600,14.5900
22/02/2022,14.7100,14.8200,14.4400
21/02/2022,14.4500,14.8500,14.4500
18/02/2022,14.7700,14.9900,14.7400
17/02/2022,14.8500,15.1100,14.7100
16/02/2022,15.0800,15.4800,14.9600
15/02/2022,15.3800,15.7000,15.1100
14/02/2022,15.0600,15.0900,14.8300
11/02/2022,14.8600,15.1000,14.7500
10/02/2022,14.7500,14.8200,14.4100
09/02/2022,14.5400,14.6200,14.1500
08/02/2022,14.1600,14.3300,14.1100
07/02/2022,14.2900,14.5100,14.2700
04/02/2022,14.4100,14.5400,14.1700
03/02/2022,14.4600,14.6200,14.4200
02/02/2022,14.5200,14.9400,14.4500
01/02/2022,14.8500,15.1300,14.7900
31/01/2022,14.9700,15.1200,14.7700
28/01/2022,14.9300,15.3200,14.8600
27/01/2022,15.4000,15.4900,14.9300
26/01/2022,15.0000,15.3000,14.8800
25/01/2022,15.0700,15.0900,14.6100
24/01/2022,14.7000,15.0500,14.6100
