Data,Fechamento,Maxima,Minima
31/03/2023,27.0100,27.5500,26.8100
30/03/2023,27.0700,27.6800,26.8300
29/03/2023,26.5800,26.9300,26.0300
28/03/2023,26.6800,27.1400,25.8400
27/03/2023,25.9900,25.9900,25.4200
24/03/2023,25.3700,25.5000,24.4300
23/03/2023,24.5300,25.5000,24.1600
22/03/2023,25.1600,25.5300,24.7800
21/03/2023,25.0700,25.4800,24.8800
20/03/2023,25.1900,25.7600,25.1000
17/03/2023,25.4200,26.6200,24.7900
16/03/2023,26.7600,27.1900,26.6400
15/03/2023,27.0400,27.1500,25.6900
14/03/2023,26.0800,26.6900,25.8600
13/03/2023,26.2700,26.5500,25.8300
10/03/2023,26.1600,26.3600,25.8100
09/03/2023,26.1200,26.6300,26.0100
08/03/2023,26.0500,26.1600,25.4200
07/03/2023,25.5000,25.7600,25.2600
06/03/2023,25.4900,25.8300,24.9600
03/03/2023,25.1300,25.5200,24.8400
02/03/2023,24.9400,25.4300,24.9200
01/03/2023,24.8900,25.5200,24.6900
28/02/2023,25.4300,25.7600,25.4200
27/02/2023,25.5100,25.9900,25.3800
24/02/2023,25.7000,26.2500,25.5400
23/02/2023,26.0500,26.4000,25.6700
22/02/2023,25.8600,26.1600,25.7700
17/02/2023,26.4500,26.7900,26.2800
16/02/2023,26.4800,26.6300,26.0000
15/02/2023,26.6000,26.8500,26.1900
14/02/2023,26.3500,26.7600,26.1300
13/02/2023,26.6100,27.0800,26.4200
10/02/2023,26.7500,27.2900,26.0600
09/02/2023,26.2200,26.9600,26.0400
08/02/2023,26.9600,26.9600,26.3000
07/02/2023,26.4500,26.9300,26.1900
06/02/2023,26.9300,27.3100,26.5600
03/02/2023,27.1900,27.8800,27.0800
02/02/2023,28.0600,28.4100,27.6800
01/02/2023,28.0000,28.3500,27.7700
31/01/2023,28.0200,28.1500,27.4000
30/01/2023,27.5000,27.9600,27.2400
27/01/2023,27.7900,28.1500,27.7800
26/01/2023,27.9800,28.0600,27.7300
25/01/2023,27.8700,27.8900,27.0700
24/01/2023,27.2300,27.4400,26.8300
23/01/2023,26.9900,27.3500,26.9100
20/01/2023,26.9900,27.3500,26.8100
19/01/2023,27.3900,27.6400,27.1400
18/01/2023,27.4200,27.6300,26.8100
17/01/2023,26.8200,26.9900,26.3200
16/01/2023,26.8300,27.4100,26.6500
13/01/2023,27.0800,27.4000,26.9500
12/01/2023,27.5500,28.1900,27.2400
11/01/2023,27.3600,27.4900,26.0800
10/01/2023,26.1800,26.3000,25.5300
09/01/2023,25.9500,26.3600,25.3300
06/01/2023,25.6000,25.8400,25.4800
05/01/2023,25.6800,25.8400,25.2500
04/01/2023,25.6000,25.7500,25.3000
03/01/2023,25.5500,26.3200,25.3600
02/01/2023,26.1900,26.9300,26.0600
29/12/2022,27.0200,27.5100,26.6800
28/12/2022,27.2800,27.3400,26.3900
27/12/2022,26.3700,26.4600,25.8800
26/12/2022,26.3100,27.1600,26.2100
23/12/2022,26.9700,27.5900,26.6500
22/12/2022,26.8900,27.0100,26.5800
21/12/2022,26.7700,26.8600,26.1900
20/12/2022,26.7600,27.5000,26.3700
19/12/2022,26.5500,26.9200,26.1400
16/12/2022,26.2300,26.3100,25.8100
15/12/2022,25.9800,26.4300,25.7600
14/12/2022,26.2000,26.5000,25.5100
13/12/2022,26.0900,27.1200,25.8900
12/12/2022,26.4300,27.0700,25.6600
09/12/2022,26.3800,26.5100,25.7800
08/12/2022,26.3800,27.0100,26.1500
