Data,Fechamento,Maxima,Minima
31/03/2023,25.5500,26.1000,25.3800
30/03/2023,25.5000,25.6500,24.9900
29/03/2023,24.7000,25.0500,24.4700
28/03/2023,24.7700,25.1000,24.6100
27/03/2023,24.6800,24.9600,24.5100
24/03/2023,24.5900,24.8100,24.2000
23/03/2023,24.3000,25.2300,24.0400
22/03/2023,24.5000,24.9800,24.0000
21/03/2023,25.6200,25.8900,25.3200
20/03/2023,25.3500,25.6800,25.2000
17/03/2023,25.5000,26.0600,25.2700
16/03/2023,25.8700,26.0600,25.2700
15/03/2023,25.6000,26.4500,25.1600
14/03/2023,27.0500,27.3300,26.8500
13/03/2023,26.7000,27.1400,26.6200
10/03/2023,26.9900,27.7600,26.8900
09/03/2023,27.3800,28.7300,27.3800
08/03/2023,28.6200,28.7800,28.1600
07/03/2023,28.0900,29.0100,28.0000
06/03/2023,28.4800,29.5500,28.3300
03/03/2023,29.4200,30.3300,29.2700
02/03/2023,29.5700,29.9900,29.2200
01/03/2023,29.5200,29.9500,28.5000
28/02/2023,28.6300,28.8000,28.1100
27/02/2023,28.2000,28.4900,27.8400
24/02/2023,28.0500,28.9100,27.8000
23/02/2023,28.4500,28.7700,27.8500
22/02/2023,28.1500,28.6700,27.7900
17/02/2023,28.5900,29.1900,28.2500
16/02/2023,28.8600,29.4000,28.6500
15/02/2023,28.5400,28.8100,28.1700
14/02/2023,28.6600,29.1900,28.3500
13/02/2023,28.5900,28.6900,27.4100
10/02/2023,28.3200,29.1800,28.0400
09/02/2023,28.6700,30.0700,28.5800
08/02/2023,31.1400,31.4400,30.8700
07/02/2023,31.2400,31.5400,30.5000
06/02/2023,30.8000,31.0600,30.0600
03/02/2023,31.0500,31.4800,30.5900
02/02/2023,30.6700,31.9600,30.5800
01/02/2023,32.1200,32.6800,31.5700
31/01/2023,32.7400,33.2700,32.2800
30/01/2023,32.4200,32.6700,32.0400
27/01/2023,32.2700,33.3100,32.0400
26/01/2023,33.0000,33.0900,32.4500
25/01/2023,32.2800,32.5100,31.6800
24/01/2023,32.3900,32.7800,32.0200
23/01/2023,32.4900,33.7000,32.4000
20/01/2023,33.2000,33.6100,33.0100
19/01/2023,33.5000,33.7500,33.1000
18/01/2023,33.4100,33.8800,32.5600
17/01/2023,32.3500,32.9900,31.8400
16/01/2023,31.8900,32.2000,31.2600
13/01/2023,32.4300,32.6100,32.0900
12/01/2023,32.2500,32.6000,31.9600
11/01/2023,32.1300,32.2500,30.8300
10/01/2023,31.8100,32.0900,30.6900
09/01/2023,30.9500,31.3500,30.2100
06/01/2023,30.3300,31.0600,30.2800
05/01/2023,30.1000,30.4300,29.0200
04/01/2023,29.3800,29.6400,28.9200
03/01/2023,29.5200,30.2600,29.1800
02/01/2023,29.4600,29.6800,28.8000
29/12/2022,29.3700,29.7900,29.3200
28/12/2022,29.4500,30.0800,29.3500
27/12/2022,29.5800,29.8200,28.4500
26/12/2022,28.1800,28.7500,28.1600
23/12/2022,28.7000,29.9600,28.3400
22/12/2022,29.8600,30.3300,29.2400
21/12/2022,30.4300,30.7900,30.2400
20/12/2022,30.4500,30.8300,29.8200
19/12/2022,29.7500,30.4900,29.5400
16/12/2022,30.1700,30.4200,29.7800
15/12/2022,30.2400,31.5600,30.1700
14/12/2022,31.1200,31.1700,30.4000
13/12/2022,30.9600,31.7400,30.9100
12/12/2022,31.2600,31.4100,30.5400
09/12/2022,31.4700,31.7200,30.9000
08/12/2022,30.9300,31.6700,30.8300
07/12/2022,30.9800,31.2800,29.8700
06/12/2022,31.0500,31.6900,30.5800
05/12/2022,30.6500,31.7400,30.5300
02/12/2022,31.1000,31.6100,30.0000
01/12/2022,30.6800,31.5800,30.6100
30/11/2022,31.5700,32.4800,30.8100
29/11/2022,31.0200,31.2300,29.4900
28/11/2022,29.2700,29.6200,28.7300
25/11/2022,29.3700,30.2200,29.1300
24/11/2022,29.6500,30.0300,29.0800
23/11/2022,29.3600,29.4000,28.5900
22/11/2022,28.9500,29.0500,27.7800
21/11/2022,30.1000,30.2500,29.4100
