Data,Fechamento,Maxima,Minima
31/03/2023,6.6600,6.8800,6.6100
30/03/2023,6.6900,6.9500,6.4500
29/03/2023,6.3400,6.4700,6.1700
28/03/2023,6.4000,6.4200,6.0700
27/03/2023,6.2300,6.4400,6.1400
24/03/2023,6.3000,6.3300,5.9600
23/03/2023,5.9800,6.7200,5.8800
22/03/2023,6.6500,7.0500,6.6000
21/03/2023,6.9600,7.1700,6.8800
20/03/2023,7.0700,7.2700,7.0200
17/03/2023,7.0900,7.4100,7.0400
16/03/2023,7.3000,7.3600,7.0900
15/03/2023,7.1700,7.3800,6.8800
14/03/2023,7.2800,7.5500,7.1500
13/03/2023,7.2000,7.6600,7.0100
10/03/2023,7.3100,8.4400,7.1200
09/03/2023,7.8700,7.9700,7.1700
08/03/2023,7.2100,8.0000,7.1100
07/03/2023,6.7100,6.8800,6.0800
06/03/2023,6.3500,6.7200,5.5200
03/03/2023,5.1300,5.2900,5.0800
02/03/2023,5.0600,5.2300,5.0300
01/03/2023,5.2300,5.6300,5.1400
28/02/2023,5.5300,5.7100,5.5300
27/02/2023,5.5900,5.8000,5.5300
24/02/2023,5.6500,5.7700,5.5100
23/02/2023,5.5700,5.8200,5.5200
22/02/2023,5.6800,5.9200,5.6100
17/02/2023,5.9300,6.0500,5.8600
16/02/2023,5.9700,6.1200,5.8600
15/02/2023,6.0800,6.2100,5.7700
14/02/2023,5.8600,6.3200,5.8300
13/02/2023,6.1900,6.3600,6.1000
10/02/2023,6.2900,6.7800,6.1600
09/02/2023,6.6500,7.2200,6.5600
08/02/2023,7.0400,7.6800,6.9800
07/02/2023,7.4400,8.2600,7.3600
06/02/2023,7.6200,7.8300,7.5000
03/02/2023,7.7800,8.4600,7.6800
02/02/2023,8.4500,8.6400,7.4100
01/02/2023,7.4700,7.7600,7.3000
31/01/2023,7.6600,7.7500,7.4000
30/01/2023,7.5000,7.8200,7.4200
27/01/2023,7.7300,7.9500,7.6600
26/01/2023,7.9400,8.1700,7.9000
25/01/2023,8.0200,8.0700,7.5600
24/01/2023,7.7500,7.7600,7.5100
23/01/2023,7.5400,7.9100,7.5000
