Data,Fechamento,Maxima,Minima
31/03/2023,37.6600,39.6000,37.4000
30/03/2023,39.5800,40.8300,39.5800
29/03/2023,40.6500,40.8800,40.2100
28/03/2023,40.5200,40.6400,39.4000
27/03/2023,39.6100,40.2200,39.4200
24/03/2023,39.6700,39.8400,39.3200
23/03/2023,39.4700,40.6400,39.0000
22/03/2023,40.0200,40.4600,39.8500
21/03/2023,40.3300,40.9400,40.1300
20/03/2023,40.8100,41.0500,40.2900
17/03/2023,40.9900,41.6100,40.9000
16/03/2023,41.5700,41.6900,40.8600
15/03/2023,41.1500,41.2700,40.1600
14/03/2023,40.6700,41.1300,40.3400
13/03/2023,40.4600,40.8800,39.8100
10/03/2023,40.4500,41.0900,40.1500
09/03/2023,41.2000,42.3900,41.0500
08/03/2023,42.3200,42.3900,41.6800
07/03/2023,41.7900,42.6200,41.6800
06/03/2023,42.4000,42.6100,41.6000
03/03/2023,41.8700,42.2100,41.4800
02/03/2023,41.7800,42.4400,41.1400
01/03/2023,41.2700,43.4600,40.5200
28/02/2023,41.6500,42.6000,41.4700
27/02/2023,42.6000,43.5900,42.4100
24/02/2023,43.4500,44.2500,43.2000
23/02/2023,44.1000,44.5400,43.3500
22/02/2023,43.7900,44.0000,42.9100
17/02/2023,44.0600,46.2600,43.4900
16/02/2023,46.3300,46.6800,44.9700
15/02/2023,45.6500,46.4000,44.8700
14/02/2023,45.0800,45.6200,44.6100
13/02/2023,45.4000,46.0000,45.0500
10/02/2023,45.5000,45.8600,44.6200
09/02/2023,44.8800,45.4200,44.6500
08/02/2023,45.1100,45.3300,44.6900
07/02/2023,44.5100,45.3000,44.3500
06/02/2023,45.1100,45.3700,44.3700
03/02/2023,44.8900,45.4300,44.1700
02/02/2023,45.0000,46.1400,44.6400
01/02/2023,45.9600,47.0200,45.4800
31/01/2023,46.4000,46.6900,45.0600
30/01/2023,44.8900,45.2400,44.6000
27/01/2023,44.6700,45.0500,43.8400
26/01/2023,44.0800,44.4800,44.0000
25/01/2023,44.2900,44.4000,43.2900
24/01/2023,44.0400,44.4200,43.5300
23/01/2023,43.9700,44.7800,43.4500
20/01/2023,44.4000,45.1000,44.2200
19/01/2023,44.8100,45.2700,43.8900
18/01/2023,44.4800,44.9000,43.6800
17/01/2023,43.2900,43.7700,42.8300
16/01/2023,43.0900,44.2600,42.5800
13/01/2023,44.3500,45.0400,43.9400
12/01/2023,45.1100,45.6600,44.2700
11/01/2023,45.0300,45.2000,43.1200
10/01/2023,43.2500,43.5500,42.1900
09/01/2023,42.9700,43.6400,42.6700
06/01/2023,43.1300,43.2200,42.3200
05/01/2023,42.5200,42.7000,41.7200
04/01/2023,41.9800,42.5500,41.2800
03/01/2023,41.8400,44.0000,41.4500
02/01/2023,43.7300,44.7700,43.2200
29/12/2022,45.2000,45.7900,44.8400
28/12/2022,44.8600,45.1600,44.4300
27/12/2022,44.3100,44.9200,43.7400
26/12/2022,44.1000,45.0500,43.8200
23/12/2022,44.8300,45.5900,44.4400
22/12/2022,44.6800,45.0000,44.0400
