Data,Fechamento,Maxima,Minima
31/03/2023,2.4800,2.5800,2.4200
30/03/2023,2.5300,2.5900,2.4900
29/03/2023,2.4600,2.5300,2.4400
28/03/2023,2.5100,2.5500,2.5000
27/03/2023,2.5600,2.5600,2.4300
24/03/2023,2.4000,2.4800,2.3800
23/03/2023,2.3600,2.4500,2.3300
22/03/2023,2.4400,2.5000,2.4300
21/03/2023,2.4400,2.4900,2.4200
20/03/2023,2.4800,2.5700,2.4400
17/03/2023,2.6000,2.6000,2.4000
16/03/2023,2.4800,2.5900,2.4300
15/03/2023,2.4300,2.5000,2.4000
14/03/2023,2.4000,2.6500,2.4000
13/03/2023,2.4000,2.4700,2.4000
10/03/2023,2.4400,2.6000,2.4200
09/03/2023,2.4600,2.6300,2.4500
08/03/2023,2.5100,2.7400,2.5000
07/03/2023,2.7900,3.1200,2.3100
06/03/2023,2.3100,2.4900,2.2900
03/03/2023,2.3100,2.4500,2.3100
02/03/2023,2.3800,2.4000,2.3500
01/03/2023,2.3500,2.5300,2.3500
28/02/2023,2.4500,2.5000,2.4500
27/02/2023,2.4600,2.4900,2.4500
24/02/2023,2.4600,2.5000,2.4100
23/02/2023,2.4400,2.5100,2.4200
22/02/2023,2.5100,2.5700,2.4700
17/02/2023,2.4800,2.4800,2.4100
16/02/2023,2.4600,2.5000,2.4200
15/02/2023,2.5000,2.5000,2.4000
14/02/2023,2.4000,2.4500,2.3900
13/02/2023,2.3900,2.4500,2.3900
10/02/2023,2.3800,2.4500,2.3800
09/02/2023,2.4000,2.5000,2.4000
08/02/2023,2.4600,2.5300,2.4200
07/02/2023,2.5500,2.5500,2.4000
06/02/2023,2.4600,2.5200,2.4200
03/02/2023,2.4900,2.6100,2.4900
02/02/2023,2.6000,2.6800,2.6000
01/02/2023,2.7000,2.7000,2.6000
31/01/2023,2.7000,2.7000,2.6100
30/01/2023,2.6900,2.7200,2.6200
27/01/2023,2.6900,2.7600,2.6900
26/01/2023,2.7600,2.7800,2.7100
25/01/2023,2.7300,2.7300,2.6100
24/01/2023,2.6700,2.6700,2.5700
23/01/2023,2.6200,2.6500,2.5600
20/01/2023,2.6200,2.6400,2.5900
19/01/2023,2.6500,2.6500,2.5500
18/01/2023,2.6400,2.6900,2.5800
17/01/2023,2.6300,2.6300,2.5500
16/01/2023,2.5500,2.5800,2.5100
13/01/2023,2.5500,2.7200,2.5500
12/01/2023,2.6800,2.6900,2.6000
11/01/2023,2.5800,2.6700,2.5200
