Data,Fechamento,Maxima,Minima
31/03/2023,24.7000,25.0900,24.6500
30/03/2023,24.6200,24.8000,24.2200
29/03/2023,23.9600,24.0800,23.5800
28/03/2023,23.7300,23.9200,23.5000
27/03/2023,23.6200,23.7800,23.3800
24/03/2023,23.2200,23.4200,22.7400
23/03/2023,23.1500,24.2500,22.8900
22/03/2023,23.7400,24.2500,23.6800
21/03/2023,23.8800,24.1500,23.5000
20/03/2023,23.4000,23.8600,23.1800
17/03/2023,23.3400,23.9200,23.3000
16/03/2023,24.0300,24.1500,23.5200
15/03/2023,23.6400,23.7600,23.0200
14/03/2023,23.7000,23.9500,23.4700
13/03/2023,23.7800,24.0700,23.4700
10/03/2023,24.0700,24.6100,23.8900
09/03/2023,24.6600,25.0800,24.6100
08/03/2023,25.1400,25.3300,24.7600
07/03/2023,24.8300,24.8800,24.3000
06/03/2023,24.7600,25.0400,24.1100
03/03/2023,24.2100,24.5900,24.0900
02/03/2023,24.1800,25.2000,24.0400
01/03/2023,25.0000,25.3500,24.3900
28/02/2023,25.4300,25.8300,25.1800
27/02/2023,25.3400,25.8000,25.2800
24/02/2023,25.6700,26.3100,25.5500
23/02/2023,26.4800,27.0600,26.3600
22/02/2023,26.3800,26.5100,26.2600
17/02/2023,26.8800,27.1500,26.7000
16/02/2023,26.9700,27.0900,26.4200
15/02/2023,26.7700,27.0700,26.1200
14/02/2023,26.3800,26.8800,26.3100
13/02/2023,26.7100,26.8300,25.7800
10/02/2023,25.8000,25.9800,25.5100
09/02/2023,25.9200,26.8700,25.7900
08/02/2023,26.5800,26.6100,25.3200
07/02/2023,24.5500,25.2800,24.2600
06/02/2023,25.1300,25.2400,24.7200
03/02/2023,25.1200,25.3600,24.8300
02/02/2023,25.2100,25.9700,24.7000
01/02/2023,24.9800,25.5000,24.7800
31/01/2023,25.3300,25.5900,25.0900
30/01/2023,24.9400,25.0600,24.5300
27/01/2023,24.9300,25.4600,24.8200
