Data,Fechamento,Maxima,Minima
31/03/2023,18.0100,18.4600,18.0100
30/03/2023,18.2100,18.3200,17.9400
29/03/2023,17.9500,18.1300,17.6500
28/03/2023,17.9100,18.2700,17.6300
27/03/2023,18.2800,18.4200,18.0000
24/03/2023,18.1100,18.4300,17.9100
23/03/2023,18.2300,19.3700,18.0400
22/03/2023,18.5200,19.0800,18.1500
21/03/2023,19.1400,19.6000,18.8400
20/03/2023,19.0000,20.4800,19.0000
17/03/2023,20.4900,20.6600,19.8100
16/03/2023,19.9800,20.9500,19.4600
15/03/2023,19.2500,19.3300,18.6100
14/03/2023,19.0100,19.0600,18.6100
13/03/2023,18.7900,19.0500,18.5700
10/03/2023,19.1100,19.6900,19.0700
09/03/2023,19.6300,20.0600,19.5700
08/03/2023,19.8600,19.9800,19.4100
07/03/2023,19.6000,20.0900,19.5100
06/03/2023,20.0200,20.2700,19.5800
03/03/2023,19.6600,20.0800,19.3500
02/03/2023,19.3500,19.5900,18.8000
01/03/2023,19.2000,20.0500,19.0300
28/02/2023,19.1900,19.2800,18.6900
27/02/2023,18.7500,19.1000,18.6800
24/02/2023,18.8100,19.0200,18.4300
23/02/2023,18.9000,18.9400,17.5500
22/02/2023,17.9100,18.5600,17.8800
17/02/2023,18.7200,19.2200,18.6800
16/02/2023,19.0100,19.6400,18.8000
15/02/2023,19.6500,19.8600,19.0300
14/02/2023,19.1800,20.0100,19.0300
13/02/2023,19.3900,19.6100,18.9700
10/02/2023,18.8400,19.1000,18.5200
09/02/2023,18.6000,19.1800,18.2100
08/02/2023,18.8200,19.0200,18.5400
07/02/2023,18.7900,19.1900,18.6300
06/02/2023,19.1200,19.4400,18.8700
03/02/2023,19.6900,20.0300,19.6200
02/02/2023,19.8500,20.3900,19.7600
01/02/2023,20.1100,20.3400,19.6400
31/01/2023,20.0800,20.9500,19.8300
30/01/2023,20.9100,21.8200,20.7700
27/01/2023,21.4300,21.9000,21.2300
26/01/2023,21.9200,22.2700,21.7700
25/01/2023,22.0700,22.2600,21.7600
24/01/2023,22.1000,22.2000,21.8100
23/01/2023,21.7800,22.1700,21.5900
20/01/2023,21.6000,21.9000,21.4600
19/01/2023,21.7000,21.8200,21.3400
18/01/2023,21.5600,21.8800,21.2600
17/01/2023,21.6700,21.8800,21.3200
16/01/2023,21.3700,21.6900,21.2000
13/01/2023,21.5000,22.0600,21.3200
12/01/2023,22.0300,22.6200,21.9700
11/01/2023,22.4100,22.5900,21.7200
10/01/2023,22.6500,22.8000,22.3400
09/01/2023,22.8800,23.0200,21.9200
06/01/2023,22.2100,22.4500,21.8300
05/01/2023,22.1000,22.1700,20.9500
04/01/2023,21.3000,21.4500,20.7800
03/01/2023,20.9900,21.6900,20.9900
02/01/2023,21.4500,22.0300,21.1500
29/12/2022,21.9900,22.1000,21.5800
28/12/2022,21.6400,21.7500,21.1300
27/12/2022,21.0600,21.2500,20.7700
26/12/2022,21.0400,21.2400,20.7500
23/12/2022,21.1100,21.3800,20.6300
22/12/2022,20.8900,20.9400,20.1600
21/12/2022,20.2400,20.8400,20.0500
20/12/2022,20.6700,20.9300,20.2200
19/12/2022,20.4000,20.9900,20.1800
16/12/2022,20.4200,21.1500,20.3100
15/12/2022,20.5300,20.8500,20.2400
14/12/2022,20.5200,20.7600,20.0300
13/12/2022,20.6300,21.5500,20.5700
12/12/2022,20.8900,21.2300,20.5000
09/12/2022,21.1100,21.7200,21.0300
08/12/2022,21.1900,21.6500,21.0600
07/12/2022,21.4600,21.7400,20.5800
06/12/2022,20.7800,21.6700,20.6400
05/12/2022,21.3500,22.5700,21.2100
02/12/2022,22.2200,23.2200,21.3800
01/12/2022,21.5700,22.4200,21.5100
30/11/2022,22.0500,22.5500,21.4700
29/11/2022,22.4600,23.0000,22.4300
28/11/2022,22.7500,23.4700,22.7300
25/11/2022,23.3200,24.0700,23.1300
24/11/2022,23.6300,23.9500,23.2100
23/11/2022,23.2400,23.4400,22.9100
22/11/2022,23.2800,24.1000,23.0700
21/11/2022,23.4800,23.8000,23.1300
18/11/2022,23.0600,24.3000,23.0100
17/11/2022,23.9400,24.4100,23.5600
16/11/2022,25.7100,26.4600,25.4800
14/11/2022,26.9400,28.0000,26.1500
11/11/2022,27.8000,27.8600,24.7100
10/11/2022,24.8400,25.6000,24.4100
09/11/2022,25.3300,26.2900,25.2800
08/11/2022,25.4700,25.7700,24.9000
07/11/2022,25.4000,25.8500,25.1300
04/11/2022,25.5600,25.8200,25.1700
03/11/2022,24.9300,25.2000,24.2800
01/11/2022,24.9000,25.1800,24.3700
31/10/2022,24.9600,25.9500,24.6600
28/10/2022,25.7900,26.0300,24.6800
27/10/2022,24.9300,25.3300,24.4800
26/10/2022,24.7900,25.6900,24.7400
25/10/2022,25.9000,26.4300,25.5100
24/10/2022,26.0100,26.4300,25.4700
21/10/2022,25.7500,26.0000,25.1500
20/10/2022,25.4800,26.3500,25.3400
19/10/2022,25.6800,25.7400,25.2300
18/10/2022,25.4400,25.5900,24.9200
17/10/2022,24.7500,24.9400,24.2400
14/10/2022,24.2400,25.0400,24.0800
13/10/2022,24.7700,25.0600,24.1300
11/10/2022,24.6300,25.6700,24.6300
10/10/2022,25.6800,25.7500,24.4600
07/10/2022,24.5000,24.9700,24.3000
06/10/2022,24.7500,24.9500,24.4600
05/10/2022,24.6000,25.4100,24.3900
04/10/2022,25.2200,26.4600,25.0300
03/10/2022,25.7600,26.2700,25.3800
30/09/2022,25.1200,25.3400,24.9700
29/09/2022,25.3200,25.4300,24.9600
28/09/2022,25.3800,25.9000,25.2600
27/09/2022,25.9200,26.2200,25.6800
26/09/2022,25.7400,26.4000,25.6000
23/09/2022,26.2800,26.7900,26.2000
22/09/2022,26.8200,27.0100,26.2300
21/09/2022,26.7600,27.8000,26.6800
20/09/2022,27.5500,27.9900,26.9600
19/09/2022,27.6500,27.8500,27.2500
16/09/2022,27.7600,27.9600,27.5600
15/09/2022,27.9300,28.0900,27.6700
14/09/2022,27.9200,28.1800,27.6800
13/09/2022,27.9400,28.7100,27.8600
12/09/2022,28.3200,28.4300,28.0000
09/09/2022,27.9400,28.4800,27.7600
08/09/2022,27.5800,28.7800,27.3000
06/09/2022,29.0300,29.4200,28.7000
05/09/2022,29.0000,29.8500,28.5400
02/09/2022,29.1400,29.4800,28.7800
01/09/2022,29.0800,29.8900,28.8900
31/08/2022,29.5900,30.6100,29.5200
30/08/2022,29.9900,30.4900,29.8500
29/08/2022,30.1000,30.3000,29.7000
26/08/2022,29.9500,30.9400,29.5200
25/08/2022,30.7200,30.9900,30.4100
24/08/2022,30.6600,31.5100,30.5900
23/08/2022,31.3700,31.9000,31.0800
22/08/2022,31.7800,32.5900,31.6700
19/08/2022,32.3700,32.6400,31.8200
18/08/2022,32.2600,32.5400,31.9100
17/08/2022,32.4600,32.7300,31.3200
16/08/2022,31.5200,31.5400,30.1200
15/08/2022,30.0500,30.6100,29.8200
12/08/2022,30.4200,31.3800,30.1700
11/08/2022,31.2400,31.6000,30.5400
10/08/2022,30.5500,30.5800,29.3100
09/08/2022,29.3900,30.1200,29.1100
08/08/2022,29.9500,31.1300,29.7400
05/08/2022,31.0800,32.1100,31.0600
04/08/2022,31.4700,31.9100,31.1500
03/08/2022,31.7000,32.3900,31.4900
02/08/2022,32.2400,32.5600,31.4500
01/08/2022,31.8100,32.1900,31.7400
29/07/2022,31.9400,32.3500,31.6300
28/07/2022,32.0800,33.2200,31.9400
27/07/2022,33.1800,33.4500,32.5200
26/07/2022,32.5600,32.8000,31.6800
25/07/2022,31.6200,31.8900,30.7000
22/07/2022,30.7300,31.1800,30.3100
21/07/2022,30.8700,30.9600,29.5500
20/07/2022,30.0700,30.0700,29.2000
19/07/2022,29.6300,29.9900,29.3000
18/07/2022,29.7800,30.3700,29.5600
15/07/2022,30.0200,30.6500,29.9600
14/07/2022,30.6000,30.8800,29.9100
13/07/2022,30.4400,30.8100,30.3300
12/07/2022,30.7100,31.1800,30.5000
11/07/2022,31.1200,31.3000,30.6600
08/07/2022,31.0600,31.9500,30.8500
07/07/2022,31.7000,32.6300,31.5800
06/07/2022,32.0900,32.3300,31.3700
05/07/2022,31.9100,32.1600,31.5300
04/07/2022,32.0000,32.1600,31.3200
01/07/2022,31.7200,32.3400,31.2300
30/06/2022,31.5900,32.4800,31.5400
29/06/2022,32.5500,33.2100,32.2700
28/06/2022,33.1200,33.8600,32.7000
27/06/2022,33.0000,33.2800,32.8400
24/06/2022,33.0400,33.2500,32.4200
23/06/2022,32.7500,33.7500,32.4500
22/06/2022,32.9000,33.4400,31.8800
21/06/2022,32.3800,33.2100,32.1700
20/06/2022,32.6900,32.9000,32.2300
17/06/2022,32.7400,33.2100,32.2000
15/06/2022,33.2200,33.8000,32.8800
14/06/2022,33.0000,33.3900,32.6800
13/06/2022,33.3500,34.8300,33.1800
10/06/2022,34.7800,35.3800,34.4200
09/06/2022,34.7500,35.1800,34.4000
08/06/2022,34.6300,35.1500,34.5400
07/06/2022,35.0600,35.1400,34.1700
06/06/2022,34.4900,34.9100,34.3100
03/06/2022,34.7300,35.6600,34.7300
02/06/2022,35.6000,36.4100,35.4400
