Ativo;Data;Fechamento;Maxima;Minima
ABEV3;20/01/2021;16,02;16,39;15,9
ALPA4;20/01/2021;41,9;42,72;41,63
ALUP11;20/01/2021;26,53;27,12;26,46
ARZZ3;20/01/2021;70;70,84;68,52
AZUL4;20/01/2021;37,91;38,7;36,18
B3SA3;20/01/2021;60;61,36;59,5
BBAS3;20/01/2021;34,53;35,58;34,51
BBDC3;20/01/2021;22,7;23,38;22,7
BBDC4;20/01/2021;25,85;26,62;25,78
BBSE3;20/01/2021;28,65;29,05;28,55
BEEF3;20/01/2021;9,5;9,72;9,42
BIDI4;20/01/2021;46,15;46,93;43,69
BOVA11;20/01/2021;115,24;116,9;114,18
BRAP4;20/01/2021;70,91;72,43;69,7
BRDT3;20/01/2021;21,53;21,92;21,33
BRFS3;20/01/2021;20,41;20,7;20,06
BRKM5;20/01/2021;25,21;25,75;25,11
BRML3;20/01/2021;9,4;9,49;9,23
BRSR6;20/01/2021;13,81;13,97;13,68
BTOW3;20/01/2021;87,5;88,1;80,67
CCRO3;20/01/2021;12,9;13,12;12,81
CESP6;20/01/2021;30,1;30,88;29,81
CMIG3;20/01/2021;16,14;16,35;15,95
CMIG4;20/01/2021;13,84;14,33;13,8
COGN3;20/01/2021;4,64;4,71;4,61
CPFE3;20/01/2021;31,41;31,76;31
CPLE6;20/01/2021;65,13;65,43;63,8
CRFB3;20/01/2021;19,54;20,18;19,54
CSAN3;20/01/2021;80,77;83,49;80,77
CSMG3;20/01/2021;15,73;16,03;15,63
CSNA3;20/01/2021;33,1;33,87;32,35
CVCB3;20/01/2021;19,8;20,19;19,42
CYRE3;20/01/2021;28,42;28,78;27,96
DTEX3;20/01/2021;21,55;21,63;20,72
ECOR3;20/01/2021;12,75;13,06;12,67
EGIE3;20/01/2021;44,02;45,37;43,88
ELET3;20/01/2021;33;33,57;32,75
ELET6;20/01/2021;33,49;34,2;33,4
EMBR3;20/01/2021;9,16;9,62;9
ENBR3;20/01/2021;20,05;20,26;19,77
ENGI11;20/01/2021;47,63;48,04;47,05
EQTL3;20/01/2021;22,28;22,86;22,05
EZTC3;20/01/2021;39;40,13;38,92
FLRY3;20/01/2021;27,22;27,85;27,04
GFSA3;20/01/2021;4,29;4,34;4,09
GGBR4;20/01/2021;25,14;25,96;24,82
GOAU4;20/01/2021;11,41;11,7;11,25
GOLL4;20/01/2021;23,23;23,7;22,53
GRND3;20/01/2021;7,98;8,17;7,97
GUAR3;20/01/2021;14,24;14,7;14,12
HGTX3;20/01/2021;17,01;17,09;16,75
HYPE3;20/01/2021;34,99;36,15;34,63
IGTA3;20/01/2021;34,01;34,79;33,6
IRBR3;20/01/2021;7,66;7,87;7,46
ITSA4;20/01/2021;11,27;11,5;11,17
ITUB3;20/01/2021;27,16;27,69;26,97
ITUB4;20/01/2021;30,32;31,1;30,11
JBSS3;20/01/2021;24,75;25,1;24,38
JHSF3;20/01/2021;7,35;7,46;7,23
KLBN11;20/01/2021;29,11;30,16;29,11
LAME3;20/01/2021;20,13;20,25;19,29
LAME4;20/01/2021;25,65;25,82;24,57
LIGT3;20/01/2021;20,29;21,26;20,13
LINX3;20/01/2021;38,29;38,29;37,68
LOGN3;20/01/2021;15,28;15,52;15
LREN3;20/01/2021;43,11;44,44;42,94
MDIA3;20/01/2021;31,97;32,7;31,86
MGLU3;20/01/2021;25,42;25,53;24,12
MRFG3;20/01/2021;13,53;13,92;13,42
MRVE3;20/01/2021;19,72;20,28;19,67
MULT3;20/01/2021;20,96;21,38;20,67
MYPK3;20/01/2021;15,18;15,52;15,08
ODPV3;20/01/2021;14,48;14,59;14,3
PETR3;20/01/2021;28,63;29,57;28,59
PETR4;20/01/2021;28,21;29,12;28,11
PSSA3;20/01/2021;49,84;50,09;49,39
QUAL3;20/01/2021;32,35;32,86;31,96
RADL3;20/01/2021;26,21;27,01;26,14
RAIL3;20/01/2021;21,03;21,35;20,96
RAPT4;20/01/2021;14,4;15,07;14,32
RENT3;20/01/2021;69,57;70,19;67,9
RLOG3;20/01/2021;20,09;20,6;19,94
SANB11;20/01/2021;41,87;43,34;41,72
SAPR11;20/01/2021;22,65;23,42;22,62
SBSP3;20/01/2021;40,71;41,82;40,71
SEER3;20/01/2021;15,35;15,6;15,21
SLCE3;20/01/2021;34,41;35,23;33,5
SMLS3;20/01/2021;21,95;22,29;21,61
SMTO3;20/01/2021;31,26;32,53;31,15
SUZB3;20/01/2021;65,9;67,8;65,72
TAEE11;20/01/2021;33,16;33,95;33,16
TIET11;20/01/2021;17,1;17,59;17,08
TIMS3;20/01/2021;13,54;13,78;13,41
TOTS3;20/01/2021;29,87;30,15;29,38
TRPL4;20/01/2021;27,53;28,12;27,47
TUPY3;20/01/2021;21,79;22,51;21,74
UGPA3;20/01/2021;22,55;22,74;21,62
USIM5;20/01/2021;14,11;14,55;13,85
VALE3;20/01/2021;92,32;95,14;90,83
VIVT3;20/01/2021;43,86;44,08;43,08
VVAR3;20/01/2021;14,57;15,04;14,34
WEGE3;20/01/2021;88,7;91,42;88,41
;;;;
