Data,Fechamento,Maxima,Minima
31/03/2023,16.5000,17.7300,16.5000
30/03/2023,17.6400,18.1000,17.3700
29/03/2023,17.0000,17.8000,16.6400
28/03/2023,17.8700,17.9400,16.9600
27/03/2023,17.2800,17.3300,16.8400
24/03/2023,16.9900,17.3000,16.7800
23/03/2023,16.8200,17.4200,16.2500
22/03/2023,17.2700,17.9100,17.1200
21/03/2023,17.6000,17.7300,17.3500
20/03/2023,17.4600,18.2100,17.2300
17/03/2023,18.0700,18.5700,17.9300
16/03/2023,18.7000,19.0400,18.2800
15/03/2023,18.5400,18.7500,17.8000
14/03/2023,18.4700,19.3200,18.3300
13/03/2023,19.2200,19.7400,18.4900
10/03/2023,18.9300,19.1500,18.4700
09/03/2023,19.3300,20.2300,19.1500
08/03/2023,19.6000,19.7900,18.1200
07/03/2023,18.2400,18.5100,17.9700
06/03/2023,18.1400,18.5600,17.4500
03/03/2023,17.7500,18.2700,17.7400
02/03/2023,18.1000,18.4800,17.7500
01/03/2023,17.9000,18.8000,17.6300
28/02/2023,18.6500,19.4200,18.6500
27/02/2023,19.2000,19.5400,18.9800
24/02/2023,19.0100,19.4100,18.8500
23/02/2023,19.1800,19.3700,18.6100
22/02/2023,18.6900,19.4000,18.5200
17/02/2023,19.6200,19.8300,18.4300
16/02/2023,19.3800,19.5800,18.6500
15/02/2023,19.2300,19.7500,18.5500
14/02/2023,18.7200,19.5600,18.5400
13/02/2023,19.3400,19.6400,18.9700
10/02/2023,19.2800,19.6200,19.0200
09/02/2023,19.2500,20.3100,19.1300
08/02/2023,20.1000,20.4000,19.5500
07/02/2023,19.7700,20.3500,19.6600
06/02/2023,20.2000,20.5100,19.7700
03/02/2023,20.2600,21.3200,20.0800
02/02/2023,21.7800,22.4300,21.4300
01/02/2023,21.6600,22.2300,21.1300
31/01/2023,21.6300,21.8300,21.2500
30/01/2023,21.1900,21.7000,21.0400
27/01/2023,21.2600,22.0000,21.2100
26/01/2023,21.8300,21.9800,21.5400
25/01/2023,21.7300,21.8800,20.8000
24/01/2023,21.2900,21.3900,20.4400
23/01/2023,20.3900,21.0400,20.3900
20/01/2023,20.5500,21.2800,20.4500
19/01/2023,20.8000,21.0100,20.1400
18/01/2023,20.6500,21.3000,20.2900
17/01/2023,19.9400,20.1000,19.6600
16/01/2023,19.7300,20.9100,19.4300
13/01/2023,20.1400,21.7600,19.9700
12/01/2023,21.2400,21.9600,20.0100
11/01/2023,20.8200,20.9000,20.1000
10/01/2023,20.0200,20.2100,19.1000
09/01/2023,19.4400,19.8400,18.7800
06/01/2023,19.3900,19.5800,18.7800
