Data,Fechamento,Maxima,Minima
31/03/2023,25.5900,25.9700,25.2200
30/03/2023,25.7300,26.5100,25.4300
29/03/2023,25.7400,25.8200,24.7200
28/03/2023,24.6500,24.8500,23.8600
27/03/2023,24.2800,24.5300,23.9700
24/03/2023,24.0800,24.4700,23.6700
23/03/2023,24.2800,25.9100,23.5400
22/03/2023,25.8100,26.4000,25.3800
21/03/2023,26.4000,27.1900,25.5500
20/03/2023,24.9600,31.1500,24.7400
17/03/2023,31.8200,31.8200,30.9200
16/03/2023,31.5200,31.9800,31.1800
15/03/2023,31.3400,31.7100,30.9700
14/03/2023,31.4700,31.9300,31.1500
13/03/2023,31.6000,31.8600,31.3400
10/03/2023,31.6700,32.2100,31.3900
09/03/2023,31.8600,32.3900,31.4100
08/03/2023,31.9200,32.6000,31.7200
07/03/2023,31.8700,31.8700,30.9700
06/03/2023,31.3900,31.6000,30.4600
03/03/2023,30.6400,32.8100,30.5000
02/03/2023,32.4600,34.0600,32.2400
01/03/2023,33.4700,34.0100,32.8700
28/02/2023,33.5700,33.9600,33.2500
27/02/2023,33.7000,34.1500,33.4000
24/02/2023,33.5000,33.5800,32.4700
23/02/2023,33.4300,34.3400,33.1700
22/02/2023,33.4100,33.8300,33.0300
17/02/2023,33.5400,34.1700,33.4500
16/02/2023,33.6100,34.2000,32.9700
15/02/2023,33.5200,33.7100,32.5800
14/02/2023,33.5100,34.3200,33.2100
13/02/2023,34.0100,34.3200,33.5600
10/02/2023,33.9900,34.3800,33.5900
09/02/2023,33.7300,34.5500,33.5800
08/02/2023,34.0000,34.2200,33.6200
07/02/2023,33.6100,33.9200,33.3600
06/02/2023,33.5900,33.8000,32.9600
03/02/2023,33.4000,33.9800,33.1000
02/02/2023,33.4000,34.1300,33.1600
01/02/2023,33.6400,35.4100,33.1100
31/01/2023,34.2200,34.8100,33.5100
30/01/2023,33.5800,34.7900,33.3600
27/01/2023,33.8600,34.6100,33.0600
26/01/2023,34.5200,35.2300,34.1700
25/01/2023,34.9000,35.3900,34.6000
