Data,Fechamento,Maxima,Minima
31/03/2023,6.6200,6.8200,6.5600
30/03/2023,6.7800,6.8400,6.6600
29/03/2023,6.6200,6.7200,6.4900
28/03/2023,6.6400,6.7400,6.4300
27/03/2023,6.6000,6.7200,6.5500
24/03/2023,6.6000,6.6500,6.3600
23/03/2023,6.3700,6.9600,6.3100
22/03/2023,6.7300,7.0200,6.6700
21/03/2023,7.0300,7.2700,7.0100
20/03/2023,7.1400,7.4000,7.1200
17/03/2023,7.3300,7.4200,7.0800
16/03/2023,7.1000,7.6300,6.9000
15/03/2023,6.8700,6.9500,6.6000
14/03/2023,6.7800,6.9400,6.6800
13/03/2023,6.8300,6.8300,6.6600
10/03/2023,6.8300,7.0600,6.8200
09/03/2023,7.0300,7.2400,6.9500
08/03/2023,6.9900,7.1300,6.7900
07/03/2023,6.9500,7.0400,6.8100
06/03/2023,6.9200,6.9400,6.7000
03/03/2023,6.7700,6.8200,6.5300
02/03/2023,6.6500,6.7200,6.1200
01/03/2023,6.5700,6.8700,6.2900
28/02/2023,6.3700,6.6100,6.3700
27/02/2023,6.4500,6.5400,6.2600
24/02/2023,6.3000,6.3300,6.1300
23/02/2023,6.2900,6.3700,6.0600
22/02/2023,6.2700,6.5500,6.2000
17/02/2023,6.5800,6.8200,6.5600
16/02/2023,6.7600,6.8400,6.6000
15/02/2023,6.8400,6.9000,6.4800
14/02/2023,6.5800,6.8800,6.5200
13/02/2023,6.7000,6.8100,6.6000
10/02/2023,6.6200,6.8600,6.5600
09/02/2023,6.7200,7.1100,6.7100
08/02/2023,7.0100,7.0100,6.6100
07/02/2023,6.8100,7.2800,6.8100
06/02/2023,7.1800,7.6400,7.1800
03/02/2023,7.7000,7.8700,7.6300
02/02/2023,7.7800,8.0900,7.7400
01/02/2023,8.1100,8.2400,7.5800
31/01/2023,7.7000,7.8500,7.5400
30/01/2023,7.7900,8.2200,7.6900
27/01/2023,8.0300,8.2900,8.0000
26/01/2023,8.3000,8.4400,8.2400
25/01/2023,8.3800,8.4400,8.2400
24/01/2023,8.4000,8.5000,8.2700
23/01/2023,8.4200,8.4800,8.1600
20/01/2023,8.1900,8.3600,8.1500
19/01/2023,8.2700,8.3000,8.0700
18/01/2023,8.2300,8.3900,8.1100
17/01/2023,8.3000,8.4300,7.9700
16/01/2023,8.0600,8.3700,7.9600
13/01/2023,8.3700,8.7300,8.2700
12/01/2023,8.6400,8.8600,8.3800
11/01/2023,8.6400,8.6800,8.3300
