Data,Fechamento,Maxima,Minima
31/03/2023,3.7500,3.9400,3.7500
30/03/2023,3.9300,4.0500,3.8100
29/03/2023,3.7800,3.9800,3.6800
28/03/2023,4.0200,4.1400,3.7600
27/03/2023,3.7800,3.9400,3.6700
24/03/2023,3.6800,3.8300,3.6600
23/03/2023,3.6400,3.9800,3.5800
22/03/2023,3.9100,4.1000,3.8900
21/03/2023,3.9100,4.0900,3.8700
20/03/2023,3.8600,4.1100,3.8500
17/03/2023,4.1300,4.3200,4.0600
16/03/2023,4.3300,4.4800,4.3100
15/03/2023,4.4400,4.4800,4.2800
14/03/2023,4.5200,4.8500,4.5000
13/03/2023,4.7500,4.7900,4.6100
10/03/2023,4.8500,4.9600,4.6500
09/03/2023,4.8900,5.1000,4.8200
08/03/2023,4.9300,4.9800,4.5400
07/03/2023,4.5100,4.5900,4.3400
06/03/2023,4.3300,4.4300,4.1800
03/03/2023,4.2500,4.5000,4.2500
02/03/2023,4.4400,4.7000,4.4400
01/03/2023,4.6800,4.8400,4.6200
28/02/2023,4.6700,4.8400,4.6100
27/02/2023,4.7300,4.9400,4.7200
24/02/2023,4.9100,5.0900,4.8900
23/02/2023,5.0100,5.2500,4.9800
22/02/2023,5.2000,5.2900,5.1000
17/02/2023,5.4000,5.4800,5.1900
16/02/2023,5.2900,5.3100,5.0100
15/02/2023,5.1900,5.3200,4.9100
14/02/2023,5.0400,5.4100,5.0100
13/02/2023,5.3400,5.5100,5.2100
10/02/2023,5.4200,5.4700,5.2000
09/02/2023,5.3800,5.7100,5.3600
08/02/2023,5.5200,5.6100,5.2500
07/02/2023,5.4300,5.5800,5.3400
06/02/2023,5.4400,5.7600,5.2600
03/02/2023,5.7300,6.1100,5.6600
02/02/2023,6.1100,6.4500,6.0500
01/02/2023,6.3700,6.4400,6.2600
31/01/2023,6.3100,6.3700,5.8800
30/01/2023,5.9200,6.1000,5.8600
27/01/2023,5.9400,5.9800,5.7400
26/01/2023,5.9200,5.9200,5.6700
25/01/2023,5.7900,6.0300,5.7200
24/01/2023,5.8900,5.9700,5.6300
23/01/2023,5.6600,5.7700,5.4900
20/01/2023,5.4800,5.5900,5.3900
19/01/2023,5.4800,5.5300,5.3300
18/01/2023,5.4600,5.7700,5.3100
17/01/2023,5.6000,5.8200,5.5200
16/01/2023,5.9200,6.2100,5.8500
13/01/2023,6.1800,6.2700,6.0800
12/01/2023,6.4200,6.7400,6.3700
11/01/2023,6.7300,6.7700,6.3000
10/01/2023,6.5800,6.6100,6.1600
09/01/2023,6.3600,6.4400,6.0400
06/01/2023,6.3200,6.3200,5.8200
05/01/2023,5.9300,6.1900,5.7700
