Data,Fechamento,Maxima,Minima
31/03/2023,3.6300,3.6700,3.6200
30/03/2023,3.6400,3.6400,3.5500
29/03/2023,3.5500,3.5700,3.4900
28/03/2023,3.5100,3.5400,3.4900
27/03/2023,3.5000,3.5200,3.4700
24/03/2023,3.4900,3.4900,3.4100
23/03/2023,3.4200,3.5000,3.3700
22/03/2023,3.4600,3.5100,3.4500
21/03/2023,3.4800,3.5200,3.4500
20/03/2023,3.5100,3.5400,3.4800
17/03/2023,3.4900,3.5900,3.4900
16/03/2023,3.5600,3.6200,3.5600
15/03/2023,3.5800,3.6100,3.4800
14/03/2023,3.5000,3.5700,3.4700
13/03/2023,3.5500,3.6000,3.5100
10/03/2023,3.5200,3.5400,3.4500
09/03/2023,3.4800,3.5200,3.4400
08/03/2023,3.4500,3.4700,3.4300
07/03/2023,3.4300,3.4700,3.4100
06/03/2023,3.4600,3.4600,3.4100
03/03/2023,3.4200,3.4600,3.4000
02/03/2023,3.4200,3.5000,3.4200
01/03/2023,3.4500,3.4800,3.4100
28/02/2023,3.4100,3.4700,3.4100
27/02/2023,3.4300,3.4600,3.4300
24/02/2023,3.4400,3.4700,3.4300
23/02/2023,3.4500,3.4800,3.4400
22/02/2023,3.4700,3.5100,3.4600
17/02/2023,3.5000,3.5600,3.5000
16/02/2023,3.5100,3.5500,3.4600
15/02/2023,3.5200,3.5600,3.5000
14/02/2023,3.5000,3.5600,3.5000
13/02/2023,3.5200,3.5200,3.4800
10/02/2023,3.4900,3.5000,3.4500
09/02/2023,3.4500,3.4900,3.4400
08/02/2023,3.4700,3.4900,3.4600
07/02/2023,3.4700,3.4900,3.4500
06/02/2023,3.4900,3.5300,3.4800
03/02/2023,3.5200,3.5700,3.5100
02/02/2023,3.5400,3.6100,3.5200
01/02/2023,3.5200,3.5600,3.5000
31/01/2023,3.5200,3.5400,3.4900
30/01/2023,3.4900,3.5800,3.4900
27/01/2023,3.5400,3.5800,3.5300
26/01/2023,3.5400,3.5700,3.5000
25/01/2023,3.5000,3.5200,3.4700
24/01/2023,3.4900,3.5100,3.4600
23/01/2023,3.4700,3.5300,3.4700
20/01/2023,3.5000,3.5300,3.4700
19/01/2023,3.5200,3.5300,3.4900
18/01/2023,3.5200,3.5500,3.4900
17/01/2023,3.5000,3.5000,3.4600
16/01/2023,3.4700,3.5000,3.4400
13/01/2023,3.4600,3.5300,3.4300
12/01/2023,3.5200,3.5900,3.5200
11/01/2023,3.5500,3.5600,3.4800
10/01/2023,3.5100,3.5200,3.4600
09/01/2023,3.4900,3.4900,3.3800
06/01/2023,3.4300,3.4600,3.4100
05/01/2023,3.4300,3.4300,3.3800
04/01/2023,3.4000,3.4300,3.3600
03/01/2023,3.3800,3.4800,3.3600
02/01/2023,3.4500,3.4900,3.3800
29/12/2022,3.6500,3.7000,3.6200
28/12/2022,3.6700,3.6700,3.6000
27/12/2022,3.6400,3.7000,3.5900
26/12/2022,3.6800,3.6900,3.6400
