Data,Fechamento,Maxima,Minima
31/03/2023,42.0200,43.6100,41.7400
30/03/2023,43.0500,44.0000,42.8500
29/03/2023,43.0700,43.3900,42.5000
28/03/2023,42.2800,42.8000,41.9400
27/03/2023,41.9900,42.8800,41.9200
24/03/2023,42.6300,42.8400,41.8500
23/03/2023,42.2400,43.7700,41.9200
22/03/2023,42.8800,43.3800,42.6800
21/03/2023,42.9500,43.5200,42.8100
20/03/2023,43.2300,43.8500,42.8900
17/03/2023,43.5900,44.1400,43.3200
16/03/2023,43.9900,44.9800,43.8400
15/03/2023,44.2200,44.7300,43.9200
14/03/2023,44.9700,45.3000,44.5800
13/03/2023,44.5800,45.5600,44.3800
10/03/2023,45.0700,46.6500,45.0100
09/03/2023,46.4700,47.6200,46.2600
08/03/2023,47.4400,48.0900,47.0000
07/03/2023,47.7500,48.2400,47.3000
06/03/2023,47.7800,48.6800,47.4200
03/03/2023,48.2000,48.3800,46.7000
02/03/2023,46.7000,47.7600,46.5600
01/03/2023,46.7700,48.4300,45.7600
28/02/2023,47.7400,47.9500,46.1400
27/02/2023,46.3400,46.8000,46.0200
24/02/2023,46.1500,46.4900,45.6400
23/02/2023,46.1500,46.6800,45.7200
22/02/2023,46.0400,46.6600,45.7200
17/02/2023,46.9600,48.2300,46.6000
16/02/2023,47.7600,48.8400,47.4000
15/02/2023,48.1800,48.1800,46.6200
14/02/2023,46.9500,47.5200,46.4000
13/02/2023,46.7100,47.1500,46.2400
10/02/2023,46.4000,46.6000,45.9800
09/02/2023,46.3000,47.0900,45.9000
08/02/2023,45.9500,46.2200,45.7200
07/02/2023,46.0600,46.7300,45.5200
06/02/2023,45.9600,46.6400,45.8000
03/02/2023,46.3100,48.3100,44.4000
02/02/2023,45.0200,46.7500,44.7100
01/02/2023,46.7500,47.1400,46.0200
31/01/2023,46.3600,47.3300,45.9800
30/01/2023,46.2800,46.5400,44.5800
27/01/2023,45.0800,45.5600,44.1500
26/01/2023,45.4000,46.2600,44.8200
25/01/2023,46.7700,47.3900,46.3200
24/01/2023,47.5100,48.1500,46.7800
23/01/2023,46.9800,47.8300,46.7000
20/01/2023,47.1400,49.2000,47.1400
19/01/2023,49.3400,50.6400,49.1300
18/01/2023,49.8600,51.7000,49.3800
17/01/2023,51.2200,51.6800,50.2600
16/01/2023,50.6100,50.9700,49.7300
13/01/2023,50.4300,51.0600,49.9000
12/01/2023,50.2600,50.6000,49.0600
11/01/2023,49.2500,50.0500,48.4800
10/01/2023,49.9800,50.6900,49.7800
09/01/2023,50.6100,50.9900,49.7100
06/01/2023,49.9400,50.7000,49.6000
05/01/2023,50.2600,50.6700,49.7100
04/01/2023,49.9500,50.7300,49.7000
03/01/2023,49.8500,49.8500,48.4200
02/01/2023,48.9800,49.1600,47.6100
29/12/2022,48.2400,48.5700,47.6300
28/12/2022,48.1300,48.8000,47.8400
27/12/2022,47.5000,47.6600,46.3000
26/12/2022,46.1800,46.8600,46.0000
23/12/2022,46.8400,47.9300,46.5000
22/12/2022,48.1400,48.5800,47.8400
21/12/2022,48.4100,49.1200,47.8800
20/12/2022,48.5400,49.5800,47.8600
19/12/2022,48.8300,50.3400,48.3300
16/12/2022,51.4300,52.2200,51.1600
15/12/2022,51.7700,52.6300,51.0000
14/12/2022,52.5000,53.4300,51.5000
13/12/2022,51.3600,55.0700,51.1200
12/12/2022,54.8900,55.4600,54.1500
09/12/2022,54.9900,55.1000,52.7800
08/12/2022,53.1000,54.3100,52.5700
07/12/2022,53.0500,53.8000,52.2600
06/12/2022,53.3000,53.9500,52.1400
05/12/2022,52.5100,52.7100,51.3100
02/12/2022,51.3800,52.3900,50.1100
01/12/2022,53.1700,53.5900,52.3600
30/11/2022,53.1500,53.8500,52.3000
29/11/2022,53.3100,55.7000,53.0900
28/11/2022,54.9400,55.3400,54.1000
25/11/2022,54.9400,56.6500,54.4800
24/11/2022,55.9500,56.3100,54.9900
23/11/2022,55.7100,56.7200,55.2100
22/11/2022,56.0800,56.9800,55.5900
21/11/2022,55.9200,57.8300,55.3500
18/11/2022,57.5700,58.0500,56.2300
17/11/2022,57.9400,59.8800,57.5300
16/11/2022,58.6000,59.2400,57.5100
14/11/2022,57.7400,58.9800,56.9600
11/11/2022,58.2500,59.2100,56.2600
10/11/2022,56.3800,56.7900,54.8100
09/11/2022,55.1200,56.2600,54.7400
08/11/2022,55.4500,56.3800,54.9000
07/11/2022,54.9800,55.3200,53.6200
04/11/2022,54.4800,55.5700,53.9000
03/11/2022,53.9200,54.0000,51.7200
01/11/2022,52.8700,53.7000,52.6200
31/10/2022,53.2000,55.4000,52.8200
28/10/2022,55.1100,55.2900,53.4900
27/10/2022,53.1200,53.4800,51.8800
26/10/2022,52.8000,53.2600,51.5500
25/10/2022,52.0300,52.4800,51.6600
24/10/2022,51.4200,52.0800,49.9300
21/10/2022,49.6900,49.9400,48.5200
20/10/2022,49.6000,49.7500,48.7100
19/10/2022,49.2200,50.0700,48.9600
18/10/2022,49.6600,50.4800,49.0800
17/10/2022,49.4300,49.7400,47.8300
14/10/2022,47.7900,49.1000,47.5900
13/10/2022,47.7900,48.1700,46.6800
11/10/2022,47.6300,48.7100,47.2700
10/10/2022,48.2500,48.4600,46.3200
07/10/2022,46.3900,47.2700,46.3400
06/10/2022,46.7600,47.2600,46.6600
05/10/2022,46.9400,47.1000,45.7300
04/10/2022,45.7700,46.7400,45.5500
03/10/2022,45.4100,45.7400,44.2200
30/09/2022,44.5000,44.7000,42.9600
29/09/2022,43.2300,43.6600,42.9100
28/09/2022,43.5000,44.1000,43.1200
27/09/2022,43.3300,44.7700,42.7800
26/09/2022,42.4600,42.8600,41.9000
23/09/2022,42.5400,43.9100,42.1500
