Data,Fechamento,Maxima,Minima
31/03/2023,12.6400,13.2900,12.6200
30/03/2023,13.1100,13.1400,12.9400
29/03/2023,12.9000,13.0800,12.8200
28/03/2023,12.8200,12.9100,12.6900
27/03/2023,12.7900,12.8900,12.6900
24/03/2023,12.7000,12.7400,12.5000
23/03/2023,12.6900,12.9400,12.5500
22/03/2023,12.6000,12.7400,12.5300
21/03/2023,12.5400,12.6800,12.4200
20/03/2023,12.6700,12.8300,12.5600
17/03/2023,12.7900,12.8700,12.4800
16/03/2023,12.7700,13.0400,12.7400
15/03/2023,12.9600,12.9600,12.5800
14/03/2023,12.7800,13.0200,12.5000
13/03/2023,12.5100,12.5100,12.1200
10/03/2023,12.2000,12.2600,12.0700
09/03/2023,12.3000,12.4700,12.2000
08/03/2023,12.4100,12.4500,12.1200
07/03/2023,12.2500,12.2500,12.0700
06/03/2023,12.0900,12.1900,11.9600
03/03/2023,12.0000,12.1700,11.9800
02/03/2023,12.0800,12.4300,12.0800
01/03/2023,12.2400,12.3400,12.1600
28/02/2023,12.2600,12.4800,12.2100
27/02/2023,12.2700,12.4900,12.2700
24/02/2023,12.4400,12.5500,12.3200
23/02/2023,12.4000,12.6400,12.3000
22/02/2023,12.4300,12.4300,12.0700
17/02/2023,12.2000,12.3700,12.1100
16/02/2023,12.1300,12.2200,11.9500
15/02/2023,12.0600,12.4200,11.7600
14/02/2023,11.7100,11.8000,11.4600
13/02/2023,11.5300,11.6200,11.3000
10/02/2023,11.2900,11.3800,10.7900
09/02/2023,10.8100,11.1200,10.7500
08/02/2023,11.0400,11.1600,10.8900
07/02/2023,10.9600,11.2700,10.9200
06/02/2023,11.2000,11.3300,11.0600
03/02/2023,11.1400,11.4800,11.1100
02/02/2023,11.4100,11.6100,11.4100
01/02/2023,11.5600,11.8500,11.4300
31/01/2023,11.7900,11.8500,11.4900
30/01/2023,11.5600,11.5600,11.4100
27/01/2023,11.4000,11.6000,11.3500
26/01/2023,11.5600,11.5800,11.3800
25/01/2023,11.4400,11.4900,11.2600
24/01/2023,11.4600,11.7600,11.3900
23/01/2023,11.6200,11.7100,11.5200
20/01/2023,11.6100,11.6700,11.4500
19/01/2023,11.6400,11.6900,11.5000
18/01/2023,11.6500,11.9000,11.6100
17/01/2023,11.7800,11.8500,11.6700
16/01/2023,11.7300,11.8600,11.5300
13/01/2023,11.6300,11.9600,11.5500
12/01/2023,11.8600,11.8700,11.5400
11/01/2023,11.7000,11.8100,11.3600
10/01/2023,11.8700,11.9100,11.7600
09/01/2023,11.9500,12.1000,11.7800
06/01/2023,11.9400,12.0200,11.7100
05/01/2023,11.7900,12.0200,11.7200
04/01/2023,11.9000,11.9800,11.5400
03/01/2023,11.6900,11.9600,11.6800
02/01/2023,11.9800,12.4400,11.7800
29/12/2022,12.4000,12.4800,12.3100
28/12/2022,12.2700,12.3100,12.1000
27/12/2022,12.2300,12.2400,12.0300
26/12/2022,12.1200,12.2800,12.1000
23/12/2022,12.3000,12.4900,12.2200
22/12/2022,12.2800,12.4300,12.1800
21/12/2022,12.4000,12.5700,12.3700
20/12/2022,12.4500,12.5400,12.2900
19/12/2022,12.4000,12.5300,12.3100
16/12/2022,12.2800,12.6400,12.2000
15/12/2022,12.5500,12.9000,12.5200
14/12/2022,12.6600,12.7400,12.2300
13/12/2022,12.5500,12.7700,12.4500
12/12/2022,12.6000,12.7300,12.4400
09/12/2022,12.5700,12.6100,12.3800
08/12/2022,12.4700,12.9500,12.4000
07/12/2022,12.8400,12.9900,12.7300
06/12/2022,12.9000,13.0400,12.8100
05/12/2022,12.8500,13.0400,12.8400
02/12/2022,13.1600,13.2800,12.9600
01/12/2022,13.0000,13.1500,12.9000
30/11/2022,13.0000,13.2200,12.8400
29/11/2022,13.1200,13.2300,13.0300
28/11/2022,13.0700,13.2400,12.9600
25/11/2022,13.0700,13.2900,12.9300
24/11/2022,13.2500,13.3200,12.9400
23/11/2022,12.9300,12.9600,12.7200
22/11/2022,12.9000,13.1100,12.8000
21/11/2022,12.9400,13.2400,12.9200
18/11/2022,12.8200,13.1400,12.7300
17/11/2022,12.9400,12.9500,12.5400
16/11/2022,13.1400,13.6400,13.0700
14/11/2022,13.5500,13.7500,13.5200
11/11/2022,13.6200,13.7400,13.3800
10/11/2022,13.5200,13.8600,13.3800
09/11/2022,13.7000,13.7400,13.1700
08/11/2022,13.2400,13.5000,13.1600
07/11/2022,13.5700,13.6700,13.4300
04/11/2022,13.5700,13.9200,13.4900
03/11/2022,13.6800,13.7500,13.0600
01/11/2022,13.3300,13.5200,13.0400
31/10/2022,13.2000,13.2500,12.9100
28/10/2022,13.1100,13.1100,12.8000
27/10/2022,12.8600,13.0600,12.4200
26/10/2022,12.4600,12.7300,12.3600
25/10/2022,12.5000,12.6200,12.4400
24/10/2022,12.5900,12.6700,12.4700
21/10/2022,12.5700,12.6800,12.4100
20/10/2022,12.6900,12.9100,12.5800
19/10/2022,12.7400,13.0300,12.1100
18/10/2022,12.1700,12.1700,11.8500
17/10/2022,11.9300,12.1800,11.9300
14/10/2022,11.9600,12.3500,11.9100
13/10/2022,12.1400,12.3000,12.0300
11/10/2022,12.2200,12.4100,12.1500
10/10/2022,12.2800,12.3700,12.1800
07/10/2022,12.2200,12.2400,12.0100
06/10/2022,12.0200,12.0600,11.9000
05/10/2022,12.0300,12.2300,11.9600
04/10/2022,12.2100,12.8300,12.2100
03/10/2022,12.5700,12.7400,12.1500
30/09/2022,12.0800,12.1600,11.8900
29/09/2022,11.9600,12.0900,11.8300
28/09/2022,11.9600,12.0400,11.6900
27/09/2022,11.6600,11.9100,11.6500
26/09/2022,11.8300,12.2600,11.7900
23/09/2022,12.1400,12.2500,12.0100
22/09/2022,12.2500,12.3700,11.8900
21/09/2022,11.9600,12.1900,11.9600
20/09/2022,12.1200,12.2700,12.0100
19/09/2022,12.2100,12.2100,11.8900
16/09/2022,12.1800,12.3400,12.1700
15/09/2022,12.3300,12.4500,12.2500
14/09/2022,12.3300,12.5900,12.0900
13/09/2022,12.1900,12.7000,12.1900
12/09/2022,12.6900,12.9300,12.6900
09/09/2022,12.7900,12.8700,12.4500
08/09/2022,12.3900,12.4600,12.0600
06/09/2022,12.1500,12.1800,11.8100
05/09/2022,11.8900,12.1400,11.8500
02/09/2022,11.9200,12.0500,11.7500
01/09/2022,11.7300,11.9500,11.7000
31/08/2022,11.8300,12.0400,11.7000
30/08/2022,11.8900,12.0700,11.8700
29/08/2022,11.8400,11.9500,11.7600
26/08/2022,11.9100,12.1200,11.8500
25/08/2022,12.0600,12.2300,12.0200
24/08/2022,12.0600,12.3000,12.0200
23/08/2022,12.2700,12.3800,12.2100
22/08/2022,12.3800,12.4400,12.1700
19/08/2022,12.2600,12.4500,12.2300
18/08/2022,12.4700,12.6800,12.3500
17/08/2022,12.6300,12.7000,12.4600
16/08/2022,12.5400,12.6100,12.3500
15/08/2022,12.4800,12.7000,12.4200
12/08/2022,12.7400,12.9900,12.6300
11/08/2022,12.8900,13.1000,12.8400
10/08/2022,12.9200,13.0800,12.8200
09/08/2022,12.8700,12.9400,12.6500
08/08/2022,12.6800,12.7800,12.5500
05/08/2022,12.6700,12.7400,12.4600
04/08/2022,12.5000,12.5500,12.2600
03/08/2022,12.2000,12.3400,11.9700
02/08/2022,12.2900,12.4900,12.1800
01/08/2022,12.4700,12.6400,12.3700
29/07/2022,12.5900,12.7200,12.5300
28/07/2022,12.6300,12.6300,12.2800
27/07/2022,12.4000,12.6200,12.3400
26/07/2022,12.6000,12.7600,12.5700
25/07/2022,12.6500,12.9600,12.6500
22/07/2022,12.9000,12.9400,12.7600
21/07/2022,12.9100,12.9300,12.6800
20/07/2022,12.8900,13.2000,12.8100
19/07/2022,13.0600,13.0700,12.7900
18/07/2022,12.8700,13.0300,12.8400
15/07/2022,12.9200,13.1100,12.7300
14/07/2022,12.9800,13.1200,12.8300
13/07/2022,12.9900,13.2300,12.9700
12/07/2022,13.2800,13.5000,13.1800
11/07/2022,13.4400,13.5500,13.3300
08/07/2022,13.5100,13.6500,13.3700
07/07/2022,13.5200,13.5500,13.1000
06/07/2022,13.1100,13.1900,12.9000
05/07/2022,13.0400,13.1300,12.8500
04/07/2022,13.0000,13.1700,13.0000
01/07/2022,13.1800,13.3500,12.6600
30/06/2022,12.7600,12.8800,12.2500
29/06/2022,12.5000,12.6300,12.4300
28/06/2022,12.5600,12.7500,12.5100
27/06/2022,12.6000,12.7200,12.5700
24/06/2022,12.5700,12.6800,12.4600
23/06/2022,12.5500,12.6600,12.5400
22/06/2022,12.5800,12.7300,12.4700
21/06/2022,12.6400,12.6400,12.4000
20/06/2022,12.4400,12.6100,12.2800
17/06/2022,12.4500,12.5100,12.2400
15/06/2022,12.5100,12.6400,12.4100
14/06/2022,12.4600,12.5700,12.3500
13/06/2022,12.4600,12.7700,12.3600
10/06/2022,12.7900,12.9700,12.7300
09/06/2022,12.9800,13.1300,12.9300
08/06/2022,13.1700,13.2300,12.9700
07/06/2022,13.1700,13.3800,13.0600
