Data,Fechamento,Maxima,Minima
31/03/2023,7.2600,7.5300,7.2500
30/03/2023,7.3100,7.3900,7.0500
29/03/2023,6.8300,6.9100,6.7500
28/03/2023,6.8300,6.9100,6.6300
27/03/2023,6.6200,6.7600,6.6100
24/03/2023,6.6200,6.6800,6.5300
23/03/2023,6.6400,6.8800,6.5600
22/03/2023,6.8000,6.9200,6.7400
21/03/2023,6.7900,6.9000,6.7700
20/03/2023,6.8500,6.9800,6.8000
17/03/2023,6.9400,7.0700,6.8400
16/03/2023,6.9900,7.0600,6.8200
15/03/2023,6.8900,6.9500,6.6800
14/03/2023,7.0100,7.0100,6.8800
13/03/2023,6.9300,7.0200,6.8100
10/03/2023,6.9300,7.1400,6.8700
09/03/2023,7.1200,7.2900,7.0400
08/03/2023,7.2900,7.3000,7.0100
07/03/2023,7.0300,7.2000,6.9100
06/03/2023,7.1200,7.1500,6.9800
03/03/2023,7.1800,7.3100,7.0700
02/03/2023,7.1000,7.1700,7.0200
01/03/2023,7.1700,7.2100,6.8500
28/02/2023,6.8300,6.9200,6.7700
27/02/2023,6.8500,6.9700,6.8000
24/02/2023,6.8300,7.0100,6.8000
23/02/2023,7.0000,7.1500,6.8100
22/02/2023,7.0900,7.2500,7.0500
17/02/2023,7.2800,7.2900,7.1500
16/02/2023,7.3000,7.3500,7.1500
15/02/2023,7.2400,7.2900,7.0300
14/02/2023,7.1200,7.4300,7.0300
13/02/2023,7.3000,7.3200,7.0500
10/02/2023,7.3400,7.5300,7.1800
09/02/2023,7.4300,7.7000,7.4000
08/02/2023,7.6100,7.6600,7.5000
07/02/2023,7.5800,7.7400,7.5400
06/02/2023,7.6700,7.8100,7.5600
03/02/2023,7.8300,8.0800,7.8100
02/02/2023,7.9100,8.3500,7.9100
01/02/2023,8.4100,8.5200,8.2800
31/01/2023,8.5300,8.6700,8.3900
30/01/2023,8.4700,8.5800,8.3500
27/01/2023,8.4700,8.5900,8.4000
26/01/2023,8.5900,8.6400,8.3300
25/01/2023,8.2800,8.3400,8.1300
24/01/2023,8.2700,8.4300,8.0100
23/01/2023,8.3400,8.5600,8.3200
20/01/2023,8.2900,8.2900,8.0400
19/01/2023,8.0700,8.2700,7.9400
18/01/2023,8.1300,8.2300,7.9700
17/01/2023,7.9400,8.0000,7.7600
16/01/2023,7.7400,7.7800,7.5900
13/01/2023,7.8100,7.9000,7.7600
12/01/2023,7.8800,7.9800,7.8400
11/01/2023,7.8500,8.0000,7.7400
10/01/2023,7.9000,7.9200,7.5800
09/01/2023,7.6200,7.6800,7.3800
06/01/2023,7.5900,7.7700,7.5100
05/01/2023,7.5100,7.5300,7.0500
