Data,Fechamento,Maxima,Minima
31/03/2023,80.3100,82.1700,80.1900
30/03/2023,81.8200,81.9500,81.1500
29/03/2023,80.5100,80.8400,79.8400
28/03/2023,79.3700,79.9000,78.5900
27/03/2023,78.5400,80.0800,78.0300
24/03/2023,78.6700,79.8600,78.0900
23/03/2023,79.5800,82.1800,78.8100
22/03/2023,81.6800,82.7500,81.6100
21/03/2023,82.7100,83.4400,81.5400
20/03/2023,83.4100,83.9900,81.8100
17/03/2023,82.7300,83.5000,82.6300
16/03/2023,81.7500,82.1500,80.7100
15/03/2023,81.4500,83.0900,80.1000
14/03/2023,83.9800,84.3500,82.9000
13/03/2023,85.0500,86.0000,84.0500
10/03/2023,84.7000,86.1800,84.2700
09/03/2023,84.9800,86.4900,84.8200
08/03/2023,86.1100,86.4100,85.4000
07/03/2023,85.3300,87.4000,84.8000
06/03/2023,86.1500,87.9000,86.1200
03/03/2023,89.3000,90.3000,88.8100
02/03/2023,89.0000,90.1400,88.4200
01/03/2023,89.2000,89.8500,87.5000
28/02/2023,85.3200,86.5000,84.3400
27/02/2023,85.0400,85.3800,83.6500
24/02/2023,85.0400,86.4800,84.6500
23/02/2023,86.9500,88.0700,85.5500
22/02/2023,87.3600,88.4500,86.5700
17/02/2023,88.0300,89.7500,87.5400
16/02/2023,89.1900,90.2600,88.9000
15/02/2023,89.0000,89.2400,86.5600
14/02/2023,87.1000,87.7200,86.5300
13/02/2023,86.7100,87.1100,85.3000
10/02/2023,86.8000,88.9500,86.3600
09/02/2023,88.3900,89.5500,87.4700
08/02/2023,88.7200,89.3700,87.6000
07/02/2023,88.4200,88.6800,86.9900
06/02/2023,87.8400,88.2500,86.6600
03/02/2023,88.9500,90.7700,88.6900
02/02/2023,89.1400,91.9600,88.8600
01/02/2023,93.4600,95.2000,91.5900
31/01/2023,94.5100,94.8800,93.8500
30/01/2023,94.9800,96.3000,94.1900
27/01/2023,95.3200,98.2900,94.8300
26/01/2023,98.0000,98.0000,96.3900
25/01/2023,96.2000,96.4000,94.7700
24/01/2023,95.3000,95.3000,93.2000
23/01/2023,94.3000,94.7000,93.7000
20/01/2023,93.9900,94.5700,93.5000
19/01/2023,93.7400,94.3700,93.3200
18/01/2023,93.3400,94.2400,92.9100
17/01/2023,92.1300,93.2400,91.8300
16/01/2023,92.2500,92.3900,90.8300
13/01/2023,93.8200,94.2800,93.3600
12/01/2023,93.7400,94.3000,92.9400
11/01/2023,93.2500,94.4800,92.2600
10/01/2023,93.5800,93.9000,92.3400
09/01/2023,92.4400,92.9900,91.2500
06/01/2023,92.3400,92.7400,91.0000
05/01/2023,90.9000,91.6800,89.0000
04/01/2023,89.4000,89.6500,87.9400
03/01/2023,89.2400,90.0900,88.8900
02/01/2023,89.4000,89.9000,88.5300
29/12/2022,88.8800,89.9500,88.8300
28/12/2022,88.9900,90.2100,88.7000
27/12/2022,89.1900,89.6500,87.4700
26/12/2022,87.1100,87.5400,86.3300
23/12/2022,86.3200,86.5200,85.0800
22/12/2022,85.7500,86.6500,84.6900
21/12/2022,86.2400,87.4000,85.8000
20/12/2022,85.7500,87.2500,85.3100
19/12/2022,85.3700,85.5900,84.2400
16/12/2022,85.6800,87.3200,84.5100
15/12/2022,87.1700,88.1700,86.8900
14/12/2022,86.8900,87.3300,85.5000
13/12/2022,86.1600,87.4000,85.6300
12/12/2022,86.0900,88.3000,85.3800
09/12/2022,88.7400,89.5400,87.5300
08/12/2022,85.8800,87.2500,85.3500
07/12/2022,84.8400,86.4200,83.8600
06/12/2022,87.9700,88.9300,86.8800
05/12/2022,86.7100,88.9900,86.6800
02/12/2022,86.8000,87.7400,84.9700
01/12/2022,86.1800,86.7500,84.7300
30/11/2022,85.7100,86.6200,84.7600
29/11/2022,84.4400,85.6800,82.6200
28/11/2022,81.3000,82.3400,79.5200
25/11/2022,80.9000,82.8800,80.6800
24/11/2022,81.4500,82.3900,80.6100
23/11/2022,80.9300,81.3600,79.9400
22/11/2022,80.1400,81.4600,79.3900
21/11/2022,79.9200,80.1900,78.2800
18/11/2022,80.8300,84.4900,80.7000
17/11/2022,83.1000,83.2900,80.7400
16/11/2022,82.4400,84.7700,81.5400
14/11/2022,83.3100,84.4400,81.3800
11/11/2022,82.3000,82.9900,77.2100
10/11/2022,74.5500,75.4700,71.3800
09/11/2022,73.1500,74.7800,72.5200
08/11/2022,74.0500,74.9300,71.6500
07/11/2022,71.8700,73.0300,71.4400
04/11/2022,72.2500,73.3900,70.8000
03/11/2022,67.1500,67.9400,66.5800
01/11/2022,69.1700,70.8000,68.9500
31/10/2022,67.1300,69.4000,65.5200
28/10/2022,67.4500,69.0500,66.6500
27/10/2022,70.9100,72.1200,69.4300
26/10/2022,73.5300,74.8500,71.1200
25/10/2022,71.9300,73.2700,70.9200
24/10/2022,71.9300,73.9500,71.1800
21/10/2022,74.1300,74.6800,71.4400
20/10/2022,72.0200,73.1900,70.3200
19/10/2022,71.1100,72.1300,70.5800
18/10/2022,71.9600,72.8300,70.7400
17/10/2022,70.6700,71.2400,69.2600
14/10/2022,69.8300,73.3600,69.6000
13/10/2022,72.1800,72.8000,71.0500
11/10/2022,73.4900,74.1800,72.0300
10/10/2022,73.9900,77.0200,73.4800
07/10/2022,75.5100,79.4400,75.1600
06/10/2022,75.5500,77.5700,74.9200
05/10/2022,76.9600,77.8600,76.1200
04/10/2022,75.7900,76.2500,74.0600
03/10/2022,74.0000,74.1700,71.1300
30/09/2022,72.0400,72.9000,68.2600
29/09/2022,68.4300,68.7800,67.3500
28/09/2022,68.3400,68.8400,67.4400
27/09/2022,67.7000,68.8000,67.1900
26/09/2022,68.0000,69.4200,67.6400
23/09/2022,68.5700,69.0500,67.8300
22/09/2022,70.0200,70.7000,69.2800
21/09/2022,68.4500,69.9900,68.4100
20/09/2022,69.4500,70.1000,68.4000
19/09/2022,70.4600,70.5600,67.3300
16/09/2022,68.2500,68.8500,66.5900
15/09/2022,68.3500,68.6300,67.1800
14/09/2022,67.0000,68.9800,66.4700
13/09/2022,68.2500,71.0000,68.0900
12/09/2022,70.1500,70.6000,69.2600
09/09/2022,69.5500,69.6400,66.2400
08/09/2022,64.5100,64.7000,63.5600
06/09/2022,63.6700,65.5500,63.5900
05/09/2022,65.2200,66.4800,64.2300
02/09/2022,62.9200,64.8200,62.9200
01/09/2022,63.8900,63.9800,61.9000
31/08/2022,64.5000,65.6800,64.5000
30/08/2022,64.9700,66.5800,64.4000
29/08/2022,66.9100,67.9000,66.8500
26/08/2022,68.2300,71.2000,68.2300
25/08/2022,69.2700,69.4300,68.2500
24/08/2022,67.9500,70.2500,67.8100
23/08/2022,70.2100,70.3000,66.6500
22/08/2022,65.9800,66.9100,65.8300
19/08/2022,66.9600,67.4400,66.4800
18/08/2022,67.7200,68.6100,67.7100
17/08/2022,68.2300,68.8000,67.8900
16/08/2022,69.9500,70.3500,69.1100
15/08/2022,68.3000,68.5500,67.0400
