"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","39,1600","39,5200","38,7300","38,7600","38,7600","38,3281"
"30/03/2023","00:00:00","38,9500","39,1900","38,4000","39,0100","38,7600","38,2849"
"29/03/2023","00:00:00","38,0400","38,4300","37,6500","38,3100","38,7600","38,2123"
"28/03/2023","00:00:00","37,6100","38,0800","37,5100","37,8700","38,7600","38,2026"
"27/03/2023","00:00:00","37,9800","38,1500","37,4300","37,6100","38,7600","38,2358"
"24/03/2023","00:00:00","37,3300","37,9300","37,0500","37,5900","38,7600","38,2984"
"23/03/2023","00:00:00","37,7200","38,1400","36,7800","37,2100","38,7600","38,3693"
"22/03/2023","00:00:00","37,5400","38,2500","37,4000","37,6200","38,7600","38,4852"
"21/03/2023","00:00:00","37,3100","37,7700","37,2800","37,5300","38,7600","38,5717"
"20/03/2023","00:00:00","37,3100","38,0800","36,7000","37,0900","38,7600","38,6759"
"17/03/2023","00:00:00","37,6000","38,1200","37,3000","37,3000","38,7600","38,8345"
"16/03/2023","00:00:00","37,6700","38,1600","37,3000","37,9500","38,7600","38,9879"
"15/03/2023","00:00:00","36,8400","37,7900","36,7500","37,5500","38,7600","39,0917"
"14/03/2023","00:00:00","37,9200","38,1400","37,2300","37,5100","38,7600","39,2459"
"13/03/2023","00:00:00","38,1300","38,5700","37,7900","38,1500","38,7600","39,4195"
"10/03/2023","00:00:00","39,0000","39,0600","38,0200","38,3900","38,7600","39,5464"
"09/03/2023","00:00:00","39,9300","40,1900","39,1300","39,1300","38,7600","39,6620"
"08/03/2023","00:00:00","39,7000","40,3800","39,5700","40,0000","38,7600","39,7152"
"07/03/2023","00:00:00","39,0000","39,7800","38,5000","39,6000","38,7600","39,6868"
"06/03/2023","00:00:00","37,8700","39,0100","37,8700","38,7100","38,7600","39,6954"
"03/03/2023","00:00:00","37,7000","38,3200","37,3300","37,8500","38,7600","39,7940"
"02/03/2023","00:00:00","39,0000","39,0800","37,3700","37,4300","38,7600","39,9884"
"01/03/2023","00:00:00","40,3000","40,3000","38,3700","39,0000","38,7600","40,2442"
"28/02/2023","00:00:00","40,1400","40,7900","39,9000","40,3000","38,7600","40,3686"
"27/02/2023","00:00:00","40,4900","40,7400","39,7200","39,9300","38,7600","40,3755"
"24/02/2023","00:00:00","41,3600","41,5300","40,2400","40,4800","38,7600","40,4201"
"23/02/2023","00:00:00","41,9000","42,6000","41,6800","42,1000","38,7600","40,4141"
"22/02/2023","00:00:00","42,8000","42,8100","41,6600","41,7600","38,7600","40,2455"
"17/02/2023","00:00:00","42,3500","43,1300","41,9800","42,8200","38,7600","40,0940"
"16/02/2023","00:00:00","41,6500","42,5900","41,3700","42,4000","38,7600","39,8214"
"15/02/2023","00:00:00","41,7800","42,1800","41,1800","41,9300","38,7600","39,5636"
"14/02/2023","00:00:00","42,2800","42,7500","41,2500","41,5500","38,7600","39,3269"
"13/02/2023","00:00:00","40,7300","41,1400","40,0300","40,6000","38,7600","39,1046"
"10/02/2023","00:00:00","39,3500","40,6100","38,9400","40,3700","38,7600","38,9551"
"09/02/2023","00:00:00","39,9300","40,0700","39,1300","39,5900","38,7600","38,8136"
"08/02/2023","00:00:00","39,1700","39,9500","38,9100","39,8000","38,7600","38,7360"
"07/02/2023","00:00:00","39,5900","39,6800","38,4600","38,8800","38,7600","38,6295"
"06/02/2023","00:00:00","39,0700","39,7200","38,6200","39,4200","38,7600","38,6045"
"03/02/2023","00:00:00","39,6500","39,9400","38,9000","39,2000","38,7600","38,5230"
"02/02/2023","00:00:00","40,0100","41,1500","39,2500","39,4500","38,7600","38,4552"
"01/02/2023","00:00:00","40,7500","41,0500","39,8500","40,2100","38,7600","38,3558"
"31/01/2023","00:00:00","40,9500","41,2000","40,4200","40,7000","38,7600","38,1703"
"30/01/2023","00:00:00","40,4000","40,9100","40,0600","40,8100","38,7600","37,9174"
"27/01/2023","00:00:00","40,9200","40,9600","39,6900","40,1800","38,7600","37,6281"
"26/01/2023","00:00:00","40,7800","41,4800","40,5700","40,6300","38,7600","37,3729"
"25/01/2023","00:00:00","39,4100","40,9900","38,8700","40,6500","38,7600","37,0472"
"24/01/2023","00:00:00","39,7700","40,3900","39,2800","39,5700","38,7600","36,6869"
"23/01/2023","00:00:00","40,0700","41,2500","39,1300","39,7700","38,7600","36,3986"
"20/01/2023","00:00:00","39,2100","40,3000","39,1100","40,0700","38,7600","36,0615"
"19/01/2023","00:00:00","38,0000","39,3200","37,5500","39,1100","38,7600","35,6607"
"18/01/2023","00:00:00","38,0500","38,8700","37,8900","38,2400","38,7600","35,3157"
"17/01/2023","00:00:00","35,7900","37,7000","35,5400","37,7000","38,7600","35,0233"
"16/01/2023","00:00:00","35,6600","36,1200","35,3200","35,6100","38,7600","34,7556"
"13/01/2023","00:00:00","35,5000","35,8500","34,9500","35,6500","38,7600","34,6702"
"12/01/2023","00:00:00","35,5700","35,8700","35,0100","35,5700","38,7600","34,5722"
"11/01/2023","00:00:00","35,3000","35,8500","35,0600","35,8000","38,7600","34,4724"
