"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","14,8700","14,9200","14,2600","14,2700","14,2700","14,0312"
"30/03/2023","00:00:00","15,0000","15,0500","14,7500","14,8200","14,2700","14,0074"
"29/03/2023","00:00:00","14,6600","14,9200","14,4900","14,8100","14,2700","13,9261"
"28/03/2023","00:00:00","13,9500","15,0300","13,9000","14,5900","14,2700","13,8377"
"27/03/2023","00:00:00","14,0000","14,1100","13,8800","13,9300","14,2700","13,7625"
"24/03/2023","00:00:00","13,8400","14,0200","13,7500","13,8900","14,2700","13,7457"
"23/03/2023","00:00:00","14,0100","14,1500","13,6700","13,7800","14,2700","13,7313"
"22/03/2023","00:00:00","13,9100","14,0900","13,8900","13,9500","14,2700","13,7264"
"21/03/2023","00:00:00","14,1400","14,1800","13,9000","13,9500","14,2700","13,7041"
"20/03/2023","00:00:00","14,2000","14,2700","14,0500","14,1200","14,2700","13,6795"
"17/03/2023","00:00:00","14,2000","14,4000","14,0900","14,2200","14,2700","13,6354"
"16/03/2023","00:00:00","14,0000","14,4100","14,0000","14,2600","14,2700","13,5770"
"15/03/2023","00:00:00","13,8000","14,1000","13,7500","14,0200","14,2700","13,5087"
"14/03/2023","00:00:00","13,6100","14,0800","13,5900","13,9500","14,2700","13,4576"
"13/03/2023","00:00:00","13,5000","13,7300","13,4700","13,6100","14,2700","13,4083"
"10/03/2023","00:00:00","13,5200","13,7000","13,4600","13,5100","14,2700","13,3882"
"09/03/2023","00:00:00","13,5600","13,7800","13,5600","13,6000","14,2700","13,3760"
"08/03/2023","00:00:00","13,4000","13,6400","13,3500","13,6200","14,2700","13,3536"
"07/03/2023","00:00:00","13,4700","13,6200","13,3000","13,4300","14,2700","13,3269"
"06/03/2023","00:00:00","13,1800","13,5800","13,1300","13,5000","14,2700","13,3166"
"03/03/2023","00:00:00","13,1200","13,2200","12,9900","13,1100","14,2700","13,2983"
"02/03/2023","00:00:00","13,4700","13,5400","13,0700","13,1300","14,2700","13,3171"
"01/03/2023","00:00:00","13,4200","13,6300","13,2600","13,4700","14,2700","13,3358"
"28/02/2023","00:00:00","13,4300","13,5900","13,3400","13,3900","14,2700","13,3224"
"27/02/2023","00:00:00","13,3800","13,4600","13,2600","13,4000","14,2700","13,3156"
"24/02/2023","00:00:00","13,2200","13,4000","13,0800","13,3200","14,2700","13,3072"
"23/02/2023","00:00:00","13,2100","13,4000","13,1200","13,2500","14,2700","13,3059"
"22/02/2023","00:00:00","13,0500","13,3100","13,0500","13,2100","14,2700","13,3115"
"17/02/2023","00:00:00","13,0400","13,2500","13,0100","13,2000","14,2700","13,3217"
"16/02/2023","00:00:00","13,2500","13,3000","12,9600","13,0800","14,2700","13,3338"
"15/02/2023","00:00:00","12,9900","13,3700","12,9300","13,2300","14,2700","13,3592"
"14/02/2023","00:00:00","13,1500","13,3600","12,9900","13,0000","14,2700","13,3721"
"13/02/2023","00:00:00","12,8600","13,1700","12,8500","13,1300","14,2700","13,4093"
"10/02/2023","00:00:00","12,9800","12,9900","12,6000","12,8600","14,2700","13,4373"
"09/02/2023","00:00:00","13,1500","13,2300","12,9500","13,0200","14,2700","13,4950"
"08/02/2023","00:00:00","13,0400","13,2400","12,9300","13,1900","14,2700","13,5425"
"07/02/2023","00:00:00","13,0200","13,0800","12,8900","12,9600","14,2700","13,5777"
"06/02/2023","00:00:00","13,0400","13,2000","12,9500","13,0200","14,2700","13,6395"
"03/02/2023","00:00:00","13,0700","13,2200","12,9100","12,9800","14,2700","13,7015"
"02/02/2023","00:00:00","13,0600","13,5300","13,0000","13,1100","14,2700","13,7736"
"01/02/2023","00:00:00","13,6400","13,7300","12,8500","13,1800","14,2700","13,8400"
"31/01/2023","00:00:00","13,6200","13,7400","13,5000","13,6600","14,2700","13,9060"
"30/01/2023","00:00:00","13,6900","13,7000","13,4400","13,5300","14,2700","13,9306"
"27/01/2023","00:00:00","13,7500","13,7500","13,5900","13,6500","14,2700","13,9706"
