"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","26,8200","27,5500","26,8100","27,0100","27,0100","26,0913"
"30/03/2023","00:00:00","27,0700","27,6800","26,8300","27,0700","27,0100","25,9994"
"29/03/2023","00:00:00","26,9300","26,9300","26,0300","26,5800","27,0100","25,8924"
"28/03/2023","00:00:00","25,9600","27,1400","25,8400","26,6800","27,0100","25,8236"
"27/03/2023","00:00:00","25,6400","25,9900","25,4200","25,9900","27,0100","25,7380"
"24/03/2023","00:00:00","24,5400","25,5000","24,4300","25,3700","27,0100","25,7128"
"23/03/2023","00:00:00","25,1700","25,5000","24,1600","24,5300","27,0100","25,7471"
"22/03/2023","00:00:00","25,1200","25,5300","24,7800","25,1600","27,0100","25,8688"
"21/03/2023","00:00:00","25,2100","25,4800","24,8800","25,0700","27,0100","25,9397"
"20/03/2023","00:00:00","25,4200","25,7600","25,1000","25,1900","27,0100","26,0266"
"17/03/2023","00:00:00","26,6200","26,6200","24,7900","25,4200","27,0100","26,1103"
"16/03/2023","00:00:00","26,9100","27,1900","26,6400","26,7600","27,0100","26,1793"
"15/03/2023","00:00:00","25,7200","27,1500","25,6900","27,0400","27,0100","26,1212"
"14/03/2023","00:00:00","26,5100","26,6900","25,8600","26,0800","27,0100","26,0294"
"13/03/2023","00:00:00","25,9200","26,5500","25,8300","26,2700","27,0100","26,0243"
"10/03/2023","00:00:00","26,1100","26,3600","25,8100","26,1600","27,0100","25,9997"
"09/03/2023","00:00:00","26,0400","26,6300","26,0100","26,1200","27,0100","25,9837"
"08/03/2023","00:00:00","25,6400","26,1600","25,4200","26,0500","27,0100","25,9701"
"07/03/2023","00:00:00","25,5200","25,7600","25,2600","25,5000","27,0100","25,9621"
"06/03/2023","00:00:00","25,2400","25,8300","24,9600","25,4900","27,0100","26,0083"
"03/03/2023","00:00:00","25,0200","25,5200","24,8400","25,1300","27,0100","26,0601"
"02/03/2023","00:00:00","25,0000","25,4300","24,9200","24,9400","27,0100","26,1532"
"01/03/2023","00:00:00","25,4400","25,5200","24,6900","24,8900","27,0100","26,2745"
"28/02/2023","00:00:00","25,6100","25,7600","25,4200","25,4300","27,0100","26,4129"
"27/02/2023","00:00:00","25,8100","25,9900","25,3800","25,5100","27,0100","26,5112"
"24/02/2023","00:00:00","26,1100","26,2500","25,5400","25,7000","27,0100","26,6113"
"23/02/2023","00:00:00","25,8600","26,4000","25,6700","26,0500","27,0100","26,7025"
"22/02/2023","00:00:00","26,1500","26,1600","25,7700","25,8600","27,0100","26,7677"
"17/02/2023","00:00:00","26,2800","26,7900","26,2800","26,4500","27,0100","26,8585"
"16/02/2023","00:00:00","26,5400","26,6300","26,0000","26,4800","27,0100","26,8993"
"15/02/2023","00:00:00","26,1900","26,8500","26,1900","26,6000","27,0100","26,9413"
"14/02/2023","00:00:00","26,5600","26,7600","26,1300","26,3500","27,0100","26,9754"
"13/02/2023","00:00:00","26,6100","27,0800","26,4200","26,6100","27,0100","27,0379"
"10/02/2023","00:00:00","26,0600","27,2900","26,0600","26,7500","27,0100","27,0807"
"09/02/2023","00:00:00","26,9600","26,9600","26,0400","26,2200","27,0100","27,1138"
"08/02/2023","00:00:00","26,6700","26,9600","26,3000","26,9600","27,0100","27,2032"
"07/02/2023","00:00:00","26,7100","26,9300","26,1900","26,4500","27,0100","27,2275"
"06/02/2023","00:00:00","27,1000","27,3100","26,5600","26,9300","27,0100","27,3052"
"03/02/2023","00:00:00","27,7100","27,8800","27,0800","27,1900","27,0100","27,3427"
"02/02/2023","00:00:00","27,9100","28,4100","27,6800","28,0600","27,0100","27,3580"
"01/02/2023","00:00:00","27,9000","28,3500","27,7700","28,0000","27,0100","27,2878"
"31/01/2023","00:00:00","27,5600","28,1500","27,4000","28,0200","27,0100","27,2166"
"30/01/2023","00:00:00","27,8400","27,9600","27,2400","27,5000","27,0100","27,1363"
"27/01/2023","00:00:00","27,9000","28,1500","27,7800","27,7900","27,0100","27,0999"
"26/01/2023","00:00:00","27,9200","28,0600","27,7300","27,9800","27,0100","27,0309"
"25/01/2023","00:00:00","27,1600","27,8900","27,0700","27,8700","27,0100","26,9360"
"24/01/2023","00:00:00","27,1200","27,4400","26,8300","27,2300","27,0100","26,8426"
"23/01/2023","00:00:00","26,9800","27,3500","26,9100","26,9900","27,0100","26,8038"
