"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","25,5400","26,1000","25,3800","25,5500","25,5500","26,0701"
"30/03/2023","00:00:00","25,1200","25,6500","24,9900","25,5000","25,5500","26,1221"
"29/03/2023","00:00:00","24,8700","25,0500","24,4700","24,7000","25,5500","26,1843"
"28/03/2023","00:00:00","24,7100","25,1000","24,6100","24,7700","25,5500","26,3327"
"27/03/2023","00:00:00","24,8600","24,9600","24,5100","24,6800","25,5500","26,4890"
"24/03/2023","00:00:00","24,5200","24,8100","24,2000","24,5900","25,5500","26,6699"
"23/03/2023","00:00:00","24,4200","25,2300","24,0400","24,3000","25,5500","26,8779"
"22/03/2023","00:00:00","24,3000","24,9800","24,0000","24,5000","25,5500","27,1357"
"21/03/2023","00:00:00","25,3700","25,8900","25,3200","25,6200","25,5500","27,3992"
"20/03/2023","00:00:00","25,4100","25,6800","25,2000","25,3500","25,5500","27,5771"
"17/03/2023","00:00:00","25,8900","26,0600","25,2700","25,5000","25,5500","27,7999"
"16/03/2023","00:00:00","25,7100","26,0600","25,2700","25,8700","25,5500","28,0298"
"15/03/2023","00:00:00","26,4300","26,4500","25,1600","25,6000","25,5500","28,2458"
"14/03/2023","00:00:00","26,8600","27,3300","26,8500","27,0500","25,5500","28,5104"
"13/03/2023","00:00:00","26,8300","27,1400","26,6200","26,7000","25,5500","28,6564"
"10/03/2023","00:00:00","27,2800","27,7600","26,8900","26,9900","25,5500","28,8521"
"09/03/2023","00:00:00","28,4300","28,7300","27,3800","27,3800","25,5500","29,0383"
"08/03/2023","00:00:00","28,2500","28,7800","28,1600","28,6200","25,5500","29,2041"
"07/03/2023","00:00:00","28,5500","29,0100","28,0000","28,0900","25,5500","29,2625"
"06/03/2023","00:00:00","29,1900","29,5500","28,3300","28,4800","25,5500","29,3798"
"03/03/2023","00:00:00","29,7700","30,3300","29,2700","29,4200","25,5500","29,4698"
"02/03/2023","00:00:00","29,5100","29,9900","29,2200","29,5700","25,5500","29,4747"
"01/03/2023","00:00:00","28,5000","29,9500","28,5000","29,5200","25,5500","29,4652"
"28/02/2023","00:00:00","28,1500","28,8000","28,1100","28,6300","25,5500","29,4597"
"27/02/2023","00:00:00","27,9700","28,4900","27,8400","28,2000","25,5500","29,5427"
"24/02/2023","00:00:00","28,3000","28,9100","27,8000","28,0500","25,5500","29,6770"
"23/02/2023","00:00:00","28,2900","28,7700","27,8500","28,4500","25,5500","29,8397"
"22/02/2023","00:00:00","28,4000","28,6700","27,7900","28,1500","25,5500","29,9787"
"17/02/2023","00:00:00","29,1900","29,1900","28,2500","28,5900","25,5500","30,1615"
"16/02/2023","00:00:00","28,6500","29,4000","28,6500","28,8600","25,5500","30,3187"
"15/02/2023","00:00:00","28,6000","28,8100","28,1700","28,5400","25,5500","30,4645"
"14/02/2023","00:00:00","28,8500","29,1900","28,3500","28,6600","25,5500","30,6570"
"13/02/2023","00:00:00","28,0300","28,6900","27,4100","28,5900","25,5500","30,8567"
"10/02/2023","00:00:00","28,4500","29,1800","28,0400","28,3200","25,5500","31,0834"
"09/02/2023","00:00:00","29,9300","30,0700","28,5800","28,6700","25,5500","31,3597"
"08/02/2023","00:00:00","31,3000","31,4400","30,8700","31,1400","25,5500","31,6287"
"07/02/2023","00:00:00","30,8000","31,5400","30,5000","31,2400","25,5500","31,6775"
"06/02/2023","00:00:00","30,5900","31,0600","30,0600","30,8000","25,5500","31,7213"
"03/02/2023","00:00:00","30,7500","31,4800","30,5900","31,0500","25,5500","31,8134"
"02/02/2023","00:00:00","31,8500","31,9600","30,5800","30,6700","25,5500","31,8898"
"01/02/2023","00:00:00","32,6100","32,6800","31,5700","32,1200","25,5500","32,0117"
"31/01/2023","00:00:00","32,5000","33,2700","32,2800","32,7400","25,5500","32,0009"
"30/01/2023","00:00:00","32,4900","32,6700","32,0400","32,4200","25,5500","31,9270"
"27/01/2023","00:00:00","33,1000","33,3100","32,0400","32,2700","25,5500","31,8777"
"26/01/2023","00:00:00","32,5000","33,0900","32,4500","33,0000","25,5500","31,8385"
"25/01/2023","00:00:00","32,3400","32,5100","31,6800","32,2800","25,5500","31,7223"
"24/01/2023","00:00:00","32,4000","32,7800","32,0200","32,3900","25,5500","31,6665"
"23/01/2023","00:00:00","33,4600","33,7000","32,4000","32,4900","25,5500","31,5942"
"20/01/2023","00:00:00","33,3300","33,6100","33,0100","33,2000","25,5500","31,5046"
"19/01/2023","00:00:00","33,1000","33,7500","33,1000","33,5000","25,5500","31,3351"
"18/01/2023","00:00:00","32,7000","33,8800","32,5600","33,4100","25,5500","31,1186"
"17/01/2023","00:00:00","32,1000","32,9900","31,8400","32,3500","25,5500","30,8894"
"16/01/2023","00:00:00","32,2000","32,2000","31,2600","31,8900","25,5500","30,7434"
"13/01/2023","00:00:00","32,2500","32,6100","32,0900","32,4300","25,5500","30,6287"
"12/01/2023","00:00:00","32,2500","32,6000","31,9600","32,2500","25,5500","30,4486"
"11/01/2023","00:00:00","32,0000","32,2500","30,8300","32,1300","25,5500","30,2684"
"10/01/2023","00:00:00","30,6900","32,0900","30,6900","31,8100","25,5500","30,0823"
"09/01/2023","00:00:00","30,2200","31,3500","30,2100","30,9500","25,5500","29,9095"
"06/01/2023","00:00:00","30,5200","31,0600","30,2800","30,3300","25,5500","29,8055"
"05/01/2023","00:00:00","29,6000","30,4300","29,0200","30,1000","25,5500","29,7530"
"04/01/2023","00:00:00","29,6400","29,6400","28,9200","29,3800","25,5500","29,7183"
"03/01/2023","00:00:00","29,3600","30,2600","29,1800","29,5200","25,5500","29,7522"
"02/01/2023","00:00:00","29,2800","29,6800","28,8000","29,4600","25,5500","29,7754"
"29/12/2022","00:00:00","29,6100","29,7900","29,3200","29,3700","25,5500","29,8069"
"28/12/2022","00:00:00","29,7900","30,0800","29,3500","29,4500","25,5500","29,8506"
"27/12/2022","00:00:00","28,5700","29,8200","28,4500","29,5800","25,5500","29,8907"
"26/12/2022","00:00:00","28,7000","28,7500","28,1600","28,1800","25,5500","29,9217"
"23/12/2022","00:00:00","29,9400","29,9600","28,3400","28,7000","25,5500","30,0959"
"22/12/2022","00:00:00","30,3300","30,3300","29,2400","29,8600","25,5500","30,2355"
"21/12/2022","00:00:00","30,7500","30,7900","30,2400","30,4300","25,5500","30,2730"
"20/12/2022","00:00:00","29,8600","30,8300","29,8200","30,4500","25,5500","30,2573"
"19/12/2022","00:00:00","29,9000","30,4900","29,5400","29,7500","25,5500","30,2381"
