"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","6,6500","6,8800","6,6100","6,6600","6,6600","6,6048"
"30/03/2023","00:00:00","6,4600","6,9500","6,4500","6,6900","6,6600","6,5993"
"29/03/2023","00:00:00","6,4200","6,4700","6,1700","6,3400","6,6600","6,5902"
"28/03/2023","00:00:00","6,1900","6,4200","6,0700","6,4000","6,6600","6,6152"
"27/03/2023","00:00:00","6,3300","6,4400","6,1400","6,2300","6,6600","6,6367"
"24/03/2023","00:00:00","6,0200","6,3300","5,9600","6,3000","6,6600","6,6774"
"23/03/2023","00:00:00","6,7100","6,7200","5,8800","5,9800","6,6600","6,7152"
"22/03/2023","00:00:00","6,9800","7,0500","6,6000","6,6500","6,6600","6,7887"
"21/03/2023","00:00:00","7,1500","7,1700","6,8800","6,9600","6,6600","6,8025"
"20/03/2023","00:00:00","7,0900","7,2700","7,0200","7,0700","6,6600","6,7868"
"17/03/2023","00:00:00","7,2800","7,4100","7,0400","7,0900","6,6600","6,7585"
"16/03/2023","00:00:00","7,1800","7,3600","7,0900","7,3000","6,6600","6,7253"
"15/03/2023","00:00:00","7,2000","7,3800","6,8800","7,1700","6,6600","6,6678"
"14/03/2023","00:00:00","7,2200","7,5500","7,1500","7,2800","6,6600","6,6176"
"13/03/2023","00:00:00","7,0900","7,6600","7,0100","7,2000","6,6600","6,5514"
"10/03/2023","00:00:00","7,8400","8,4400","7,1200","7,3100","6,6600","6,4865"
"09/03/2023","00:00:00","7,2000","7,9700","7,1700","7,8700","6,6600","6,4042"
"08/03/2023","00:00:00","7,1100","8,0000","7,1100","7,2100","6,6600","6,2576"
"07/03/2023","00:00:00","6,3600","6,8800","6,0800","6,7100","6,6600","6,1624"
"06/03/2023","00:00:00","5,6300","6,7200","5,5200","6,3500","6,6600","6,1076"
"03/03/2023","00:00:00","5,0900","5,2900","5,0800","5,1300","6,6600","6,0834"
"02/03/2023","00:00:00","5,1900","5,2300","5,0300","5,0600","6,6600","6,1787"
"01/03/2023","00:00:00","5,5900","5,6300","5,1400","5,2300","6,6600","6,2906"
"28/02/2023","00:00:00","5,6200","5,7100","5,5300","5,5300","6,6600","6,3966"
"27/02/2023","00:00:00","5,6700","5,8000","5,5300","5,5900","6,6600","6,4833"
"24/02/2023","00:00:00","5,5900","5,7700","5,5100","5,6500","6,6600","6,5726"
"23/02/2023","00:00:00","5,7000","5,8200","5,5200","5,5700","6,6600","6,6649"
"22/02/2023","00:00:00","5,9000","5,9200","5,6100","5,6800","6,6600","6,7744"
"17/02/2023","00:00:00","5,9500","6,0500","5,8600","5,9300","6,6600","6,8838"
"16/02/2023","00:00:00","6,0600","6,1200","5,8600","5,9700","6,6600","6,9792"
"15/02/2023","00:00:00","5,8700","6,2100","5,7700","6,0800","6,6600","7,0801"
"14/02/2023","00:00:00","6,2100","6,3200","5,8300","5,8600","6,6600","7,1801"
"13/02/2023","00:00:00","6,2300","6,3600","6,1000","6,1900","6,6600","7,3121"
"10/02/2023","00:00:00","6,6500","6,7800","6,1600","6,2900","6,6600","7,4244"
"09/02/2023","00:00:00","7,0600","7,2200","6,5600","6,6500","6,6600","7,5378"
"08/02/2023","00:00:00","7,5800","7,6800","6,9800","7,0400","6,6600","7,6266"
"07/02/2023","00:00:00","7,5000","8,2600","7,3600","7,4400","6,6600","7,6852"
"06/02/2023","00:00:00","7,8100","7,8300","7,5000","7,6200","6,6600","7,7097"
"03/02/2023","00:00:00","8,4400","8,4600","7,6800","7,7800","6,6600","7,7187"
"02/02/2023","00:00:00","7,4200","8,6400","7,4100","8,4500","6,6600","7,7126"
"01/02/2023","00:00:00","7,6600","7,7600","7,3000","7,4700","6,6600","7,6388"
"31/01/2023","00:00:00","7,4800","7,7500","7,4000","7,6600","6,6600","7,6557"
"30/01/2023","00:00:00","7,7300","7,8200","7,4200","7,5000","6,6600","7,6553"
"27/01/2023","00:00:00","7,9300","7,9500","7,6600","7,7300","6,6600","7,6708"
"26/01/2023","00:00:00","8,0600","8,1700","7,9000","7,9400","6,6600","7,6649"
"25/01/2023","00:00:00","7,6600","8,0700","7,5600","8,0200","6,6600","7,6374"
"24/01/2023","00:00:00","7,6000","7,7600","7,5100","7,7500","6,6600","7,5992"
"23/01/2023","00:00:00","7,6900","7,9100","7,5000","7,5400","6,6600","7,5841"
"20/01/2023","00:00:00","7,5200","7,8000","7,3500","7,6700","6,6600","7,5885"
"19/01/2023","00:00:00","7,3600","7,5600","7,2200","7,5200","6,6600","7,5803"
"18/01/2023","00:00:00","7,6200","7,9500","7,5600","7,6100","6,6600","7,5864"
"17/01/2023","00:00:00","7,5200","7,6700","7,3400","7,5200","6,6600","7,5840"
"16/01/2023","00:00:00","7,8200","8,0100","7,4600","7,4900","6,6600","7,5904"
"13/01/2023","00:00:00","8,1900","8,2200","7,8200","7,9000","6,6600","7,6004"
"12/01/2023","00:00:00","8,1300","8,3500","7,9600","8,2700","6,6600","7,5705"
"11/01/2023","00:00:00","8,1300","8,2800","7,9300","8,1900","6,6600","7,5005"
"10/01/2023","00:00:00","7,8000","8,1700","7,7900","8,1200","6,6600","7,4316"
"09/01/2023","00:00:00","7,4300","7,9900","7,3300","7,9300","6,6600","7,3627"
"06/01/2023","00:00:00","7,3000","7,6500","7,2500","7,6200","6,6600","7,3060"
"05/01/2023","00:00:00","6,8900","7,3600","6,7800","7,3500","6,6600","7,2746"
"04/01/2023","00:00:00","6,6700","6,9500","6,5900","6,8400","6,6600","7,2671"
"03/01/2023","00:00:00","6,9000","7,1100","6,5800","6,6300","6,6600","7,3098"
"02/01/2023","00:00:00","7,2800","7,2800","6,8800","6,8800","6,6600","7,3778"
"29/12/2022","00:00:00","7,5500","7,8000","7,3400","7,3400","6,6600","7,4275"
"28/12/2022","00:00:00","7,2900","7,5800","7,2000","7,5200","6,6600","7,4363"
"27/12/2022","00:00:00","7,5000","7,5700","7,1400","7,2200","6,6600","7,4279"
"26/12/2022","00:00:00","7,6600","7,7900","7,4100","7,5000","6,6600","7,4487"
"23/12/2022","00:00:00","7,2500","7,8400","7,2400","7,5800","6,6600","7,4436"
"22/12/2022","00:00:00","7,1100","7,3000","7,0000","7,2300","6,6600","7,4299"
"21/12/2022","00:00:00","7,0000","7,2200","6,8200","7,1400","6,6600","7,4499"
"20/12/2022","00:00:00","6,2300","7,1200","6,1900","6,9600","6,6600","7,4809"
"19/12/2022","00:00:00","6,1500","6,4200","6,0900","6,2600","6,6600","7,5330"
"16/12/2022","00:00:00","6,4900","6,5500","6,0500","6,1300","6,6600","7,6603"
"15/12/2022","00:00:00","6,9300","7,1300","6,4800","6,4800","6,6600","7,8133"
"14/12/2022","00:00:00","7,3600","7,3800","6,8800","6,9300","6,6600","7,9467"
"13/12/2022","00:00:00","7,6400","7,7900","7,3700","7,4000","6,6600","8,0483"
"12/12/2022","00:00:00","7,2500","7,6800","7,0300","7,6200","6,6600","8,1132"
"09/12/2022","00:00:00","7,6200","7,6900","7,2400","7,2800","6,6600","8,1625"
"08/12/2022","00:00:00","8,0300","8,0500","7,5000","7,5200","6,6600","8,2507"
"07/12/2022","00:00:00","7,8100","8,1800","7,6600","8,0700","6,6600","8,3238"
"06/12/2022","00:00:00","7,6700","8,0700","7,6600","7,8700","6,6600","8,3492"
"05/12/2022","00:00:00","7,9800","8,0500","7,5600","7,5600","6,6600","8,3971"
"02/12/2022","00:00:00","8,0000","8,1800","7,9300","8,0300","6,6600","8,4808"
"01/12/2022","00:00:00","8,1400","8,3200","7,9400","7,9800","6,6600","8,5259"
"30/11/2022","00:00:00","7,9500","8,3100","7,8600","8,3100","6,6600","8,5805"
"29/11/2022","00:00:00","7,9700","8,1000","7,8500","7,9200","6,6600","8,6075"
"28/11/2022","00:00:00","7,9700","8,1100","7,8700","7,9100","6,6600","8,6763"
"25/11/2022","00:00:00","8,2800","8,2900","7,9200","7,9500","6,6600","8,7529"
"24/11/2022","00:00:00","8,2800","8,3500","8,1700","8,3000","6,6600","8,8332"
"23/11/2022","00:00:00","8,2300","8,3600","7,9800","8,1300","6,6600","8,8865"
"22/11/2022","00:00:00","8,6900","8,7800","8,2500","8,3200","6,6600","8,9622"
"21/11/2022","00:00:00","8,4500","8,7300","8,2200","8,6700","6,6600","9,0264"
"18/11/2022","00:00:00","8,5500","8,8200","8,2700","8,3500","6,6600","9,0620"
"17/11/2022","00:00:00","8,2800","8,3500","7,8600","8,3500","6,6600","9,1332"
"16/11/2022","00:00:00","9,0000","9,1600","8,3400","8,4300","6,6600","9,2115"
"14/11/2022","00:00:00","8,6100","9,1000","8,4600","9,0400","6,6600","9,2897"
"11/11/2022","00:00:00","8,2100","8,7400","8,1400","8,5600","6,6600","9,3147"
"10/11/2022","00:00:00","9,0500","9,0900","8,0200","8,1900","6,6600","9,3901"
"09/11/2022","00:00:00","9,2700","9,4000","9,0600","9,2900","6,6600","9,5101"
"08/11/2022","00:00:00","9,3300","9,6500","9,1600","9,3700","6,6600","9,5321"
"07/11/2022","00:00:00","9,9800","10,1500","9,3100","9,3500","6,6600","9,5484"
"04/11/2022","00:00:00","10,0600","10,2700","9,8400","9,9500","6,6600","9,5682"
"03/11/2022","00:00:00","9,6200","9,9500","9,3500","9,9300","6,6600","9,5300"
"01/11/2022","00:00:00","9,6500","10,0500","9,3300","9,9000","6,6600","9,4900"
"31/10/2022","00:00:00","8,5500","9,6700","8,5100","9,6100","6,6600","9,4490"
"28/10/2022","00:00:00","8,4600","8,8300","8,3900","8,8300","6,6600","9,4329"
"27/10/2022","00:00:00","8,3500","8,8700","8,2900","8,6200","6,6600","9,4932"
"26/10/2022","00:00:00","8,8400","8,9500","8,1800","8,1900","6,6600","9,5805"
"25/10/2022","00:00:00","9,3600","9,3900","8,8200","8,8400","6,6600","9,7196"
"24/10/2022","00:00:00","9,6900","9,7500","9,3000","9,3700","6,6600","9,8075"
"21/10/2022","00:00:00","9,3000","9,9000","9,1400","9,8500","6,6600","9,8513"
"20/10/2022","00:00:00","9,4900","9,8100","9,2800","9,4200","6,6600","9,8514"
