"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","BBANDS ACIMA","ABAIXO"
"31/03/2023","00:00:00","39,6000","39,6000","37,4000","37,6600","37,6600","43,3193","37,9428"
"30/03/2023","00:00:00","40,6800","40,8300","39,5800","39,5800","37,6600","43,1096","38,7466"
"29/03/2023","00:00:00","40,8000","40,8800","40,2100","40,6500","37,6600","43,1406","38,9852"
"28/03/2023","00:00:00","39,4000","40,6400","39,4000","40,5200","37,6600","43,2134","38,9950"
"27/03/2023","00:00:00","39,8300","40,2200","39,4200","39,6100","37,6600","43,4297","38,8955"
"24/03/2023","00:00:00","39,7100","39,8400","39,3200","39,6700","37,6600","43,7724","38,8634"
"23/03/2023","00:00:00","40,0300","40,6400","39,0000","39,4700","37,6600","44,2144","38,7510"
"22/03/2023","00:00:00","40,2000","40,4600","39,8500","40,0200","37,6600","44,4540","38,9139"
"21/03/2023","00:00:00","40,7500","40,9400","40,1300","40,3300","37,6600","44,7447","38,9560"
"20/03/2023","00:00:00","40,9300","41,0500","40,2900","40,8100","37,6600","45,6323","38,3724"
"17/03/2023","00:00:00","41,5900","41,6100","40,9000","40,9900","37,6600","46,1237","38,1196"
"16/03/2023","00:00:00","41,2400","41,6900","40,8600","41,5700","37,6600","46,4090","38,0606"
"15/03/2023","00:00:00","40,2400","41,2700","40,1600","41,1500","37,6600","46,6987","37,9038"
"14/03/2023","00:00:00","40,3700","41,1300","40,3400","40,6700","37,6600","46,9543","37,8785"
"13/03/2023","00:00:00","40,0000","40,8800","39,8100","40,4600","37,6600","47,0541","38,1280"
"10/03/2023","00:00:00","41,0900","41,0900","40,1500","40,4500","37,6600","47,1190","38,4893"
"09/03/2023","00:00:00","42,3000","42,3900","41,0500","41,2000","37,6600","47,0699","39,0092"
"08/03/2023","00:00:00","41,6800","42,3900","41,6800","42,3200","37,6600","47,1077","39,3394"
"07/03/2023","00:00:00","42,5000","42,6200","41,6800","41,7900","37,6600","47,1581","39,4696"
"06/03/2023","00:00:00","41,8100","42,6100","41,6000","42,4000","37,6600","47,1716","39,7609"
"03/03/2023","00:00:00","41,7500","42,2100","41,4800","41,8700","37,6600","47,2995","39,8462"
"02/03/2023","00:00:00","41,1400","42,4400","41,1400","41,7800","37,6600","47,4104","40,0759"
"01/03/2023","00:00:00","43,4600","43,4600","40,5200","41,2700","37,6600","47,3054","40,5736"
"28/02/2023","00:00:00","42,5900","42,6000","41,4700","41,6500","37,6600","47,0278","41,3850"
"27/02/2023","00:00:00","43,5700","43,5900","42,4100","42,6000","37,6600","46,7424","42,1818"
"24/02/2023","00:00:00","44,1200","44,2500","43,2000","43,4500","37,6600","46,5885","42,7080"
"23/02/2023","00:00:00","43,7600","44,5400","43,3500","44,1000","37,6600","46,5984","42,9379"
"22/02/2023","00:00:00","43,5000","44,0000","42,9100","43,7900","37,6600","46,6841","42,9857"
"17/02/2023","00:00:00","46,2400","46,2600","43,4900","44,0600","37,6600","46,7029","43,1760"
"16/02/2023","00:00:00","45,5600","46,6800","44,9700","46,3300","37,6600","46,7203","43,3344"
"15/02/2023","00:00:00","44,9400","46,4000","44,8700","45,6500","37,6600","46,4366","43,3576"
"14/02/2023","00:00:00","45,6200","45,6200","44,6100","45,0800","37,6600","46,5277","43,1160"
"13/02/2023","00:00:00","45,5000","46,0000","45,0500","45,4000","37,6600","46,7191","42,8728"
"10/02/2023","00:00:00","44,7200","45,8600","44,6200","45,5000","37,6600","46,6265","42,8447"
"09/02/2023","00:00:00","45,1100","45,4200","44,6500","44,8800","37,6600","46,5090","42,8092"
"08/02/2023","00:00:00","44,8500","45,3300","44,6900","45,1100","37,6600","46,4946","42,7795"
"07/02/2023","00:00:00","45,1000","45,3000","44,3500","44,5100","37,6600","46,5678","42,6117"
"06/02/2023","00:00:00","44,6000","45,3700","44,3700","45,1100","37,6600","46,7483","42,4472"
"03/02/2023","00:00:00","44,7700","45,4300","44,1700","44,8900","37,6600","46,7811","42,3119"
"02/02/2023","00:00:00","45,6300","46,1400","44,6400","45,0000","37,6600","46,9358","42,0885"
"01/02/2023","00:00:00","46,5000","47,0200","45,4800","45,9600","37,6600","47,1377","41,7890"
"31/01/2023","00:00:00","45,2400","46,6900","45,0600","46,4000","37,6600","47,0475","41,5800"
"30/01/2023","00:00:00","44,7000","45,2400","44,6000","44,8900","37,6600","46,4658","41,7444"
"27/01/2023","00:00:00","44,0800","45,0500","43,8400","44,6700","37,6600","46,4350","41,6182"
"26/01/2023","00:00:00","44,1000","44,4800","44,0000","44,0800","37,6600","46,3926","41,5319"
"25/01/2023","00:00:00","44,0300","44,4000","43,2900","44,2900","37,6600","46,3910","41,5100"
"24/01/2023","00:00:00","44,0200","44,4200","43,5300","44,0400","37,6600","46,3487","41,4844"
