"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","2,5800","2,5800","2,4200","2,4800","2,4800","2,4727"
"30/03/2023","00:00:00","2,4900","2,5900","2,4900","2,5300","2,4800","2,4719"
"29/03/2023","00:00:00","2,5200","2,5300","2,4400","2,4600","2,4800","2,4661"
"28/03/2023","00:00:00","2,5000","2,5500","2,5000","2,5100","2,4800","2,4667"
"27/03/2023","00:00:00","2,4400","2,5600","2,4300","2,5600","2,4800","2,4624"
"24/03/2023","00:00:00","2,4200","2,4800","2,3800","2,4000","2,4800","2,4526"
"23/03/2023","00:00:00","2,4400","2,4500","2,3300","2,3600","2,4800","2,4579"
"22/03/2023","00:00:00","2,4700","2,5000","2,4300","2,4400","2,4800","2,4677"
"21/03/2023","00:00:00","2,4900","2,4900","2,4200","2,4400","2,4800","2,4705"
"20/03/2023","00:00:00","2,5700","2,5700","2,4400","2,4800","2,4800","2,4735"
"17/03/2023","00:00:00","2,4700","2,6000","2,4000","2,6000","2,4800","2,4729"
"16/03/2023","00:00:00","2,4400","2,5900","2,4300","2,4800","2,4800","2,4602"
"15/03/2023","00:00:00","2,4000","2,5000","2,4000","2,4300","2,4800","2,4582"
"14/03/2023","00:00:00","2,4100","2,6500","2,4000","2,4000","2,4800","2,4610"
"13/03/2023","00:00:00","2,4300","2,4700","2,4000","2,4000","2,4800","2,4671"
"10/03/2023","00:00:00","2,5300","2,6000","2,4200","2,4400","2,4800","2,4738"
"09/03/2023","00:00:00","2,6300","2,6300","2,4500","2,4600","2,4800","2,4772"
"08/03/2023","00:00:00","2,7400","2,7400","2,5000","2,5100","2,4800","2,4789"
"07/03/2023","00:00:00","2,3100","3,1200","2,3100","2,7900","2,4800","2,4758"
"06/03/2023","00:00:00","2,4900","2,4900","2,2900","2,3100","2,4800","2,4444"
"03/03/2023","00:00:00","2,4500","2,4500","2,3100","2,3100","2,4800","2,4578"
"02/03/2023","00:00:00","2,3500","2,4000","2,3500","2,3800","2,4800","2,4726"
"01/03/2023","00:00:00","2,4500","2,5300","2,3500","2,3500","2,4800","2,4818"
"28/02/2023","00:00:00","2,4500","2,5000","2,4500","2,4500","2,4800","2,4950"
