"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","24,7400","25,0900","24,6500","24,7000","24,7000","24,1844"
"30/03/2023","00:00:00","24,3200","24,8000","24,2200","24,6200","24,7000","24,1329"
"29/03/2023","00:00:00","23,7500","24,0800","23,5800","23,9600","24,7000","24,0842"
"28/03/2023","00:00:00","23,6400","23,9200","23,5000","23,7300","24,7000","24,0966"
"27/03/2023","00:00:00","23,5000","23,7800","23,3800","23,6200","24,7000","24,1332"
"24/03/2023","00:00:00","23,1600","23,4200","22,7400","23,2200","24,7000","24,1846"
"23/03/2023","00:00:00","23,7500","24,2500","22,8900","23,1500","24,7000","24,2810"
"22/03/2023","00:00:00","23,9500","24,2500","23,6800","23,7400","24,7000","24,3941"
"21/03/2023","00:00:00","23,5000","24,1500","23,5000","23,8800","24,7000","24,4595"
"20/03/2023","00:00:00","23,4000","23,8600","23,1800","23,4000","24,7000","24,5175"
"17/03/2023","00:00:00","23,9000","23,9200","23,3000","23,3400","24,7000","24,6292"
"16/03/2023","00:00:00","23,6600","24,1500","23,5200","24,0300","24,7000","24,7581"
"15/03/2023","00:00:00","23,3700","23,7600","23,0200","23,6400","24,7000","24,8310"
"14/03/2023","00:00:00","23,5600","23,9500","23,4700","23,7000","24,7000","24,9501"
"13/03/2023","00:00:00","23,7700","24,0700","23,4700","23,7800","24,7000","25,0751"
"10/03/2023","00:00:00","24,5500","24,6100","23,8900","24,0700","24,7000","25,2046"
"09/03/2023","00:00:00","25,0000","25,0800","24,6100","24,6600","24,7000","25,3180"
"08/03/2023","00:00:00","24,9900","25,3300","24,7600","25,1400","24,7000","25,3838"
"07/03/2023","00:00:00","24,8500","24,8800","24,3000","24,8300","24,7000","25,4082"
"06/03/2023","00:00:00","24,4400","25,0400","24,1100","24,7600","24,7000","25,4660"
"03/03/2023","00:00:00","24,3400","24,5900","24,0900","24,2100","24,7000","25,5366"
"02/03/2023","00:00:00","24,9000","25,2000","24,0400","24,1800","24,7000","25,6693"
"01/03/2023","00:00:00","25,3200","25,3500","24,3900","25,0000","24,7000","25,8182"
"28/02/2023","00:00:00","25,4000","25,8300","25,1800","25,4300","24,7000","25,9000"
"27/02/2023","00:00:00","25,7900","25,8000","25,2800","25,3400","24,7000","25,9470"
