"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","17,5000","17,7300","16,5000","16,5000","16,5000","17,8559"
"30/03/2023","00:00:00","17,6500","18,1000","17,3700","17,6400","16,5000","17,9915"
"29/03/2023","00:00:00","17,7500","17,8000","16,6400","17,0000","16,5000","18,0267"
"28/03/2023","00:00:00","17,3000","17,9400","16,9600","17,8700","16,5000","18,1293"
"27/03/2023","00:00:00","17,1400","17,3300","16,8400","17,2800","16,5000","18,1553"
"24/03/2023","00:00:00","16,9000","17,3000","16,7800","16,9900","16,5000","18,2428"
"23/03/2023","00:00:00","17,2600","17,4200","16,2500","16,8200","16,5000","18,3681"
"22/03/2023","00:00:00","17,6600","17,9100","17,1200","17,2700","16,5000","18,5229"
"21/03/2023","00:00:00","17,7000","17,7300","17,3500","17,6000","16,5000","18,6482"
"20/03/2023","00:00:00","18,1900","18,2100","17,2300","17,4600","16,5000","18,7530"
"17/03/2023","00:00:00","18,5500","18,5700","17,9300","18,0700","16,5000","18,8823"
"16/03/2023","00:00:00","18,5300","19,0400","18,2800","18,7000","16,5000","18,9635"
"15/03/2023","00:00:00","18,3000","18,7500","17,8000","18,5400","16,5000","18,9898"
"14/03/2023","00:00:00","19,1000","19,3200","18,3300","18,4700","16,5000","19,0348"
"13/03/2023","00:00:00","18,7100","19,7400","18,4900","19,2200","16,5000","19,0913"
"10/03/2023","00:00:00","19,0000","19,1500","18,4700","18,9300","16,5000","19,0784"
"09/03/2023","00:00:00","19,5000","20,2300","19,1500","19,3300","16,5000","19,0933"
"08/03/2023","00:00:00","18,1900","19,7900","18,1200","19,6000","16,5000","19,0696"
"07/03/2023","00:00:00","18,2100","18,5100","17,9700","18,2400","16,5000","19,0166"
"06/03/2023","00:00:00","17,7700","18,5600","17,4500","18,1400","16,5000","19,0942"
"03/03/2023","00:00:00","18,2700","18,2700","17,7400","17,7500","16,5000","19,1897"
"02/03/2023","00:00:00","17,9000","18,4800","17,7500","18,1000","16,5000","19,3336"
"01/03/2023","00:00:00","18,7400","18,8000","17,6300","17,9000","16,5000","19,4570"
"28/02/2023","00:00:00","19,0400","19,4200","18,6500","18,6500","16,5000","19,6127"
"27/02/2023","00:00:00","19,1000","19,5400","18,9800","19,2000","16,5000","19,7090"
"24/02/2023","00:00:00","19,1700","19,4100","18,8500","19,0100","16,5000","19,7599"
"23/02/2023","00:00:00","18,7500","19,3700","18,6100","19,1800","16,5000","19,8348"
"22/02/2023","00:00:00","19,1800","19,4000","18,5200","18,6900","16,5000","19,9003"
"17/02/2023","00:00:00","18,7900","19,8300","18,4300","19,6200","16,5000","20,0214"
"16/02/2023","00:00:00","19,0100","19,5800","18,6500","19,3800","16,5000","20,0615"
"15/02/2023","00:00:00","18,8200","19,7500","18,5500","19,2300","16,5000","20,1296"
"14/02/2023","00:00:00","19,4600","19,5600","18,5400","18,7200","16,5000","20,2196"
"13/02/2023","00:00:00","19,3300","19,6400","18,9700","19,3400","16,5000","20,3696"
"10/02/2023","00:00:00","19,1500","19,6200","19,0200","19,2800","16,5000","20,4725"
"09/02/2023","00:00:00","20,1400","20,3100","19,1300","19,2500","16,5000","20,5918"
"08/02/2023","00:00:00","20,0000","20,4000","19,5500","20,1000","16,5000","20,7259"
"07/02/2023","00:00:00","20,3400","20,3500","19,6600","19,7700","16,5000","20,7885"
"06/02/2023","00:00:00","20,5000","20,5100","19,7700","20,2000","16,5000","20,8904"
"03/02/2023","00:00:00","21,3200","21,3200","20,0800","20,2600","16,5000","20,9594"
"02/02/2023","00:00:00","21,5500","22,4300","21,4300","21,7800","16,5000","21,0294"
"01/02/2023","00:00:00","21,6000","22,2300","21,1300","21,6600","16,5000","20,9543"
"31/01/2023","00:00:00","21,4800","21,8300","21,2500","21,6300","16,5000","20,8837"
"30/01/2023","00:00:00","21,3100","21,7000","21,0400","21,1900","16,5000","20,8091"
"27/01/2023","00:00:00","21,8500","22,0000","21,2100","21,2600","16,5000","20,7710"
"26/01/2023","00:00:00","21,6500","21,9800","21,5400","21,8300","16,5000","20,7221"
"25/01/2023","00:00:00","21,2300","21,8800","20,8000","21,7300","16,5000","20,6114"
"24/01/2023","00:00:00","20,5000","21,3900","20,4400","21,2900","16,5000","20,4995"
"23/01/2023","00:00:00","20,7700","21,0400","20,3900","20,3900","16,5000","20,4204"
"20/01/2023","00:00:00","20,9800","21,2800","20,4500","20,5500","16,5000","20,4235"
"19/01/2023","00:00:00","20,5000","21,0100","20,1400","20,8000","16,5000","20,4108"
"18/01/2023","00:00:00","20,3500","21,3000","20,2900","20,6500","16,5000","20,3719"
"17/01/2023","00:00:00","19,9000","20,1000","19,6600","19,9400","16,5000","20,3441"
"16/01/2023","00:00:00","20,7600","20,9100","19,4300","19,7300","16,5000","20,3845"
"13/01/2023","00:00:00","21,2800","21,7600","19,9700","20,1400","16,5000","20,4500"
"12/01/2023","00:00:00","20,4500","21,9600","20,0100","21,2400","16,5000","20,4810"
"11/01/2023","00:00:00","20,1000","20,9000","20,1000","20,8200","16,5000","20,4051"
"10/01/2023","00:00:00","19,2900","20,2100","19,1000","20,0200","16,5000","20,3636"
"09/01/2023","00:00:00","19,0900","19,8400","18,7800","19,4400","16,5000","20,3979"
"06/01/2023","00:00:00","18,9000","19,5800","18,7800","19,3900","16,5000","20,4937"
"05/01/2023","00:00:00","19,1500","19,4100","18,3800","18,7000","16,5000","20,6041"
"04/01/2023","00:00:00","19,2600","19,3900","18,7800","18,9900","16,5000","20,7945"
"03/01/2023","00:00:00","19,4500","19,6400","18,6800","18,8700","16,5000","20,9749"
"02/01/2023","00:00:00","20,2700","20,3300","19,0600","19,3300","16,5000","21,1854"
"29/12/2022","00:00:00","21,0300","21,1000","20,1300","20,4800","16,5000","21,3710"
"28/12/2022","00:00:00","20,5900","21,1800","20,3600","20,8400","16,5000","21,4601"
"27/12/2022","00:00:00","20,9100","20,9600","19,9000","20,3800","16,5000","21,5221"
"26/12/2022","00:00:00","21,9800","21,9900","20,7000","20,7100","16,5000","21,6363"
"23/12/2022","00:00:00","20,8000","22,1100","20,5700","21,8800","16,5000","21,7289"
"22/12/2022","00:00:00","20,8800","21,1500","20,4800","20,6500","16,5000","21,7138"
"21/12/2022","00:00:00","21,4300","21,6100","20,6100","20,8700","16,5000","21,8202"
"20/12/2022","00:00:00","20,2500","22,0300","20,0300","21,2400","16,5000","21,9152"
"19/12/2022","00:00:00","19,5800","20,6000","19,5200","20,3800","16,5000","21,9827"
"16/12/2022","00:00:00","20,0700","20,1800","19,2100","19,4400","16,5000","22,1430"
