"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","25,7300","25,9700","25,2200","25,5900","25,5900","27,9300"
"30/03/2023","00:00:00","25,8100","26,5100","25,4300","25,7300","25,5900","28,1640"
"29/03/2023","00:00:00","24,8800","25,8200","24,7200","25,7400","25,5900","28,4074"
"28/03/2023","00:00:00","24,2000","24,8500","23,8600","24,6500","25,5900","28,6741"
"27/03/2023","00:00:00","24,3100","24,5300","23,9700","24,2800","25,5900","29,0765"
"24/03/2023","00:00:00","24,2700","24,4700","23,6700","24,0800","25,5900","29,5562"
"23/03/2023","00:00:00","25,8100","25,9100","23,5400","24,2800","25,5900","30,1038"
"22/03/2023","00:00:00","26,2000","26,4000","25,3800","25,8100","25,5900","30,6862"
"21/03/2023","00:00:00","25,9200","27,1900","25,5500","26,4000","25,5900","31,1738"
"20/03/2023","00:00:00","30,9900","31,1500","24,7400","24,9600","25,5900","31,6512"
"17/03/2023","00:00:00","31,4000","31,8200","30,9200","31,8200","25,5900","32,3203"
"16/03/2023","00:00:00","31,3100","31,9800","31,1800","31,5200","25,5900","32,3703"
"15/03/2023","00:00:00","31,2500","31,7100","30,9700","31,3400","25,5900","32,4553"
"14/03/2023","00:00:00","31,6000","31,9300","31,1500","31,4700","25,5900","32,5669"
"13/03/2023","00:00:00","31,4500","31,8600","31,3400","31,6000","25,5900","32,6766"
"10/03/2023","00:00:00","31,8500","32,2100","31,3900","31,6700","25,5900","32,7842"
"09/03/2023","00:00:00","31,9200","32,3900","31,4100","31,8600","25,5900","32,8956"
"08/03/2023","00:00:00","32,0500","32,6000","31,7200","31,9200","25,5900","32,9992"
"07/03/2023","00:00:00","31,3900","31,8700","30,9700","31,8700","25,5900","33,1071"
"06/03/2023","00:00:00","30,6000","31,6000","30,4600","31,3900","25,5900","33,2308"
"03/03/2023","00:00:00","32,4500","32,8100","30,5000","30,6400","25,5900","33,4149"
"02/03/2023","00:00:00","33,5000","34,0600","32,2400","32,4600","25,5900","33,6924"
"01/03/2023","00:00:00","34,0000","34,0100","32,8700","33,4700","25,5900","33,8156"
"28/02/2023","00:00:00","33,7900","33,9600","33,2500","33,5700","25,5900","33,8502"
"27/02/2023","00:00:00","33,4000","34,1500","33,4000","33,7000","25,5900","33,8782"
"24/02/2023","00:00:00","33,3000","33,5800","32,4700","33,5000","25,5900","33,8960"
"23/02/2023","00:00:00","33,3400","34,3400","33,1700","33,4300","25,5900","33,9356"
"22/02/2023","00:00:00","33,3500","33,8300","33,0300","33,4100","25,5900","33,9862"
"17/02/2023","00:00:00","33,5800","34,1700","33,4500","33,5400","25,5900","34,0438"
