"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","6,7800","6,8200","6,5600","6,6200","6,6200","6,7832"
"30/03/2023","00:00:00","6,6900","6,8400","6,6600","6,7800","6,6200","6,7995"
"29/03/2023","00:00:00","6,6500","6,7200","6,4900","6,6200","6,6200","6,8015"
"28/03/2023","00:00:00","6,6100","6,7400","6,4300","6,6400","6,6200","6,8196"
"27/03/2023","00:00:00","6,7000","6,7200","6,5500","6,6000","6,6200","6,8376"
"24/03/2023","00:00:00","6,4100","6,6500","6,3600","6,6000","6,6200","6,8613"
"23/03/2023","00:00:00","6,9600","6,9600","6,3100","6,3700","6,6200","6,8875"
"22/03/2023","00:00:00","7,0200","7,0200","6,6700","6,7300","6,6200","6,9392"
"21/03/2023","00:00:00","7,1700","7,2700","7,0100","7,0300","6,6200","6,9601"
"20/03/2023","00:00:00","7,3300","7,4000","7,1200","7,1400","6,6200","6,9531"
"17/03/2023","00:00:00","7,1100","7,4200","7,0800","7,3300","6,6200","6,9344"
"16/03/2023","00:00:00","6,9300","7,6300","6,9000","7,1000","6,6200","6,8949"
"15/03/2023","00:00:00","6,6800","6,9500","6,6000","6,8700","6,6200","6,8744"
"14/03/2023","00:00:00","6,8300","6,9400","6,6800","6,7800","6,6200","6,8748"
"13/03/2023","00:00:00","6,7600","6,8300","6,6600","6,8300","6,6200","6,8843"
"10/03/2023","00:00:00","6,9900","7,0600","6,8200","6,8300","6,6200","6,8897"
"09/03/2023","00:00:00","6,9500","7,2400","6,9500","7,0300","6,6200","6,8957"
"08/03/2023","00:00:00","6,9300","7,1300","6,7900","6,9900","6,6200","6,8823"
"07/03/2023","00:00:00","6,9400","7,0400","6,8100","6,9500","6,6200","6,8715"
"06/03/2023","00:00:00","6,8100","6,9400","6,7000","6,9200","6,6200","6,8636"
"03/03/2023","00:00:00","6,6900","6,8200","6,5300","6,7700","6,6200","6,8580"
"02/03/2023","00:00:00","6,4000","6,7200","6,1200","6,6500","6,6200","6,8668"
"01/03/2023","00:00:00","6,3800","6,8700","6,2900","6,5700","6,6200","6,8885"
"28/02/2023","00:00:00","6,4300","6,6100","6,3700","6,3700","6,6200","6,9203"
"27/02/2023","00:00:00","6,3500","6,5400","6,2600","6,4500","6,6200","6,9754"
"24/02/2023","00:00:00","6,2300","6,3300","6,1300","6,3000","6,6200","7,0279"
"23/02/2023","00:00:00","6,1300","6,3700","6,0600","6,2900","6,6200","7,1007"
"22/02/2023","00:00:00","6,5000","6,5500","6,2000","6,2700","6,6200","7,1818"
"17/02/2023","00:00:00","6,7100","6,8200","6,5600","6,5800","6,6200","7,2729"
"16/02/2023","00:00:00","6,7600","6,8400","6,6000","6,7600","6,6200","7,3422"
"15/02/2023","00:00:00","6,5900","6,9000","6,4800","6,8400","6,6200","7,4004"
"14/02/2023","00:00:00","6,7500","6,8800","6,5200","6,5800","6,6200","7,4565"
"13/02/2023","00:00:00","6,6200","6,8100","6,6000","6,7000","6,6200","7,5441"
"10/02/2023","00:00:00","6,7200","6,8600","6,5600","6,6200","6,6200","7,6285"
"09/02/2023","00:00:00","7,0000","7,1100","6,7100","6,7200","6,6200","7,7294"
"08/02/2023","00:00:00","6,9300","7,0100","6,6100","7,0100","6,6200","7,8303"
"07/02/2023","00:00:00","7,2100","7,2800","6,8100","6,8100","6,6200","7,9124"
"06/02/2023","00:00:00","7,6300","7,6400","7,1800","7,1800","6,6200","8,0226"
"03/02/2023","00:00:00","7,7800","7,8700","7,6300","7,7000","6,6200","8,1069"
"02/02/2023","00:00:00","8,0500","8,0900","7,7400","7,7800","6,6200","8,1476"
"01/02/2023","00:00:00","7,7000","8,2400","7,5800","8,1100","6,6200","8,1843"
"31/01/2023","00:00:00","7,7900","7,8500","7,5400","7,7000","6,6200","8,1918"
"30/01/2023","00:00:00","8,0300","8,2200","7,6900","7,7900","6,6200","8,2409"
"27/01/2023","00:00:00","8,2900","8,2900","8,0000","8,0300","6,6200","8,2860"
"26/01/2023","00:00:00","8,3900","8,4400","8,2400","8,3000","6,6200","8,3116"
"25/01/2023","00:00:00","8,3800","8,4400","8,2400","8,3800","6,6200","8,3128"
"24/01/2023","00:00:00","8,4500","8,5000","8,2700","8,4000","6,6200","8,3061"
"23/01/2023","00:00:00","8,2800","8,4800","8,1600","8,4200","6,6200","8,2967"
"20/01/2023","00:00:00","8,2500","8,3600","8,1500","8,1900","6,6200","8,2843"
"19/01/2023","00:00:00","8,1900","8,3000","8,0700","8,2700","6,6200","8,2938"
"18/01/2023","00:00:00","8,3800","8,3900","8,1100","8,2300","6,6200","8,2962"
"17/01/2023","00:00:00","8,0900","8,4300","7,9700","8,3000","6,6200","8,3028"
"16/01/2023","00:00:00","8,3400","8,3700","7,9600","8,0600","6,6200","8,3030"
"13/01/2023","00:00:00","8,5800","8,7300","8,2700","8,3700","6,6200","8,3273"
"12/01/2023","00:00:00","8,6000","8,8600","8,3800","8,6400","6,6200","8,3231"
"11/01/2023","00:00:00","8,6000","8,6800","8,3300","8,6400","6,6200","8,2914"
"10/01/2023","00:00:00","8,3000","8,6900","8,2100","8,5800","6,6200","8,2565"
"09/01/2023","00:00:00","8,3300","8,4600","8,2700","8,3400","6,6200","8,2242"
"06/01/2023","00:00:00","8,4600","8,5600","8,3000","8,4500","6,6200","8,2126"
"05/01/2023","00:00:00","8,3800","8,4700","8,0400","8,4700","6,6200","8,1889"
"04/01/2023","00:00:00","8,2000","8,3500","7,9700","8,3500","6,6200","8,1607"
"03/01/2023","00:00:00","8,3500","8,4600","8,1400","8,1900","6,6200","8,1418"
"02/01/2023","00:00:00","8,6700","8,6900","8,2400","8,3600","6,6200","8,1370"
"29/12/2022","00:00:00","8,3700","8,7000","8,2800","8,7000","6,6200","8,1147"
"28/12/2022","00:00:00","7,9600","8,3500","7,9200","8,3500","6,6200","8,0562"
"27/12/2022","00:00:00","8,0200","8,0500","7,7300","7,9500","6,6200","8,0268"
"26/12/2022","00:00:00","7,9100","8,0400","7,8000","7,9300","6,6200","8,0345"
"23/12/2022","00:00:00","7,4400","7,9600","7,3900","7,9100","6,6200","8,0449"
"22/12/2022","00:00:00","7,0500","7,4400","6,9100","7,4400","6,6200","8,0584"
"21/12/2022","00:00:00","6,8700","6,9700","6,7300","6,9700","6,6200","8,1203"
"20/12/2022","00:00:00","6,9500","7,0400","6,7900","6,8400","6,6200","8,2353"
"19/12/2022","00:00:00","8,0100","8,0600","7,8200","7,8600","6,6200","8,3748"
"16/12/2022","00:00:00","7,8600","8,1200","7,6600","7,7400","6,6200","8,4263"
"15/12/2022","00:00:00","7,3300","7,7300","7,2900","7,6400","6,6200","8,4949"
"14/12/2022","00:00:00","7,2800","7,2900","7,0100","7,1600","6,6200","8,5804"
"13/12/2022","00:00:00","7,7200","7,7900","7,2600","7,3100","6,6200","8,7225"
"12/12/2022","00:00:00","7,5200","7,7400","7,2900","7,6800","6,6200","8,8637"
"09/12/2022","00:00:00","7,7400","7,7800","7,5600","7,5600","6,6200","8,9821"
"08/12/2022","00:00:00","8,0200","8,0500","7,5900","7,6200","6,6200","9,1243"
"07/12/2022","00:00:00","7,9300","8,1300","7,8300","8,0500","6,6200","9,2747"
"06/12/2022","00:00:00","7,9300","8,1000","7,7700","7,9300","6,6200","9,3972"
"05/12/2022","00:00:00","8,0800","8,5400","7,7400","7,8000","6,6200","9,5439"
"02/12/2022","00:00:00","8,2200","8,6200","8,0900","8,0900","6,6200","9,7183"
"01/12/2022","00:00:00","8,7600","8,7900","8,1100","8,1400","6,6200","9,8811"
"30/11/2022","00:00:00","9,0800","9,1500","8,5700","8,7500","6,6200","10,0552"
"29/11/2022","00:00:00","9,1000","9,2300","9,0100","9,0600","6,6200","10,1857"
"28/11/2022","00:00:00","9,5900","9,6400","8,9700","9,0500","6,6200","10,2983"
"25/11/2022","00:00:00","9,8300","9,9500","9,5800","9,6200","6,6200","10,4231"
"24/11/2022","00:00:00","9,8600","9,9500","9,7000","9,8400","6,6200","10,5035"
"23/11/2022","00:00:00","9,4200","9,9600","9,4000","9,7800","6,6200","10,5698"
"22/11/2022","00:00:00","9,8800","10,0000","9,3700","9,4800","6,6200","10,6488"
"21/11/2022","00:00:00","10,0900","10,0900","9,5300","9,8000","6,6200","10,7657"
"18/11/2022","00:00:00","10,2900","10,6400","9,8800","9,9000","6,6200","10,8622"
"17/11/2022","00:00:00","10,0100","10,2300","9,8700","10,1300","6,6200","10,9585"
"16/11/2022","00:00:00","10,8900","10,9800","10,0800","10,1500","6,6200","11,0413"
"14/11/2022","00:00:00","11,7200","11,7200","10,7600","10,8900","6,6200","11,1304"
"11/11/2022","00:00:00","10,6000","11,8900","10,3600","11,7600","6,6200","11,1545"
"10/11/2022","00:00:00","11,2700","11,5800","10,7200","10,8300","6,6200","11,0939"
"09/11/2022","00:00:00","11,3600","11,7500","11,3200","11,4300","6,6200","11,1203"
"08/11/2022","00:00:00","11,3800","11,5300","11,2300","11,4200","6,6200","11,0893"
"07/11/2022","00:00:00","11,5100","11,7100","11,2800","11,4100","6,6200","11,0563"
"04/11/2022","00:00:00","11,5000","11,8200","11,5000","11,5300","6,6200","11,0209"
"03/11/2022","00:00:00","10,9100","11,3800","10,7700","11,3000","6,6200","10,9700"
"01/11/2022","00:00:00","10,7800","10,9600","10,5300","10,9200","6,6200","10,9370"
"31/10/2022","00:00:00","10,8800","10,9400","10,3800","10,7000","6,6200","10,9387"
"28/10/2022","00:00:00","10,6600","11,1100","10,6600","11,0100","6,6200","10,9626"
"27/10/2022","00:00:00","10,8300","10,9300","10,6300","10,7800","6,6200","10,9578"
"26/10/2022","00:00:00","11,3300","11,3300","10,7100","10,7700","6,6200","10,9756"
"25/10/2022","00:00:00","11,4300","11,7400","11,1400","11,2400","6,6200","10,9962"
"24/10/2022","00:00:00","11,2900","11,4800","11,1400","11,1900","6,6200","10,9718"
"21/10/2022","00:00:00","10,9800","11,4300","10,8200","11,3400","6,6200","10,9499"
"20/10/2022","00:00:00","11,3000","11,3800","10,9600","11,0300","6,6200","10,9109"
"19/10/2022","00:00:00","11,1000","11,3300","10,8700","11,1600","6,6200","10,8990"
"18/10/2022","00:00:00","10,7200","11,1800","10,6500","11,1500","6,6200","10,8729"
"17/10/2022","00:00:00","10,2700","10,7300","10,1900","10,6200","6,6200","10,8452"
"14/10/2022","00:00:00","10,6000","10,6200","10,2100","10,2300","6,6200","10,8677"
"13/10/2022","00:00:00","10,2000","10,6200","10,0800","10,5600","6,6200","10,9315"
"11/10/2022","00:00:00","10,5900","10,6500","10,3000","10,3700","6,6200","10,9687"
