"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","24,0000","24,2200","23,5500","23,5900","23,5900","23,9695"
"30/03/2023","00:00:00","24,2500","24,2800","23,6800","23,9700","23,5900","24,0074"
"29/03/2023","00:00:00","23,7100","24,0400","23,4700","23,9000","23,5900","24,0111"
"28/03/2023","00:00:00","23,2200","23,6400","23,1500","23,5900","23,5900","24,0223"
"27/03/2023","00:00:00","23,1100","23,3600","22,8300","23,1800","23,5900","24,0655"
"24/03/2023","00:00:00","22,7100","23,1300","22,4800","22,7900","23,5900","24,1540"
"23/03/2023","00:00:00","23,3700","23,6700","22,5900","22,8000","23,5900","24,2904"
"22/03/2023","00:00:00","23,3900","23,6200","23,0400","23,3300","23,5900","24,4395"
"21/03/2023","00:00:00","23,2000","23,6000","23,0800","23,4000","23,5900","24,5504"
"20/03/2023","00:00:00","23,5100","23,6500","22,8900","22,9300","23,5900","24,6655"
"17/03/2023","00:00:00","23,1000","23,5100","22,8600","23,5100","23,5900","24,8390"
"16/03/2023","00:00:00","23,4000","23,5200","22,9700","23,2600","23,5900","24,9719"
"15/03/2023","00:00:00","23,3300","23,4800","22,8000","23,3400","23,5900","25,1431"
"14/03/2023","00:00:00","24,2800","24,7300","23,6000","23,7600","23,5900","25,3234"
"13/03/2023","00:00:00","24,5500","24,8600","24,1000","24,1900","23,5900","25,4797"
"10/03/2023","00:00:00","25,1600","25,5800","24,9400","24,9800","23,5900","25,6087"
"09/03/2023","00:00:00","25,3500","26,2300","25,2800","25,3100","23,5900","25,6716"
"08/03/2023","00:00:00","25,1500","25,9200","25,1300","25,4200","23,5900","25,7078"
"07/03/2023","00:00:00","25,7200","25,7800","24,9300","25,1000","23,5900","25,7365"
"06/03/2023","00:00:00","25,7000","26,1200","25,3700","25,9600","23,5900","25,8002"
"03/03/2023","00:00:00","24,8300","25,7400","24,4500","25,7000","23,5900","25,7842"
"02/03/2023","00:00:00","25,4200","25,6700","24,3700","24,6400","23,5900","25,7926"
"01/03/2023","00:00:00","25,3100","25,4300","24,1900","25,3000","23,5900","25,9079"
"28/02/2023","00:00:00","26,2100","26,9200","25,2400","25,2400","23,5900","25,9687"
"27/02/2023","00:00:00","25,8400","26,7400","25,8100","26,1500","23,5900","26,0415"
"24/02/2023","00:00:00","26,6700","26,7000","25,8700","25,9700","23,5900","26,0307"
"23/02/2023","00:00:00","25,7700","26,7900","25,7700","26,5500","23,5900","26,0368"
"22/02/2023","00:00:00","26,0000","26,1100","25,6900","25,7600","23,5900","25,9854"
"17/02/2023","00:00:00","26,6700","26,6700","26,3700","26,4400","23,5900","26,0080"
"16/02/2023","00:00:00","26,6000","26,9500","26,4900","26,8500","23,5900","25,9648"
"15/02/2023","00:00:00","26,5800","26,8000","26,3000","26,7400","23,5900","25,8762"
"14/02/2023","00:00:00","26,8500","27,0600","26,6000","26,7000","23,5900","25,7899"
"13/02/2023","00:00:00","26,6900","26,8900","26,3700","26,8000","23,5900","25,6989"
"10/02/2023","00:00:00","25,9800","26,7900","25,9300","26,7200","23,5900","25,5887"
"09/02/2023","00:00:00","26,0500","26,3200","25,7900","25,9300","23,5900","25,4756"
"08/02/2023","00:00:00","25,8000","26,1500","25,5600","26,0500","23,5900","25,4302"
"07/02/2023","00:00:00","25,9100","26,1400","25,4600","25,6200","23,5900","25,3682"
"06/02/2023","00:00:00","24,8700","25,8700","24,7500","25,7800","23,5900","25,3430"
"03/02/2023","00:00:00","24,5400","25,3800","24,4200","24,7900","23,5900","25,2993"
"02/02/2023","00:00:00","25,5100","25,8100","24,4200","24,5200","23,5900","25,3503"
"01/02/2023","00:00:00","26,0700","26,4800","25,4500","25,7100","23,5900","25,4333"
"31/01/2023","00:00:00","25,6300","26,2100","25,5200","26,0700","23,5900","25,4056"
"30/01/2023","00:00:00","25,8500","26,0700","25,5100","25,7500","23,5900","25,3392"
"27/01/2023","00:00:00","26,1800","26,2300","25,4400","25,6200","23,5900","25,2981"
"26/01/2023","00:00:00","27,0900","27,2000","25,8000","26,2000","23,5900","25,2659"
"25/01/2023","00:00:00","26,5500","27,0800","26,0100","26,9400","23,5900","25,1725"
"24/01/2023","00:00:00","27,4700","27,5300","26,3700","26,6000","23,5900","24,9957"
"23/01/2023","00:00:00","26,2700","27,6000","26,1300","26,7900","23,5900","24,8353"
"20/01/2023","00:00:00","25,8900","26,6000","25,4200","26,3700","23,5900","24,6398"
"19/01/2023","00:00:00","25,0000","25,9500","24,7900","25,8300","23,5900","24,4668"
"18/01/2023","00:00:00","25,8400","26,0300","25,0000","25,0700","23,5900","24,3305"
"17/01/2023","00:00:00","24,1100","25,6200","24,1100","25,5200","23,5900","24,2565"
"16/01/2023","00:00:00","24,4100","24,5000","23,8300","24,0400","23,5900","24,1302"
"13/01/2023","00:00:00","24,4400","24,6600","24,2500","24,5700","23,5900","24,1392"
"12/01/2023","00:00:00","24,2900","24,6500","24,1100","24,6300","23,5900","24,0961"
"11/01/2023","00:00:00","24,1500","24,6200","24,0500","24,2800","23,5900","24,0428"
"10/01/2023","00:00:00","23,9500","24,1100","23,3700","24,0900","23,5900","24,0190"
"09/01/2023","00:00:00","23,5000","24,0000","23,2500","23,8700","23,5900","24,0119"
"06/01/2023","00:00:00","23,9400","24,3200","23,5500","23,7400","23,5900","24,0261"
"05/01/2023","00:00:00","23,3400","24,0400","23,1500","23,8800","23,5900","24,0548"
"04/01/2023","00:00:00","21,9600","23,6000","21,8300","23,0500","23,5900","24,0722"
"03/01/2023","00:00:00","22,9400","23,1000","22,1300","22,3400","23,5900","24,1744"
"02/01/2023","00:00:00","23,5400","23,8100","22,8000","22,9200","23,5900","24,3579"
"29/12/2022","00:00:00","24,9900","25,0500","24,4300","24,5000","23,5900","24,5017"
"28/12/2022","00:00:00","25,1000","25,3200","24,7500","24,8000","23,5900","24,5019"
"27/12/2022","00:00:00","25,2500","25,3100","24,5500","25,1100","23,5900","24,4720"
"26/12/2022","00:00:00","25,1200","25,3000","24,8200","24,9400","23,5900","24,4082"
"23/12/2022","00:00:00","24,1300","25,2200","24,1300","25,1200","23,5900","24,3551"
"22/12/2022","00:00:00","23,9000","24,5600","23,7000","23,9900","23,5900","24,2786"
"21/12/2022","00:00:00","23,5000","23,7200","22,8500","23,5700","23,5900","24,3074"
"20/12/2022","00:00:00","22,3900","23,2400","22,2100","23,0700","23,5900","24,3812"
"19/12/2022","00:00:00","22,1000","22,5100","21,6400","22,3800","23,5900","24,5123"
"16/12/2022","00:00:00","21,9600","22,1100","21,5100","22,0500","23,5900","24,7255"
"15/12/2022","00:00:00","21,0000","22,3700","20,8300","22,0400","23,5900","24,9931"
"14/12/2022","00:00:00","22,5000","22,6000","20,7700","21,4700","23,5900","25,2884"
"13/12/2022","00:00:00","24,1000","24,2000","23,3100","23,3200","23,5900","25,6702"
"12/12/2022","00:00:00","24,5800","24,6600","23,1300","23,9100","23,5900","25,9052"
"09/12/2022","00:00:00","24,9900","25,0500","24,4900","24,7100","23,5900","26,1048"
"08/12/2022","00:00:00","25,5500","25,7900","24,6400","24,7800","23,5900","26,2442"
"07/12/2022","00:00:00","25,3400","26,0700","25,2700","25,3500","23,5900","26,3907"
"06/12/2022","00:00:00","25,8200","26,3900","25,4200","25,6400","23,5900","26,4947"
"05/12/2022","00:00:00","26,0000","26,5800","25,5500","25,6200","23,5900","26,5802"
"02/12/2022","00:00:00","25,6900","26,4500","25,3100","25,9100","23,5900","26,6762"
"01/12/2022","00:00:00","26,5800","26,7900","25,5600","25,5900","23,5900","26,7528"
"30/11/2022","00:00:00","25,6000","26,6600","25,5000","26,6600","23,5900","26,8691"
"29/11/2022","00:00:00","24,6000","25,8800","24,4800","25,3800","23,5900","26,8900"
"28/11/2022","00:00:00","23,6500","24,5500","23,5400","24,3600","23,5900","27,0410"
"25/11/2022","00:00:00","24,2600","24,3300","23,6000","23,8600","23,5900","27,3091"
"24/11/2022","00:00:00","23,5200","24,6300","23,2500","24,2500","23,5900","27,6540"
"23/11/2022","00:00:00","23,0000","23,6500","22,8000","23,4400","23,5900","27,9944"
"22/11/2022","00:00:00","23,0000","23,4300","22,3000","23,3300","23,5900","28,4499"
"21/11/2022","00:00:00","27,1200","27,5700","26,0500","26,7800","23,5900","28,9619"
"18/11/2022","00:00:00","27,4000","27,6000","26,2200","26,7000","23,5900","29,1801"
"17/11/2022","00:00:00","27,0000","27,3000","26,5500","27,1600","23,5900","29,4281"
"16/11/2022","00:00:00","27,8100","28,1100","26,9300","27,1500","23,5900","29,6549"
"14/11/2022","00:00:00","27,2600","28,1800","27,0900","27,7000","23,5900","29,9054"
"11/11/2022","00:00:00","25,8000","27,3600","25,7000","26,9900","23,5900","30,1259"
"10/11/2022","00:00:00","26,0800","26,8900","25,6100","26,1200","23,5900","30,4395"
"09/11/2022","00:00:00","27,1500","27,9500","26,6400","26,9000","23,5900","30,8715"
"08/11/2022","00:00:00","27,0600","27,5300","26,7500","27,3500","23,5900","31,2686"
"07/11/2022","00:00:00","27,9600","28,3000","27,0700","27,1500","23,5900","31,6605"
"04/11/2022","00:00:00","30,8000","30,9000","28,1800","28,3000","23,5900","32,1115"
"03/11/2022","00:00:00","29,8000","30,3900","29,4400","29,9500","23,5900","32,4927"
"01/11/2022","00:00:00","30,5700","30,6700","29,5600","29,8600","23,5900","32,7469"
"31/10/2022","00:00:00","30,6100","31,6000","29,1600","29,8100","23,5900","33,0356"
"28/10/2022","00:00:00","32,7000","33,1200","31,8600","32,5700","23,5900","33,3582"
