"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","3,9400","3,9400","3,7500","3,7500","3,7500","4,1807"
"30/03/2023","00:00:00","3,8100","4,0500","3,8100","3,9300","3,7500","4,2238"
"29/03/2023","00:00:00","3,9700","3,9800","3,6800","3,7800","3,7500","4,2532"
"28/03/2023","00:00:00","3,8000","4,1400","3,7600","4,0200","3,7500","4,3005"
"27/03/2023","00:00:00","3,7300","3,9400","3,6700","3,7800","3,7500","4,3285"
"24/03/2023","00:00:00","3,6700","3,8300","3,6600","3,6800","3,7500","4,3834"
"23/03/2023","00:00:00","3,9400","3,9800","3,5800","3,6400","3,7500","4,4537"
"22/03/2023","00:00:00","3,9000","4,1000","3,8900","3,9100","3,7500","4,5351"
"21/03/2023","00:00:00","3,9000","4,0900","3,8700","3,9100","3,7500","4,5976"
"20/03/2023","00:00:00","4,1100","4,1100","3,8500","3,8600","3,7500","4,6664"
"17/03/2023","00:00:00","4,3200","4,3200","4,0600","4,1300","3,7500","4,7470"
"16/03/2023","00:00:00","4,4200","4,4800","4,3100","4,3300","3,7500","4,8087"
"15/03/2023","00:00:00","4,3900","4,4800","4,2800","4,4400","3,7500","4,8566"
"14/03/2023","00:00:00","4,7300","4,8500","4,5000","4,5200","3,7500","4,8983"
"13/03/2023","00:00:00","4,7900","4,7900","4,6100","4,7500","3,7500","4,9361"
"10/03/2023","00:00:00","4,8600","4,9600","4,6500","4,8500","3,7500","4,9547"
"09/03/2023","00:00:00","4,9000","5,1000","4,8200","4,8900","3,7500","4,9652"
"08/03/2023","00:00:00","4,5400","4,9800","4,5400","4,9300","3,7500","4,9727"
"07/03/2023","00:00:00","4,3400","4,5900","4,3400","4,5100","3,7500","4,9769"
"06/03/2023","00:00:00","4,2800","4,4300","4,1800","4,3300","3,7500","5,0236"
"03/03/2023","00:00:00","4,4900","4,5000","4,2500","4,2500","3,7500","5,0930"
"02/03/2023","00:00:00","4,6900","4,7000","4,4400","4,4400","3,7500","5,1773"
"01/03/2023","00:00:00","4,6700","4,8400","4,6200","4,6800","3,7500","5,2510"
"28/02/2023","00:00:00","4,7300","4,8400","4,6100","4,6700","3,7500","5,3081"
"27/02/2023","00:00:00","4,9300","4,9400","4,7200","4,7300","3,7500","5,3720"
"24/02/2023","00:00:00","4,9900","5,0900","4,8900","4,9100","3,7500","5,4362"
"23/02/2023","00:00:00","5,2300","5,2500","4,9800","5,0100","3,7500","5,4888"
"22/02/2023","00:00:00","5,2500","5,2900","5,1000","5,2000","3,7500","5,5366"
"17/02/2023","00:00:00","5,2000","5,4800","5,1900","5,4000","3,7500","5,5703"
"16/02/2023","00:00:00","5,1500","5,3100","5,0100","5,2900","3,7500","5,5873"
"15/02/2023","00:00:00","5,0300","5,3200","4,9100","5,1900","3,7500","5,6171"
"14/02/2023","00:00:00","5,3800","5,4100","5,0100","5,0400","3,7500","5,6598"
"13/02/2023","00:00:00","5,3900","5,5100","5,2100","5,3400","3,7500","5,7218"
"10/02/2023","00:00:00","5,3500","5,4700","5,2000","5,4200","3,7500","5,7599"
"09/02/2023","00:00:00","5,5100","5,7100","5,3600","5,3800","3,7500","5,7939"
"08/02/2023","00:00:00","5,4800","5,6100","5,2500","5,5200","3,7500","5,8353"
"07/02/2023","00:00:00","5,4400","5,5800","5,3400","5,4300","3,7500","5,8669"
"06/02/2023","00:00:00","5,7300","5,7600","5,2600","5,4400","3,7500","5,9105"
"03/02/2023","00:00:00","6,1100","6,1100","5,6600","5,7300","3,7500","5,9576"
"02/02/2023","00:00:00","6,3300","6,4500","6,0500","6,1100","3,7500","5,9804"
"01/02/2023","00:00:00","6,3300","6,4400","6,2600","6,3700","3,7500","5,9674"
"31/01/2023","00:00:00","5,9200","6,3700","5,8800","6,3100","3,7500","5,9271"
"30/01/2023","00:00:00","5,9600","6,1000","5,8600","5,9200","3,7500","5,8889"
"27/01/2023","00:00:00","5,9200","5,9800","5,7400","5,9400","3,7500","5,8857"
"26/01/2023","00:00:00","5,8200","5,9200","5,6700","5,9200","3,7500","5,8803"
"25/01/2023","00:00:00","5,9500","6,0300","5,7200","5,7900","3,7500","5,8763"
"24/01/2023","00:00:00","5,6800","5,9700","5,6300","5,8900","3,7500","5,8850"
"23/01/2023","00:00:00","5,4900","5,7700","5,4900","5,6600","3,7500","5,8845"
"20/01/2023","00:00:00","5,4700","5,5900","5,3900","5,4800","3,7500","5,9069"
"19/01/2023","00:00:00","5,3700","5,5300","5,3300","5,4800","3,7500","5,9496"
"18/01/2023","00:00:00","5,6400","5,7700","5,3100","5,4600","3,7500","5,9966"
"17/01/2023","00:00:00","5,8000","5,8200","5,5200","5,6000","3,7500","6,0502"
"16/01/2023","00:00:00","6,1300","6,2100","5,8500","5,9200","3,7500","6,0953"
"13/01/2023","00:00:00","6,2500","6,2700","6,0800","6,1800","3,7500","6,1128"
"12/01/2023","00:00:00","6,6900","6,7400","6,3700","6,4200","3,7500","6,1061"
"11/01/2023","00:00:00","6,6000","6,7700","6,3000","6,7300","3,7500","6,0747"
"10/01/2023","00:00:00","6,3200","6,6100","6,1600","6,5800","3,7500","6,0091"
"09/01/2023","00:00:00","6,2300","6,4400","6,0400","6,3600","3,7500","5,9521"
"06/01/2023","00:00:00","5,9300","6,3200","5,8200","6,3200","3,7500","5,9113"
"05/01/2023","00:00:00","6,0700","6,1900","5,7700","5,9300","3,7500","5,8704"
"04/01/2023","00:00:00","6,1000","6,3100","5,6000","6,0400","3,7500","5,8644"
"03/01/2023","00:00:00","5,5500","6,6800","5,4700","5,9400","3,7500","5,8469"
"02/01/2023","00:00:00","5,7400","5,7700","5,4500","5,5200","3,7500","5,8376"
"29/12/2022","00:00:00","6,1600","6,2800","5,8700","5,8700","3,7500","5,8693"
"28/12/2022","00:00:00","5,9400","6,1900","5,7900","6,1500","3,7500","5,8692"
"27/12/2022","00:00:00","6,0900","6,2300","5,8500","5,9000","3,7500","5,8412"
"26/12/2022","00:00:00","6,2000","6,2500","5,9200","6,0600","3,7500","5,8353"
"23/12/2022","00:00:00","5,8300","6,3500","5,8100","6,1900","3,7500","5,8128"
"22/12/2022","00:00:00","5,7600","5,8800","5,5800","5,7400","3,7500","5,7751"
"21/12/2022","00:00:00","5,7100","6,0300","5,4700","5,7400","3,7500","5,7786"
"20/12/2022","00:00:00","5,7100","6,2300","5,6000","5,6800","3,7500","5,7825"
"19/12/2022","00:00:00","5,1400","6,1300","4,9700","5,8600","3,7500","5,7927"
"16/12/2022","00:00:00","5,1200","5,2800","5,0500","5,1100","3,7500","5,7860"
"15/12/2022","00:00:00","5,2600","5,4800","5,1000","5,1300","3,7500","5,8536"
"14/12/2022","00:00:00","5,0600","5,3500","4,8600","5,2900","3,7500","5,9259"
"13/12/2022","00:00:00","5,2200","5,5800","5,0400","5,0600","3,7500","5,9895"
"12/12/2022","00:00:00","5,2700","5,3400","5,0600","5,1900","3,7500","6,0825"
"09/12/2022","00:00:00","5,4800","5,6200","5,2900","5,2900","3,7500","6,1717"
"08/12/2022","00:00:00","5,7900","5,8200","5,3900","5,4300","3,7500","6,2599"
"07/12/2022","00:00:00","5,8600","6,0500","5,7800","5,8000","3,7500","6,3429"
"06/12/2022","00:00:00","5,8800","5,9400","5,6300","5,8900","3,7500","6,3972"
"05/12/2022","00:00:00","6,4300","6,4600","5,7800","5,8400","3,7500","6,4479"
"02/12/2022","00:00:00","6,1900","6,8700","6,1500","6,4700","3,7500","6,5087"
"01/12/2022","00:00:00","6,0200","6,3300","5,8900","6,1500","3,7500","6,5125"
"30/11/2022","00:00:00","6,0000","6,1900","5,8600","6,1500","3,7500","6,5488"
"29/11/2022","00:00:00","5,7300","6,1100","5,6100","6,0500","3,7500","6,5887"
"28/11/2022","00:00:00","5,6900","5,9400","5,6600","5,7000","3,7500","6,6425"
"25/11/2022","00:00:00","6,1900","6,2300","5,5800","5,6800","3,7500","6,7368"
"24/11/2022","00:00:00","5,8900","6,3000","5,8900","6,2000","3,7500","6,8425"
"23/11/2022","00:00:00","6,0000","6,0000","5,7900","5,8200","3,7500","6,9067"
"22/11/2022","00:00:00","6,2200","6,2800","5,9500","6,0100","3,7500","7,0154"
"21/11/2022","00:00:00","6,0500","6,2500","5,9100","6,1800","3,7500","7,1159"
"18/11/2022","00:00:00","5,9300","6,3700","5,8800","6,0200","3,7500","7,2095"
"17/11/2022","00:00:00","6,3700","6,3800","5,6200","5,8200","3,7500","7,3285"
"16/11/2022","00:00:00","6,7300","6,8500","6,3600","6,5100","3,7500","7,4793"
"14/11/2022","00:00:00","6,8000","6,9500","6,5600","6,7400","3,7500","7,5763"
"11/11/2022","00:00:00","6,7000","7,0600","6,5600","6,7900","3,7500","7,6599"
"10/11/2022","00:00:00","6,8400","7,3500","6,6100","6,7300","3,7500","7,7469"
"09/11/2022","00:00:00","8,0500","8,0700","6,8300","6,8700","3,7500","7,8486"
"08/11/2022","00:00:00","7,7100","8,2500","7,6500","8,1400","3,7500","7,9464"
"07/11/2022","00:00:00","8,0700","8,5000","7,7000","7,7400","3,7500","7,9271"
"04/11/2022","00:00:00","8,2700","8,4400","8,0500","8,1000","3,7500","7,9458"
"03/11/2022","00:00:00","8,0000","8,3800","7,9600","8,1000","3,7500","7,9304"
"01/11/2022","00:00:00","7,9400","8,3200","7,8400","8,2000","3,7500","7,9134"
"31/10/2022","00:00:00","7,3900","7,9800","7,3100","7,8800","3,7500","7,8847"
"28/10/2022","00:00:00","7,3500","7,5800","7,2500","7,5100","3,7500","7,8852"
