"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","3,6400","3,6700","3,6200","3,6300","3,6300","3,5183"
"30/03/2023","00:00:00","3,5500","3,6400","3,5500","3,6400","3,6300","3,5071"
"29/03/2023","00:00:00","3,5200","3,5700","3,4900","3,5500","3,6300","3,4938"
"28/03/2023","00:00:00","3,5000","3,5400","3,4900","3,5100","3,6300","3,4882"
"27/03/2023","00:00:00","3,4900","3,5200","3,4700","3,5000","3,6300","3,4861"
"24/03/2023","00:00:00","3,4600","3,4900","3,4100","3,4900","3,6300","3,4847"
"23/03/2023","00:00:00","3,4800","3,5000","3,3700","3,4200","3,6300","3,4841"
"22/03/2023","00:00:00","3,4700","3,5100","3,4500","3,4600","3,6300","3,4905"
"21/03/2023","00:00:00","3,5100","3,5200","3,4500","3,4800","3,6300","3,4936"
"20/03/2023","00:00:00","3,4900","3,5400","3,4800","3,5100","3,6300","3,4950"
"17/03/2023","00:00:00","3,5700","3,5900","3,4900","3,4900","3,6300","3,4935"
"16/03/2023","00:00:00","3,5900","3,6200","3,5600","3,5600","3,6300","3,4938"
"15/03/2023","00:00:00","3,5100","3,6100","3,4800","3,5800","3,6300","3,4872"
"14/03/2023","00:00:00","3,5500","3,5700","3,4700","3,5000","3,6300","3,4779"
"13/03/2023","00:00:00","3,5200","3,6000","3,5100","3,5500","3,6300","3,4757"
"10/03/2023","00:00:00","3,4700","3,5400","3,4500","3,5200","3,6300","3,4683"
"09/03/2023","00:00:00","3,4500","3,5200","3,4400","3,4800","3,6300","3,4631"
"08/03/2023","00:00:00","3,4300","3,4700","3,4300","3,4500","3,6300","3,4614"
"07/03/2023","00:00:00","3,4600","3,4700","3,4100","3,4300","3,6300","3,4625"
"06/03/2023","00:00:00","3,4200","3,4600","3,4100","3,4600","3,6300","3,4658"
"03/03/2023","00:00:00","3,4400","3,4600","3,4000","3,4200","3,6300","3,4664"
"02/03/2023","00:00:00","3,5000","3,5000","3,4200","3,4200","3,6300","3,4710"
"01/03/2023","00:00:00","3,4300","3,4800","3,4100","3,4500","3,6300","3,4761"
"28/02/2023","00:00:00","3,4400","3,4700","3,4100","3,4100","3,6300","3,4787"
"27/02/2023","00:00:00","3,4500","3,4600","3,4300","3,4300","3,6300","3,4856"
"24/02/2023","00:00:00","3,4700","3,4700","3,4300","3,4400","3,6300","3,4911"
"23/02/2023","00:00:00","3,4700","3,4800","3,4400","3,4500","3,6300","3,4962"
"22/02/2023","00:00:00","3,5000","3,5100","3,4600","3,4700","3,6300","3,5009"
"17/02/2023","00:00:00","3,5400","3,5600","3,5000","3,5000","3,6300","3,5040"
"16/02/2023","00:00:00","3,5200","3,5500","3,4600","3,5100","3,6300","3,5043"
"15/02/2023","00:00:00","3,5200","3,5600","3,5000","3,5200","3,6300","3,5038"
"14/02/2023","00:00:00","3,5200","3,5600","3,5000","3,5000","3,6300","3,5022"
"13/02/2023","00:00:00","3,4900","3,5200","3,4800","3,5200","3,6300","3,5024"
"10/02/2023","00:00:00","3,4500","3,5000","3,4500","3,4900","3,6300","3,5006"
