"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","43,2700","43,6100","41,7400","42,0200","42,0200","43,8653"
"30/03/2023","00:00:00","43,7000","44,0000","42,8500","43,0500","42,0200","44,0499"
"29/03/2023","00:00:00","42,5000","43,3900","42,5000","43,0700","42,0200","44,1498"
"28/03/2023","00:00:00","42,1000","42,8000","41,9400","42,2800","42,0200","44,2578"
"27/03/2023","00:00:00","42,6300","42,8800","41,9200","41,9900","42,0200","44,4556"
"24/03/2023","00:00:00","42,3400","42,8400","41,8500","42,6300","42,0200","44,7022"
"23/03/2023","00:00:00","42,9500","43,7700","41,9200","42,2400","42,0200","44,9094"
"22/03/2023","00:00:00","42,8300","43,3800","42,6800","42,8800","42,0200","45,1763"
"21/03/2023","00:00:00","43,1400","43,5200","42,8100","42,9500","42,0200","45,4060"
"20/03/2023","00:00:00","43,7300","43,8500","42,8900","43,2300","42,0200","45,6515"
"17/03/2023","00:00:00","43,9300","44,1400","43,3200","43,5900","42,0200","45,8937"
"16/03/2023","00:00:00","44,3000","44,9800","43,8400","43,9900","42,0200","46,1241"
"15/03/2023","00:00:00","44,5100","44,7300","43,9200","44,2200","42,0200","46,3375"
"14/03/2023","00:00:00","44,7100","45,3000","44,5800","44,9700","42,0200","46,5492"
"13/03/2023","00:00:00","44,9000","45,5600","44,3800","44,5800","42,0200","46,7072"
"10/03/2023","00:00:00","46,3800","46,6500","45,0100","45,0700","42,0200","46,9199"
"09/03/2023","00:00:00","47,3200","47,6200","46,2600","46,4700","42,0200","47,1049"
"08/03/2023","00:00:00","47,9100","48,0900","47,0000","47,4400","42,0200","47,1683"
"07/03/2023","00:00:00","47,9200","48,2400","47,3000","47,7500","42,0200","47,1412"
"06/03/2023","00:00:00","48,3800","48,6800","47,4200","47,7800","42,0200","47,0803"
"03/03/2023","00:00:00","46,7900","48,3800","46,7000","48,2000","42,0200","47,0103"
"02/03/2023","00:00:00","46,8100","47,7600","46,5600","46,7000","42,0200","46,8914"
"01/03/2023","00:00:00","48,0900","48,4300","45,7600","46,7700","42,0200","46,9105"
"28/02/2023","00:00:00","46,1400","47,9500","46,1400","47,7400","42,0200","46,9245"
"27/02/2023","00:00:00","46,1500","46,8000","46,0200","46,3400","42,0200","46,8430"
"24/02/2023","00:00:00","46,1500","46,4900","45,6400","46,1500","42,0200","46,8933"
"23/02/2023","00:00:00","45,9400","46,6800","45,7200","46,1500","42,0200","46,9676"
"22/02/2023","00:00:00","46,6600","46,6600","45,7200","46,0400","42,0200","47,0494"
"17/02/2023","00:00:00","47,7700","48,2300","46,6000","46,9600","42,0200","47,1503"
"16/02/2023","00:00:00","48,1800","48,8400","47,4000","47,7600","42,0200","47,1693"
"15/02/2023","00:00:00","47,0600","48,1800","46,6200","48,1800","42,0200","47,1103"
"14/02/2023","00:00:00","46,7200","47,5200","46,4000","46,9500","42,0200","47,0033"
"13/02/2023","00:00:00","46,3900","47,1500","46,2400","46,7100","42,0200","47,0086"
"10/02/2023","00:00:00","46,1000","46,6000","45,9800","46,4000","42,0200","47,0385"
"09/02/2023","00:00:00","45,9500","47,0900","45,9000","46,3000","42,0200","47,1024"
"08/02/2023","00:00:00","46,1400","46,2200","45,7200","45,9500","42,0200","47,1826"
"07/02/2023","00:00:00","46,1000","46,7300","45,5200","46,0600","42,0200","47,3059"
"06/02/2023","00:00:00","46,6300","46,6400","45,8000","45,9600","42,0200","47,4304"
"03/02/2023","00:00:00","44,7100","48,3100","44,4000","46,3100","42,0200","47,5775"
"02/02/2023","00:00:00","46,3500","46,7500","44,7100","45,0200","42,0200","47,7042"
"01/02/2023","00:00:00","46,2000","47,1400","46,0200","46,7500","42,0200","47,9727"
"31/01/2023","00:00:00","46,6200","47,3300","45,9800","46,3600","42,0200","48,0949"
"30/01/2023","00:00:00","45,2200","46,5400","44,5800","46,2800","42,0200","48,2684"
"27/01/2023","00:00:00","45,2000","45,5600","44,1500","45,0800","42,0200","48,4672"
"26/01/2023","00:00:00","45,7600","46,2600","44,8200","45,4000","42,0200","48,8060"
"25/01/2023","00:00:00","47,1800","47,3900","46,3200","46,7700","42,0200","49,1466"
"24/01/2023","00:00:00","47,1100","48,1500","46,7800","47,5100","42,0200","49,3842"
"23/01/2023","00:00:00","47,0900","47,8300","46,7000","46,9800","42,0200","49,5717"
"20/01/2023","00:00:00","49,2000","49,2000","47,1400","47,1400","42,0200","49,8308"
"19/01/2023","00:00:00","49,8600","50,6400","49,1300","49,3400","42,0200","50,0999"
"18/01/2023","00:00:00","51,6300","51,7000","49,3800","49,8600","42,0200","50,1759"
"17/01/2023","00:00:00","50,7000","51,6800","50,2600","51,2200","42,0200","50,2075"
"16/01/2023","00:00:00","50,5100","50,9700","49,7300","50,6100","42,0200","50,1062"
"13/01/2023","00:00:00","50,3400","51,0600","49,9000","50,4300","42,0200","50,0558"
"12/01/2023","00:00:00","49,2500","50,6000","49,0600","50,2600","42,0200","50,0184"
"11/01/2023","00:00:00","50,0500","50,0500","48,4800","49,2500","42,0200","49,9943"
"10/01/2023","00:00:00","50,5100","50,6900","49,7800","49,9800","42,0200","50,0687"
"09/01/2023","00:00:00","49,7500","50,9900","49,7100","50,6100","42,0200","50,0776"
"06/01/2023","00:00:00","50,5600","50,7000","49,6000","49,9400","42,0200","50,0243"
"05/01/2023","00:00:00","49,9600","50,6700","49,7100","50,2600","42,0200","50,0328"
"04/01/2023","00:00:00","50,0000","50,7300","49,7000","49,9500","42,0200","50,0100"
"03/01/2023","00:00:00","48,6000","49,8500","48,4200","49,8500","42,0200","50,0160"
"02/01/2023","00:00:00","48,2400","49,1600","47,6100","48,9800","42,0200","50,0326"
"29/12/2022","00:00:00","48,3700","48,5700","47,6300","48,2400","42,0200","50,1379"
"28/12/2022","00:00:00","47,9000","48,8000","47,8400","48,1300","42,0200","50,3277"
"27/12/2022","00:00:00","46,4100","47,6600","46,3000","47,5000","42,0200","50,5475"
"26/12/2022","00:00:00","46,8200","46,8600","46,0000","46,1800","42,0200","50,8522"
"23/12/2022","00:00:00","47,7200","47,9300","46,5000","46,8400","42,0200","51,3194"
"22/12/2022","00:00:00","48,5000","48,5800","47,8400","48,1400","42,0200","51,7674"
"21/12/2022","00:00:00","49,0100","49,1200","47,8800","48,4100","42,0200","52,1301"
"20/12/2022","00:00:00","48,5100","49,5800","47,8600","48,5400","42,0200","52,5021"
"19/12/2022","00:00:00","49,9000","50,3400","48,3300","48,8300","42,0200","52,8983"
"16/12/2022","00:00:00","51,9000","52,2200","51,1600","51,4300","42,0200","53,3052"
"15/12/2022","00:00:00","51,0800","52,6300","51,0000","51,7700","42,0200","53,4927"
"14/12/2022","00:00:00","51,5700","53,4300","51,5000","52,5000","42,0200","53,6650"
"13/12/2022","00:00:00","54,9500","55,0700","51,1200","51,3600","42,0200","53,7815"
"12/12/2022","00:00:00","55,0600","55,4600","54,1500","54,8900","42,0200","54,0236"
"09/12/2022","00:00:00","53,5400","55,1000","52,7800","54,9900","42,0200","53,9370"
"08/12/2022","00:00:00","53,4300","54,3100","52,5700","53,1000","42,0200","53,8317"
"07/12/2022","00:00:00","53,6900","53,8000","52,2600","53,0500","42,0200","53,9048"
"06/12/2022","00:00:00","52,6900","53,9500","52,1400","53,3000","42,0200","53,9903"
"05/12/2022","00:00:00","51,6600","52,7100","51,3100","52,5100","42,0200","54,0593"
"02/12/2022","00:00:00","51,5000","52,3900","50,1100","51,3800","42,0200","54,2143"
