"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","13,1600","13,2900","12,6200","12,6400","12,6400","12,6029"
"30/03/2023","00:00:00","12,9800","13,1400","12,9400","13,1100","12,6400","12,5992"
"29/03/2023","00:00:00","12,8500","13,0800","12,8200","12,9000","12,6400","12,5481"
"28/03/2023","00:00:00","12,7900","12,9100","12,6900","12,8200","12,6400","12,5129"
"27/03/2023","00:00:00","12,7800","12,8900","12,6900","12,7900","12,6400","12,4822"
"24/03/2023","00:00:00","12,6500","12,7400","12,5000","12,7000","12,6400","12,4514"
"23/03/2023","00:00:00","12,6000","12,9400","12,5500","12,6900","12,6400","12,4265"
"22/03/2023","00:00:00","12,5700","12,7400","12,5300","12,6000","12,6400","12,4002"
"21/03/2023","00:00:00","12,6700","12,6800","12,4200","12,5400","12,6400","12,3802"
"20/03/2023","00:00:00","12,7900","12,8300","12,5600","12,6700","12,6400","12,3642"
"17/03/2023","00:00:00","12,7000","12,8700","12,4800","12,7900","12,6400","12,3337"
"16/03/2023","00:00:00","12,9800","13,0400","12,7400","12,7700","12,6400","12,2880"
"15/03/2023","00:00:00","12,6500","12,9600","12,5800","12,9600","12,6400","12,2398"
"14/03/2023","00:00:00","12,5500","13,0200","12,5000","12,7800","12,6400","12,1678"
"13/03/2023","00:00:00","12,1200","12,5100","12,1200","12,5100","12,6400","12,1066"
"10/03/2023","00:00:00","12,2300","12,2600","12,0700","12,2000","12,6400","12,0663"
"09/03/2023","00:00:00","12,4000","12,4700","12,2000","12,3000","12,6400","12,0529"
"08/03/2023","00:00:00","12,2500","12,4500","12,1200","12,4100","12,6400","12,0282"
"07/03/2023","00:00:00","12,1100","12,2500","12,0700","12,2500","12,6400","11,9900"
"06/03/2023","00:00:00","12,0700","12,1900","11,9600","12,0900","12,6400","11,9640"
"03/03/2023","00:00:00","12,0800","12,1700","11,9800","12,0000","12,6400","11,9514"
"02/03/2023","00:00:00","12,2500","12,4300","12,0800","12,0800","12,6400","11,9465"
"01/03/2023","00:00:00","12,3300","12,3400","12,1600","12,2400","12,6400","11,9332"
"28/02/2023","00:00:00","12,2700","12,4800","12,2100","12,2600","12,6400","11,9025"
"27/02/2023","00:00:00","12,4100","12,4900","12,2700","12,2700","12,6400","11,8667"
"24/02/2023","00:00:00","12,4200","12,5500","12,3200","12,4400","12,6400","11,8264"
"23/02/2023","00:00:00","12,4800","12,6400","12,3000","12,4000","12,6400","11,7651"
"22/02/2023","00:00:00","12,1700","12,4300","12,0700","12,4300","12,6400","11,7016"
"17/02/2023","00:00:00","12,1200","12,3700","12,1100","12,2000","12,6400","11,6287"
"16/02/2023","00:00:00","12,0000","12,2200","11,9500","12,1300","12,6400","11,5716"
"15/02/2023","00:00:00","11,7800","12,4200","11,7600","12,0600","12,6400","11,5157"
"14/02/2023","00:00:00","11,5600","11,8000","11,4600","11,7100","12,6400","11,4613"
"13/02/2023","00:00:00","11,3000","11,6200","11,3000","11,5300","12,6400","11,4365"
"10/02/2023","00:00:00","10,8100","11,3800","10,7900","11,2900","12,6400","11,4271"
"09/02/2023","00:00:00","11,0400","11,1200","10,7500","10,8100","12,6400","11,4408"
"08/02/2023","00:00:00","11,0400","11,1600","10,8900","11,0400","12,6400","11,5039"
"07/02/2023","00:00:00","11,1900","11,2700","10,9200","10,9600","12,6400","11,5503"
"06/02/2023","00:00:00","11,1000","11,3300","11,0600","11,2000","12,6400","11,6093"
"03/02/2023","00:00:00","11,4000","11,4800","11,1100","11,1400","12,6400","11,6502"
"02/02/2023","00:00:00","11,4600","11,6100","11,4100","11,4100","12,6400","11,7013"
"01/02/2023","00:00:00","11,7400","11,8500","11,4300","11,5600","12,6400","11,7304"
"31/01/2023","00:00:00","11,5700","11,8500","11,4900","11,7900","12,6400","11,7474"
"30/01/2023","00:00:00","11,4400","11,5600","11,4100","11,5600","12,6400","11,7432"
"27/01/2023","00:00:00","11,5300","11,6000","11,3500","11,4000","12,6400","11,7615"
"26/01/2023","00:00:00","11,4600","11,5800","11,3800","11,5600","12,6400","11,7976"
"25/01/2023","00:00:00","11,4800","11,4900","11,2600","11,4400","12,6400","11,8214"
"24/01/2023","00:00:00","11,6300","11,7600","11,3900","11,4600","12,6400","11,8595"
"23/01/2023","00:00:00","11,5700","11,7100","11,5200","11,6200","12,6400","11,8995"
"20/01/2023","00:00:00","11,6400","11,6700","11,4500","11,6100","12,6400","11,9274"
"19/01/2023","00:00:00","11,5300","11,6900","11,5000","11,6400","12,6400","11,9592"
"18/01/2023","00:00:00","11,8100","11,9000","11,6100","11,6500","12,6400","11,9911"
