"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","7,3500","7,5300","7,2500","7,2600","7,2600","6,9834"
"30/03/2023","00:00:00","7,2600","7,3900","7,0500","7,3100","7,2600","6,9557"
"29/03/2023","00:00:00","6,8500","6,9100","6,7500","6,8300","7,2600","6,9203"
"28/03/2023","00:00:00","6,6400","6,9100","6,6300","6,8300","7,2600","6,9293"
"27/03/2023","00:00:00","6,7000","6,7600","6,6100","6,6200","7,2600","6,9392"
"24/03/2023","00:00:00","6,6400","6,6800","6,5300","6,6200","7,2600","6,9712"
"23/03/2023","00:00:00","6,8200","6,8800","6,5600","6,6400","7,2600","7,0063"
"22/03/2023","00:00:00","6,7800","6,9200","6,7400","6,8000","7,2600","7,0429"
"21/03/2023","00:00:00","6,8600","6,9000","6,7700","6,7900","7,2600","7,0672"
"20/03/2023","00:00:00","6,9000","6,9800","6,8000","6,8500","7,2600","7,0949"
"17/03/2023","00:00:00","6,9800","7,0700","6,8400","6,9400","7,2600","7,1194"
"16/03/2023","00:00:00","6,8400","7,0600","6,8200","6,9900","7,2600","7,1373"
"15/03/2023","00:00:00","6,9100","6,9500","6,6800","6,8900","7,2600","7,1521"
"14/03/2023","00:00:00","6,9500","7,0100","6,8800","7,0100","7,2600","7,1783"
"13/03/2023","00:00:00","6,8600","7,0200","6,8100","6,9300","7,2600","7,1951"
"10/03/2023","00:00:00","7,0600","7,1400","6,8700","6,9300","7,2600","7,2216"
"09/03/2023","00:00:00","7,2000","7,2900","7,0400","7,1200","7,2600","7,2508"
"08/03/2023","00:00:00","7,0300","7,3000","7,0100","7,2900","7,2600","7,2639"
"07/03/2023","00:00:00","7,1300","7,2000","6,9100","7,0300","7,2600","7,2612"
"06/03/2023","00:00:00","7,1300","7,1500","6,9800","7,1200","7,2600","7,2844"
"03/03/2023","00:00:00","7,1200","7,3100","7,0700","7,1800","7,2600","7,3008"
"02/03/2023","00:00:00","7,1700","7,1700","7,0200","7,1000","7,2600","7,3129"
"01/03/2023","00:00:00","6,9300","7,2100","6,8500","7,1700","7,2600","7,3342"
"28/02/2023","00:00:00","6,8500","6,9200","6,7700","6,8300","7,2600","7,3506"
"27/02/2023","00:00:00","6,8400","6,9700","6,8000","6,8500","7,2600","7,4027"
"24/02/2023","00:00:00","6,9500","7,0100","6,8000","6,8300","7,2600","7,4579"
"23/02/2023","00:00:00","7,1200","7,1500","6,8100","7,0000","7,2600","7,5207"
"22/02/2023","00:00:00","7,2200","7,2500","7,0500","7,0900","7,2600","7,5728"
