"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","EMA21"
"31/03/2023","00:00:00","81,6000","82,1700","80,1900","80,3100","80,3100","82,4839"
"30/03/2023","00:00:00","81,7000","81,9500","81,1500","81,8200","80,3100","82,7012"
"29/03/2023","00:00:00","79,9900","80,8400","79,8400","80,5100","80,3100","82,7894"
"28/03/2023","00:00:00","78,7200","79,9000","78,5900","79,3700","80,3100","83,0173"
"27/03/2023","00:00:00","79,5100","80,0800","78,0300","78,5400","80,3100","83,3820"
"24/03/2023","00:00:00","79,6900","79,8600","78,0900","78,6700","80,3100","83,8662"
"23/03/2023","00:00:00","81,5200","82,1800","78,8100","79,5800","80,3100","84,3859"
"22/03/2023","00:00:00","82,0000","82,7500","81,6100","81,6800","80,3100","84,8664"
"21/03/2023","00:00:00","83,2200","83,4400","81,5400","82,7100","80,3100","85,1851"
"20/03/2023","00:00:00","82,7200","83,9900","81,8100","83,4100","80,3100","85,4326"
"17/03/2023","00:00:00","82,9100","83,5000","82,6300","82,7300","80,3100","85,6349"
"16/03/2023","00:00:00","81,2200","82,1500","80,7100","81,7500","80,3100","85,9253"
"15/03/2023","00:00:00","82,0000","83,0900","80,1000","81,4500","80,3100","86,3429"
"14/03/2023","00:00:00","83,1200","84,3500","82,9000","83,9800","80,3100","86,8322"
"13/03/2023","00:00:00","84,3700","86,0000","84,0500","85,0500","80,3100","87,1174"
"10/03/2023","00:00:00","84,6000","86,1800","84,2700","84,7000","80,3100","87,3241"
"09/03/2023","00:00:00","85,1300","86,4900","84,8200","84,9800","80,3100","87,5865"
"08/03/2023","00:00:00","85,6000","86,4100","85,4000","86,1100","80,3100","87,8472"
"07/03/2023","00:00:00","86,8500","87,4000","84,8000","85,3300","80,3100","88,0209"
"06/03/2023","00:00:00","87,4300","87,9000","86,1200","86,1500","80,3100","88,2900"
"03/03/2023","00:00:00","90,1000","90,3000","88,8100","89,3000","80,3100","88,5040"
"02/03/2023","00:00:00","89,2000","90,1400","88,4200","89,0000","80,3100","88,4244"
"01/03/2023","00:00:00","87,7700","89,8500","87,5000","89,2000","80,3100","88,3668"
"28/02/2023","00:00:00","85,0600","86,5000","84,3400","85,3200","80,3100","88,2835"
"27/02/2023","00:00:00","84,5600","85,3800","83,6500","85,0400","80,3100","88,5799"
"24/02/2023","00:00:00","86,0500","86,4800","84,6500","85,0400","80,3100","88,9339"
"23/02/2023","00:00:00","87,0000","88,0700","85,5500","86,9500","80,3100","89,3233"
"22/02/2023","00:00:00","87,0500","88,4500","86,5700","87,3600","80,3100","89,5606"
"17/02/2023","00:00:00","89,6000","89,7500","87,5400","88,0300","80,3100","89,7807"
"16/02/2023","00:00:00","89,2900","90,2600","88,9000","89,1900","80,3100","89,9557"
"15/02/2023","00:00:00","87,1000","89,2400","86,5600","89,0000","80,3100","90,0323"
"14/02/2023","00:00:00","87,0000","87,7200","86,5300","87,1000","80,3100","90,1355"
"13/02/2023","00:00:00","85,9200","87,1100","85,3000","86,7100","80,3100","90,4391"
"10/02/2023","00:00:00","88,1800","88,9500","86,3600","86,8000","80,3100","90,8120"
"09/02/2023","00:00:00","88,7200","89,5500","87,4700","88,3900","80,3100","91,2132"
"08/02/2023","00:00:00","89,1000","89,3700","87,6000","88,7200","80,3100","91,4955"
"07/02/2023","00:00:00","87,5900","88,6800","86,9900","88,4200","80,3100","91,7730"
"06/02/2023","00:00:00","88,2000","88,2500","86,6600","87,8400","80,3100","92,1083"
"03/02/2023","00:00:00","89,7600","90,7700","88,6900","88,9500","80,3100","92,5352"
"02/02/2023","00:00:00","91,6900","91,9600","88,8600","89,1400","80,3100","92,8937"
"01/02/2023","00:00:00","95,2000","95,2000","91,5900","93,4600","80,3100","93,2691"
"31/01/2023","00:00:00","94,3100","94,8800","93,8500","94,5100","80,3100","93,2500"
"30/01/2023","00:00:00","95,9000","96,3000","94,1900","94,9800","80,3100","93,1240"
"27/01/2023","00:00:00","97,8500","98,2900","94,8300","95,3200","80,3100","92,9384"
"26/01/2023","00:00:00","96,5000","98,0000","96,3900","98,0000","80,3100","92,7002"
"25/01/2023","00:00:00","95,2000","96,4000","94,7700","96,2000","80,3100","92,1702"
"24/01/2023","00:00:00","94,3100","95,3000","93,2000","95,3000","80,3100","91,7672"
"23/01/2023","00:00:00","94,3500","94,7000","93,7000","94,3000","80,3100","91,4140"
"20/01/2023","00:00:00","93,9000","94,5700","93,5000","93,9900","80,3100","91,1254"
"19/01/2023","00:00:00","93,8000","94,3700","93,3200","93,7400","80,3100","90,8389"
"18/01/2023","00:00:00","93,0600","94,2400","92,9100","93,3400","80,3100","90,5488"
"17/01/2023","00:00:00","92,5100","93,2400","91,8300","92,1300","80,3100","90,2697"
"16/01/2023","00:00:00","92,0000","92,3900","90,8300","92,2500","80,3100","90,0836"
"13/01/2023","00:00:00","93,6900","94,2800","93,3600","93,8200","80,3100","89,8670"
"12/01/2023","00:00:00","93,4800","94,3000","92,9400","93,7400","80,3100","89,4717"
"11/01/2023","00:00:00","93,9900","94,4800","92,2600","93,2500","80,3100","89,0449"
"10/01/2023","00:00:00","92,4900","93,9000","92,3400","93,5800","80,3100","88,6244"
"09/01/2023","00:00:00","91,5300","92,9900","91,2500","92,4400","80,3100","88,1288"
"06/01/2023","00:00:00","91,0000","92,7400","91,0000","92,3400","80,3100","87,6977"
"05/01/2023","00:00:00","89,4600","91,6800","89,0000","90,9000","80,3100","87,2334"
"04/01/2023","00:00:00","89,3000","89,6500","87,9400","89,4000","80,3100","86,8668"
"03/01/2023","00:00:00","89,4000","90,0900","88,8900","89,2400","80,3100","86,6135"
"02/01/2023","00:00:00","88,6800","89,9000","88,5300","89,4000","80,3100","86,3508"
"29/12/2022","00:00:00","89,0000","89,9500","88,8300","88,8800","80,3100","86,0459"
"28/12/2022","00:00:00","89,1900","90,2100","88,7000","88,9900","80,3100","85,7625"
"27/12/2022","00:00:00","88,0000","89,6500","87,4700","89,1900","80,3100","85,4397"
"26/12/2022","00:00:00","86,4200","87,5400","86,3300","87,1100","80,3100","85,0647"
"23/12/2022","00:00:00","85,2800","86,5200","85,0800","86,3200","80,3100","84,8602"
"22/12/2022","00:00:00","86,2800","86,6500","84,6900","85,7500","80,3100","84,7142"
"21/12/2022","00:00:00","86,9000","87,4000","85,8000","86,2400","80,3100","84,6106"
"20/12/2022","00:00:00","85,3700","87,2500","85,3100","85,7500","80,3100","84,4477"
"19/12/2022","00:00:00","85,0000","85,5900","84,2400","85,3700","80,3100","84,3175"
"16/12/2022","00:00:00","87,0000","87,3200","84,5100","85,6800","80,3100","84,2122"
"15/12/2022","00:00:00","87,3900","88,1700","86,8900","87,1700","80,3100","84,0654"
"14/12/2022","00:00:00","85,7500","87,3300","85,5000","86,8900","80,3100","83,7550"
"13/12/2022","00:00:00","86,2500","87,4000","85,6300","86,1600","80,3100","83,4415"
"12/12/2022","00:00:00","88,1500","88,3000","85,3800","86,0900","80,3100","83,1696"
